OTU_ID,Taxonomy,Genus,Tax_Reformatted
76775,Malassezia restricta,Malassezia,Malassezia_restricta
559292,Saccharomyces cerevisiae S288C,Saccharomyces,Saccharomyces_cerevisiae
1080349,Saccharomyces eubayanus,Saccharomyces,Saccharomyces_eubayanus
27291,Saccharomyces paradoxus,Saccharomyces,Saccharomyces_paradoxus
1071382,Kazachstania africana CBS 2517,Kazachstania,Kazachstania_africana
1987369,Saccharomyces jurei,Saccharomyces,Saccharomyces_jurei
114524,Saccharomyces kudriavzevii,Saccharomyces,Saccharomyces_kudriavzevii
2499237,Alternaria sect. Alternaria,Alternaria,Alternaria_sect_Alternaria
5599,Alternaria alternata,Alternaria,Alternaria_alternata
1151026,Cladosporium sphaerospermum UM 843,Cladosporium,Cladosporium_sphaerospermum
74722,Stachybotrys chartarum,Stachybotrys,Stachybotrys_chartarum
187734,Alternaria alternata complex,Alternaria,Alternaria_alternata_complex
5478,Candida glabrata,Candida,Candida_glabrata
425265,Malassezia globosa CBS 7966,Malassezia,Malassezia_globosa
933388,Penicillium oxalicum 114-2,Penicillium,Penicillium_oxalicum
237561,Candida albicans SC5314,Candida,Candida_albicans
573826,Candida dubliniensis CD36,Candida,Candida_dubliniensis 
169489,Malassezia dermatis,Malassezia,Malassezia_dermatis
284592,Debaryomyces hansenii CBS767,Debaryomyces,Debaryomyces_hansenii
983966,Cyberlindnera jadinii NRRL Y-1542,Cyberlindnera,Cyberlindnera_jadinii
1036612,Aspergillus sydowii CBS 593.65,Aspergillus,Aspergillus_sydowii
5480,Candida parapsilosis,Candida,Candida_parapsilosis
5288,Rhodotorula diobovata,Rhodotorula,Rhodotorula_diobovata
1279117,Papiliotrema flavescens NRRL Y-50378,Papiliotrema,Papiliotrema_flavescens
2028340,Meyerozyma sp. JA9,Meyerozyma,Meyerozyma_sp
1230383,Malassezia sympodialis ATCC 42132,Malassezia,Malassezia_sympodialis
29833,Hanseniaspora uvarum,Hanseniaspora,Hanseniaspora_uvarum
4909,Pichia kudriavzevii,Pichia,Pichia_kudriavzevii
936046,Agaricus bisporus var. bisporus H97,Agaricus,Agaricus_bisporus
