"","AUROC","AUPR","rep","dataString","diseaseType","col2Predict"
"1",1,1,"Fold1","Full dataset (rep200)","NSCLC","one_cancer_vs_controls"
"2",1,1,"Fold2","Full dataset (rep200)","NSCLC","one_cancer_vs_controls"
"3",1,1,"Fold3","Full dataset (rep200)","NSCLC","one_cancer_vs_controls"
"4",1,1,"Fold4","Full dataset (rep200)","NSCLC","one_cancer_vs_controls"
"5",0.952380952380952,0.904105975849406,"Fold5","Full dataset (rep200)","NSCLC","one_cancer_vs_controls"
"6",0.916666666666667,0.797267445945918,"Fold6","Full dataset (rep200)","NSCLC","one_cancer_vs_controls"
"7",1,1,"Fold7","Full dataset (rep200)","NSCLC","one_cancer_vs_controls"
"8",0.857142857142857,0.712317927548219,"Fold8","Full dataset (rep200)","NSCLC","one_cancer_vs_controls"
"9",1,1,"Fold9","Full dataset (rep200)","NSCLC","one_cancer_vs_controls"
"10",0.904761904761905,0.851237632457194,"Fold10","Full dataset (rep200)","NSCLC","one_cancer_vs_controls"
"11",1,1,"Fold1","Full dataset (rep200)","PRAD","one_cancer_vs_controls"
"12",1,1,"Fold2","Full dataset (rep200)","PRAD","one_cancer_vs_controls"
"13",1,1,"Fold3","Full dataset (rep200)","PRAD","one_cancer_vs_controls"
"14",1,1,"Fold4","Full dataset (rep200)","PRAD","one_cancer_vs_controls"
"15",1,1,"Fold5","Full dataset (rep200)","PRAD","one_cancer_vs_controls"
"16",0.638888888888889,0.569782150616651,"Fold6","Full dataset (rep200)","PRAD","one_cancer_vs_controls"
"17",0.880952380952381,0.839965005698502,"Fold7","Full dataset (rep200)","PRAD","one_cancer_vs_controls"
"18",0.952380952380952,0.955489535791826,"Fold8","Full dataset (rep200)","PRAD","one_cancer_vs_controls"
"19",0.971428571428571,0.963535688641209,"Fold9","Full dataset (rep200)","PRAD","one_cancer_vs_controls"
"20",0.928571428571429,0.906730702010763,"Fold10","Full dataset (rep200)","PRAD","one_cancer_vs_controls"
"21",1,1,"Fold1","Full dataset (rep200)","SKCM","one_cancer_vs_controls"
"22",0.571428571428571,0.229891778303926,"Fold2","Full dataset (rep200)","SKCM","one_cancer_vs_controls"
"23",0.571428571428571,0.599405822126432,"Fold3","Full dataset (rep200)","SKCM","one_cancer_vs_controls"
"24",1,1,"Fold4","Full dataset (rep200)","SKCM","one_cancer_vs_controls"
"25",0.928571428571429,0.797267445945918,"Fold5","Full dataset (rep200)","SKCM","one_cancer_vs_controls"
"26",0.916666666666667,0.797267445945918,"Fold6","Full dataset (rep200)","SKCM","one_cancer_vs_controls"
"27",1,1,"Fold7","Full dataset (rep200)","SKCM","one_cancer_vs_controls"
"28",0.571428571428571,0.136953782644658,"Fold8","Full dataset (rep200)","SKCM","one_cancer_vs_controls"
