"","AUROC","AUPR","rep","dataString","minorityClassSize","majorityClassSize","diseaseType","col2Predict","nullAUROC","nullAUPR"
"1",1,1,"Fold1","Full multikingdom database (rep200)",25,260,"Bile Duct","one_cancer_vs_healthy",0.5,0.087719298245614
"2",1,1,"Fold2","Full multikingdom database (rep200)",25,260,"Bile Duct","one_cancer_vs_healthy",0.5,0.087719298245614
"3",1,1,"Fold3","Full multikingdom database (rep200)",25,260,"Bile Duct","one_cancer_vs_healthy",0.5,0.087719298245614
"4",0.903846153846154,0.614623300431854,"Fold4","Full multikingdom database (rep200)",25,260,"Bile Duct","one_cancer_vs_healthy",0.5,0.087719298245614
"5",1,1,"Fold5","Full multikingdom database (rep200)",25,260,"Bile Duct","one_cancer_vs_healthy",0.5,0.087719298245614
"6",0.740384615384615,0.553449895576294,"Fold6","Full multikingdom database (rep200)",25,260,"Bile Duct","one_cancer_vs_healthy",0.5,0.087719298245614
"7",0.974358974358974,0.851237632457194,"Fold7","Full multikingdom database (rep200)",25,260,"Bile Duct","one_cancer_vs_healthy",0.5,0.087719298245614
"8",1,1,"Fold8","Full multikingdom database (rep200)",25,260,"Bile Duct","one_cancer_vs_healthy",0.5,0.087719298245614
"9",1,1,"Fold9","Full multikingdom database (rep200)",25,260,"Bile Duct","one_cancer_vs_healthy",0.5,0.087719298245614
"10",1,1,"Fold10","Full multikingdom database (rep200)",25,260,"Bile Duct","one_cancer_vs_healthy",0.5,0.087719298245614
"11",0.984615384615385,0.938339728069097,"Fold1","Full multikingdom database (rep200)",54,260,"Breast","one_cancer_vs_healthy",0.5,0.171974522292994
"12",0.976923076923077,0.893711017806255,"Fold2","Full multikingdom database (rep200)",54,260,"Breast","one_cancer_vs_healthy",0.5,0.171974522292994
"13",1,1,"Fold3","Full multikingdom database (rep200)",54,260,"Breast","one_cancer_vs_healthy",0.5,0.171974522292994
"14",1,1,"Fold4","Full multikingdom database (rep200)",54,260,"Breast","one_cancer_vs_healthy",0.5,0.171974522292994
"15",0.993589743589744,0.97430822002879,"Fold5","Full multikingdom database (rep200)",54,260,"Breast","one_cancer_vs_healthy",0.5,0.171974522292994
"16",1,1,"Fold6","Full multikingdom database (rep200)",54,260,"Breast","one_cancer_vs_healthy",0.5,0.171974522292994
"17",1,1,"Fold7","Full multikingdom database (rep200)",54,260,"Breast","one_cancer_vs_healthy",0.5,0.171974522292994
"18",1,1,"Fold8","Full multikingdom database (rep200)",54,260,"Breast","one_cancer_vs_healthy",0.5,0.171974522292994
"19",1,1,"Fold9","Full multikingdom database (rep200)",54,260,"Breast","one_cancer_vs_healthy",0.5,0.171974522292994
