"","AUROC","AUPR","rep","dataString","minorityClassSize","majorityClassSize","diseaseType","col2Predict","nullAUROC","nullAUPR"
"1",0.904761904761905,0.306852819440055,"Fold1","Full multikingdom database (rep200)",25,206,"Bile Duct","phenotype",0.5,0.108225108225108
"2",1,1,"Fold2","Full multikingdom database (rep200)",25,206,"Bile Duct","phenotype",0.5,0.108225108225108
"3",0.875,0.259819564920521,"Fold3","Full multikingdom database (rep200)",25,206,"Bile Duct","phenotype",0.5,0.108225108225108
"4",0.714285714285714,0.555352167077669,"Fold4","Full multikingdom database (rep200)",25,206,"Bile Duct","phenotype",0.5,0.108225108225108
"5",0.95,0.537901879626703,"Fold5","Full multikingdom database (rep200)",25,206,"Bile Duct","phenotype",0.5,0.108225108225108
"6",0.357142857142857,0.0641701158374464,"Fold6","Full multikingdom database (rep200)",25,206,"Bile Duct","phenotype",0.5,0.108225108225108
"7",0.80952380952381,0.291646909020942,"Fold7","Full multikingdom database (rep200)",25,206,"Bile Duct","phenotype",0.5,0.108225108225108
"8",0.976190476190476,0.797267445945918,"Fold8","Full multikingdom database (rep200)",25,206,"Bile Duct","phenotype",0.5,0.108225108225108
"9",0.968253968253968,0.851237632457194,"Fold9","Full multikingdom database (rep200)",25,206,"Bile Duct","phenotype",0.5,0.108225108225108
"10",1,1,"Fold10","Full multikingdom database (rep200)",25,206,"Bile Duct","phenotype",0.5,0.108225108225108
"11",1,1,"Fold1","Full multikingdom database (rep200)",54,177,"Breast","phenotype",0.5,0.233766233766234
"12",1,1,"Fold2","Full multikingdom database (rep200)",54,177,"Breast","phenotype",0.5,0.233766233766234
"13",0.988888888888889,0.963535688641209,"Fold3","Full multikingdom database (rep200)",54,177,"Breast","phenotype",0.5,0.233766233766234
"14",1,1,"Fold4","Full multikingdom database (rep200)",54,177,"Breast","phenotype",0.5,0.233766233766234
"15",0.990740740740741,0.97430822002879,"Fold5","Full multikingdom database (rep200)",54,177,"Breast","phenotype",0.5,0.233766233766234
"16",0.988888888888889,0.963535688641209,"Fold6","Full multikingdom database (rep200)",54,177,"Breast","phenotype",0.5,0.233766233766234
"17",1,1,"Fold7","Full multikingdom database (rep200)",54,177,"Breast","phenotype",0.5,0.233766233766234
"18",1,1,"Fold8","Full multikingdom database (rep200)",54,177,"Breast","phenotype",0.5,0.233766233766234
"19",0.892156862745098,0.785449074433457,"Fold9","Full multikingdom database (rep200)",54,177,"Breast","phenotype",0.5,0.233766233766234
"20",1,1,"Fold10","Full multikingdom database (rep200)",54,177,"Breast","phenotype",0.5,0.233766233766234
"21",0.738095238095238,0.165639082772373,"Fold1","Full multikingdom database (rep200)",27,204,"Colorectal","phenotype",0.5,0.116883116883117
"22",0.9,0.39484133471821,"Fold2","Full multikingdom database (rep200)",27,204,"Colorectal","phenotype",0.5,0.116883116883117
"23",0.925,0.365744337268246,"Fold3","Full multikingdom database (rep200)",27,204,"Colorectal","phenotype",0.5,0.116883116883117
