"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label","origin"
"G000182965",-0.419563082736211,0.0779962317616579,-5.37927375797229,7.47869128964387e-08,1.23398406279124e-06,TRUE,"Candida","Candida_albicans","G000182965",1,"G000182965
(Candida)","Shared with WIS"
"G000243375",-0.463839997766765,0.0846958992120901,-5.47653430782104,4.337367124466e-08,1.23398406279124e-06,TRUE,"Torulaspora","Torulaspora_delbrueckii","G000243375",1,"G000243375
(Torulaspora)","Shared with WIS"
"G000002545",-0.425888110864028,0.0848788559688373,-5.01759956590826,5.23210875646511e-07,4.66999812704486e-06,TRUE,"Nakaseomyces","Candida_glabrata","G000002545",1,"G000002545
(Nakaseomyces)","Shared with WIS"
"G000146045",-1.22223885120842,0.244328011503766,-5.00245077789447,5.6606037903574e-07,4.66999812704486e-06,TRUE,"Saccharomyces","Saccharomyces_cerevisiae","G000146045",1,"","Shared with WIS"
"G000181695",0.206685332715329,0.0935626652619174,2.20905777039098,0.0271706229190206,0.128090079475383,FALSE,"Malassezia","Malassezia_globosa","G000181695",0,"","Shared with WIS"
"G000349305",-0.085546978971825,0.0385373791200559,-2.21984423759902,0.0264293428323088,0.128090079475383,FALSE,"Malassezia","Malassezia_sympodialis","G000349305",0,"","Shared with WIS"
"G000721765",0.117553913997749,0.0530152069662845,2.21736216313384,0.0265983531122673,0.128090079475383,FALSE,"Aureobasidium","Aureobasidium_namibiae","G000721765",0,"","Shared with WIS"
"G000315875",-0.114536788559143,0.063357022623209,-1.80779941696923,0.0706377245567875,0.291380613796748,FALSE,"Candida","Candida_orthopsilosis","G000315875",0,"","Shared with WIS"
"G000264905",-0.0603678000014812,0.0358068887886557,-1.68592698343026,0.091809863925562,0.336636167727061,FALSE,"Stereum","Stereum_hirsutum","G000264905",0,"","Shared with WIS"
"G001661255",-0.110171540450283,0.0723244462103978,-1.52329601155582,0.127684664557636,0.4213593930402,FALSE,"Wickerhamomyces","Wickerhamomyces_anomalus","G001661255",0,"","Shared with WIS"
"G005498985",-0.04190556199917,0.0329555633548797,-1.27157777726064,0.203523176709696,0.610569530129087,FALSE,"Sporisorium","Sporisorium_graminicola","G005498985",0,"","Shared with WIS"
"G000006335",0.108495143694697,0.115763303501188,0.937215338655084,0.348647801298543,0.761116011679737,FALSE,"Candida","Candida_tropicalis","G000006335",0,"","Shared with WIS"
"G000300575",-0.0375106040503103,0.0355494371055931,-1.05516731358901,0.291348810440576,0.761116011679737,FALSE,"Agaricus","Agaricus_bisporus","G000300575",0,"","Shared with WIS"
"G000769745",0.0525233635030934,0.055171738594978,0.951997614008023,0.341098191944269,0.761116011679737,FALSE,"Penicillium","Penicillium_expansum","G000769745",0,"","Shared with WIS"
"G001661395",0.0314893133960344,0.0350543626291135,0.898299413662187,0.369025945056842,0.761116011679737,FALSE,"Hyphopichia","Hyphopichia_burtonii","G001661395",0,"","Shared with WIS"
"G003290485",-0.130576106399316,0.127737050323334,-1.02222578389587,0.306674050023572,0.761116011679737,FALSE,"Malassezia","Malassezia_restricta","G003290485",0,"","Shared with WIS"
"G000006445",-0.0251751712934412,0.0397579006908581,-0.633211785732691,0.526595350323193,0.775109544254717,FALSE,"Debaryomyces","Debaryomyces_hansenii","G000006445",0,"","Shared with WIS"
"G000149955",-0.0596315889825565,0.109840621507348,-0.542891948026419,0.587204200192968,0.775109544254717,FALSE,"Fusarium","Fusarium_oxysporum","G000149955",0,"","Shared with WIS"
"G000149985",0.0202429414582969,0.0335298312438786,0.603729297384776,0.546023632522938,0.775109544254717,FALSE,"Pyrenophora","Pyrenophora_tritici-repentis","G000149985",0,"","Shared with WIS"
"G000400465",0.0198269549046149,0.0258589079802701,0.766735970433963,0.443238512492809,0.775109544254717,FALSE,"Wallemia","Wallemia_ichthyophaga","G000400465",0,"","Shared with WIS"
"G001329695",-0.0211068194413402,0.0367928932881034,-0.573665660812951,0.566194069829528,0.775109544254717,FALSE,"Rhodotorula","Rhodotorula_graminis","G001329695",0,"","Shared with WIS"
"G001661405",0.0817293319445892,0.11523600656055,0.709234330344874,0.478179072718387,0.775109544254717,FALSE,"Cyberlindnera","Cyberlindnera_jadinii","G001661405",0,"","Shared with WIS"
"G003144115",0.0190038475374736,0.0314487816099346,0.604279293652202,0.54565797047646,0.775109544254717,FALSE,"Tilletiopsis","Tilletiopsis_washingtonensis","G003144115",0,"","Shared with WIS"
