"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label","origin"
"G000300575",1.83749448016636,0.204223569270926,8.99746531081685,2.30988775807334e-19,7.39164082583467e-18,TRUE,"Agaricus","Agaricus_bisporus","G000300575",1,"G000300575
(Agaricus)","Shared with WIS"
"G000146045",1.06352416112023,0.140190235641885,7.58629269899367,3.2918834093377e-14,5.26701345494033e-13,TRUE,"Saccharomyces","Saccharomyces_cerevisiae","G000146045",1,"G000146045
(Saccharomyces)","Shared with WIS"
"G000182965",-0.208808761826538,0.0744881741430851,-2.80324714934528,0.0050590884260914,0.0539636098783082,FALSE,"Candida","Candida_albicans","G000182965",0,"","Shared with WIS"
"G000349305",-0.0695978945355172,0.0264816917413834,-2.62815137398323,0.00858503034585094,0.0686802427668076,FALSE,"Malassezia","Malassezia_sympodialis","G000349305",0,"","Shared with WIS"
"G003290485",-0.584032848707097,0.236575019842089,-2.46870041096026,0.0135604694851402,0.0867870047048972,FALSE,"Malassezia","Malassezia_restricta","G003290485",0,"","Shared with WIS"
"G000149955",-0.154185805112136,0.079578719966367,-1.937525574391,0.0526811302903124,0.268473284632637,FALSE,"Fusarium","Fusarium_oxysporum","G000149955",0,"","Shared with WIS"
"G001661405",-0.0934772628284118,0.0494531104447579,-1.89022008904438,0.0587285310133895,0.268473284632637,FALSE,"Cyberlindnera","Cyberlindnera_jadinii","G001661405",0,"","Shared with WIS"
"G000006445",-0.0481768561133412,0.026519619070638,-1.81664962777243,0.0692707792866891,0.277083117146756,FALSE,"Debaryomyces","Debaryomyces_hansenii","G000006445",0,"","Shared with WIS"
"G000293215",0.0707359506579587,0.0446166849572766,1.58541475516823,0.11287213090999,0.401323132124408,FALSE,"Trichosporon","Trichosporon_asahii","G000293215",0,"","Shared with WIS"
"G000181695",-0.284299006010378,0.189734392984417,-1.49840522605582,0.1340279994342,0.428889598189441,FALSE,"Malassezia","Malassezia_globosa","G000181695",0,"","Shared with WIS"
"G000243375",0.0483874552530003,0.0393494956912283,1.22968425396585,0.218815365493716,0.583507641316576,FALSE,"Torulaspora","Torulaspora_delbrueckii","G000243375",0,"","Shared with WIS"
"G003144115",0.162184260927333,0.129409866080602,1.25326040308485,0.210110953862617,0.583507641316576,FALSE,"Tilletiopsis","Tilletiopsis_washingtonensis","G003144115",0,"","Shared with WIS"
"G000315875",-0.0260929605195081,0.0234408285184109,-1.11314156404558,0.265647635093924,0.653901871000428,FALSE,"Candida","Candida_orthopsilosis","G000315875",0,"","Shared with WIS"
"G000002545",-0.018293450408613,0.0251833780905029,-0.726409711313184,0.467587639557942,0.726491542257089,FALSE,"Nakaseomyces","Candida_glabrata","G000002545",0,"","Shared with WIS"
"G000006335",-0.0464506963757663,0.0521955855771859,-0.889935343422401,0.373500604733168,0.726491542257089,FALSE,"Candida","Candida_tropicalis","G000006335",0,"","Shared with WIS"
"G000264905",0.0284464719619952,0.0423453586956858,0.671773078282917,0.501728170092279,0.726491542257089,FALSE,"Stereum","Stereum_hirsutum","G000264905",0,"","Shared with WIS"
