"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label","origin"
"G000300575",-0.475955652028068,0.0614010795278848,-7.7515844295851,9.07529735668042e-15,2.90409515413774e-13,TRUE,"Agaricus","Agaricus_bisporus","G000300575",1,"G000300575
(Agaricus)","Shared with WIS"
"G000181695",0.612904791118197,0.165493722769545,3.70349268154229,0.00021265131891901,0.00340242110270416,TRUE,"Malassezia","Malassezia_globosa","G000181695",1,"G000181695
(Malassezia)","Shared with WIS"
"G001661405",0.605332390265226,0.25930502395282,2.33444142746484,0.0195726196882687,0.208774610008199,FALSE,"Cyberlindnera","Cyberlindnera_jadinii","G001661405",0,"","Shared with WIS"
"G000349305",-0.0654626165825273,0.0304008756955102,-2.15331351761671,0.0312940471337906,0.250352377070325,FALSE,"Malassezia","Malassezia_sympodialis","G000349305",0,"","Shared with WIS"
"G000006335",-0.0826949786515329,0.042103592043262,-1.96408369543774,0.04952038669841,0.316930474869824,FALSE,"Candida","Candida_tropicalis","G000006335",0,"","Shared with WIS"
"G000149955",0.301596335081666,0.168982255041614,1.78478110028413,0.0742968301083654,0.396249760577949,FALSE,"Fusarium","Fusarium_oxysporum","G000149955",0,"","Shared with WIS"
"G000006445",-0.0460924698064996,0.0303735929539995,-1.51751786087033,0.12913598751818,0.56444220589762,FALSE,"Debaryomyces","Debaryomyces_hansenii","G000006445",0,"","Shared with WIS"
"G000182965",-0.135464799220046,0.0961227131140257,-1.40929021696829,0.158749370408706,0.56444220589762,FALSE,"Candida","Candida_albicans","G000182965",0,"","Shared with WIS"
"G001642055",0.157239190058536,0.109443138879864,1.43672039807939,0.150797456579296,0.56444220589762,FALSE,"Alternaria","Alternaria_alternata","G001642055",0,"","Shared with WIS"
"G003290485",-0.37806442166111,0.292511509964207,-1.29247707793574,0.196191979042263,0.627814332935242,FALSE,"Malassezia","Malassezia_restricta","G003290485",0,"","Shared with WIS"
"G000002545",-0.0150121032745586,0.0291211731635887,-0.515504756289447,0.60620034680375,0.940769541695146,FALSE,"Nakaseomyces","Candida_glabrata","G000002545",0,"","Shared with WIS"
"G000146045",-0.012587302055817,0.169405752767017,-0.0743026836469255,0.940769541695146,0.940769541695146,FALSE,"Saccharomyces","Saccharomyces_cerevisiae","G000146045",0,"","Shared with WIS"
"G000149985",0.00435161550850686,0.0274425800931475,0.158571661036838,0.874006357466877,0.940769541695146,FALSE,"Pyrenophora","Pyrenophora_tritici-repentis","G000149985",0,"","Shared with WIS"
"G000243375",0.00744821497581027,0.0255238770301363,0.291813620909398,0.770429130322312,0.940769541695146,FALSE,"Torulaspora","Torulaspora_delbrueckii","G000243375",0,"","Shared with WIS"
"G000264905",0.0441010374219691,0.0451535165381328,0.976691093034253,0.328722106055715,0.940769541695146,FALSE,"Stereum","Stereum_hirsutum","G000264905",0,"","Shared with WIS"
"G000281105",-0.00569631332886424,0.0312628394026241,-0.18220716472689,0.855420150476067,0.940769541695146,FALSE,"Bonordeniella","Coniosporium_apollinis","G000281105",0,"","Shared with WIS"
"G000293215",0.00287298606122315,0.0259040931307336,0.110908575209473,0.911688845524309,0.940769541695146,FALSE,"Trichosporon","Trichosporon_asahii","G000293215",0,"","Shared with WIS"
"G000315875",0.0657089216972445,0.0896732410690494,0.732759526854258,0.463705110473264,0.940769541695146,FALSE,"Candida","Candida_orthopsilosis","G000315875",0,"","Shared with WIS"
"G000400465",0.014699781237646,0.02527541645709,0.581584135818365,0.560846831206967,0.940769541695146,FALSE,"Wallemia","Wallemia_ichthyophaga","G000400465",0,"","Shared with WIS"
"G000403515",0.014699781237646,0.0253646848399287,0.57953731065114,0.562226678793751,0.940769541695146,FALSE,"Pseudozyma","Pseudozyma_hubeiensis","G000403515",0,"","Shared with WIS"
"G000523435",0.0124121667803524,0.0254213159075084,0.48825823279614,0.625366941883232,0.940769541695146,FALSE,"Bipolaris","Bipolaris_zeicola","G000523435",0,"","Shared with WIS"
"G000721765",0.00693946685756849,0.0269441947582192,0.257549610216191,0.796754523115521,0.940769541695146,FALSE,"Aureobasidium","Aureobasidium_namibiae","G000721765",0,"","Shared with WIS"
"G000721785",0.0314847080099264,0.0894764143255368,0.351877176206206,0.724930376666642,0.940769541695146,FALSE,"Aureobasidium","Aureobasidium_pullulans","G000721785",0,"","Shared with WIS"
"G000769745",-0.0076156404415754,0.026378122003868,-0.28871048668509,0.772802937073857,0.940769541695146,FALSE,"Penicillium","Penicillium_expansum","G000769745",0,"","Shared with WIS"
"G001329695",0.00287298606122315,0.0259892850956039,0.110545020790477,0.911977147202082,0.940769541695146,FALSE,"Rhodotorula","Rhodotorula_graminis","G001329695",0,"","Shared with WIS"
"G001477535",0.0133616125640217,0.0254263834271225,0.525501890676626,0.599234339314569,0.940769541695146,FALSE,"Pneumocystis","Pneumocystis_jirovecii","G001477535",0,"","Shared with WIS"
"G001661255",-0.0043785802006126,0.0257877515444674,-0.169793019490759,0.865172916856375,0.940769541695146,FALSE,"Wickerhamomyces","Wickerhamomyces_anomalus","G001661255",0,"","Shared with WIS"
"G001661395",0.00481287604439846,0.0256728761486039,0.187469297033172,0.851292694324578,0.940769541695146,FALSE,"Hyphopichia","Hyphopichia_burtonii","G001661395",0,"","Shared with WIS"
"G003144115",0.0805302596995813,0.0904391663384755,0.890435670295662,0.373231996171639,0.940769541695146,FALSE,"Tilletiopsis","Tilletiopsis_washingtonensis","G003144115",0,"","Shared with WIS"
"G004022145",-0.014052486974264,0.0274266816507867,-0.512365555308105,0.608395193004366,0.940769541695146,FALSE,"Byssochlamys","Byssochlamys_spectabilis","G004022145",0,"","Shared with WIS"
"G005498985",0.014699781237646,0.025354195859316,0.579777064088776,0.562064966551979,0.940769541695146,FALSE,"Sporisorium","Sporisorium_graminicola","G005498985",0,"","Shared with WIS"
"G900074925",0.014699781237646,0.0253828386527524,0.579122825415432,0.562506299575176,0.940769541695146,FALSE,"Ramularia","Ramularia_collo-cygni","G900074925",0,"","Shared with WIS"
