"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label","origin"
"G000300575",-0.483482568544821,0.0768038452390044,-6.29503076363274,3.07338900945585e-10,9.83484483025872e-09,TRUE,"Agaricus","Agaricus_bisporus","G000300575",1,"G000300575
(Agaricus)","Shared with WIS"
"G000181695",0.661992132630649,0.12187142735254,5.43188954959632,5.57604335798964e-08,8.92166937278343e-07,TRUE,"Malassezia","Malassezia_globosa","G000181695",1,"G000181695
(Malassezia)","Shared with WIS"
"G000146045",-0.363509928799495,0.0679979667897481,-5.34589409009065,8.99718086485527e-08,9.59699292251229e-07,TRUE,"Saccharomyces","Saccharomyces_cerevisiae","G000146045",1,"G000146045
(Saccharomyces)","Shared with WIS"
"G000149955",0.249535742516164,0.105028366350343,2.37588902110301,0.0175067273449242,0.140053818759394,FALSE,"Fusarium","Fusarium_oxysporum","G000149955",0,"","Shared with WIS"
"G003290485",0.626914966542872,0.280724595097881,2.23320285251203,0.0255355703117835,0.163427649995414,FALSE,"Malassezia","Malassezia_restricta","G003290485",0,"","Shared with WIS"
"G000182965",0.939222991278809,0.449361076057995,2.09012983393691,0.0366061383621573,0.195232737931506,FALSE,"Candida","Candida_albicans","G000182965",0,"","Shared with WIS"
"G000315875",0.168990280203779,0.0894527707505491,1.88915646531544,0.0588708662142441,0.235483464856976,FALSE,"Candida","Candida_orthopsilosis","G000315875",0,"","Shared with WIS"
"G001661405",-0.103606400510251,0.0544783560142901,-1.90179014365033,0.0571985953556405,0.235483464856976,FALSE,"Cyberlindnera","Cyberlindnera_jadinii","G001661405",0,"","Shared with WIS"
"G000006335",0.384568422259838,0.226458277450496,1.69818664430981,0.0894725404677183,0.293848558814013,FALSE,"Candida","Candida_tropicalis","G000006335",0,"","Shared with WIS"
"G000006445",0.203943810661603,0.121753773162925,1.67505125601895,0.0939241754925195,0.293848558814013,FALSE,"Debaryomyces","Debaryomyces_hansenii","G000006445",0,"","Shared with WIS"
"G001661255",0.0671823033695686,0.0409654528491718,1.63997462976726,0.101010442092317,0.293848558814013,FALSE,"Wickerhamomyces","Wickerhamomyces_anomalus","G001661255",0,"","Shared with WIS"
"G000002545",0.167752515953403,0.117853732789044,1.42339586522624,0.154621430440923,0.381570777386108,FALSE,"Nakaseomyces","Candida_glabrata","G000002545",0,"","Shared with WIS"
"G000243375",0.0541835923085827,0.0389659263033852,1.39053777104422,0.164365637965487,0.381570777386108,FALSE,"Torulaspora","Torulaspora_delbrueckii","G000243375",0,"","Shared with WIS"
"G000349305",0.149777162702099,0.108368299840493,1.3821123236459,0.166937215106422,0.381570777386108,FALSE,"Malassezia","Malassezia_sympodialis","G000349305",0,"","Shared with WIS"
"G000264905",-0.0318870473080087,0.0332257435016549,-0.95970906735076,0.337201658490804,0.674403316981607,FALSE,"Stereum","Stereum_hirsutum","G000264905",0,"","Shared with WIS"
"G004022145",-0.0327992287041523,0.0328137802145144,-0.999556542700446,0.317525162815648,0.674403316981607,FALSE,"Byssochlamys","Byssochlamys_spectabilis","G004022145",0,"","Shared with WIS"
"G000721785",-0.0392528496178335,0.0467217669020079,-0.84014052165794,0.400829602416832,0.743792531219583,FALSE,"Aureobasidium","Aureobasidium_pullulans","G000721785",0,"","Shared with WIS"
"G003144115",-0.0277537142285753,0.0342964797250645,-0.809229240174535,0.418383298811016,0.743792531219583,FALSE,"Tilletiopsis","Tilletiopsis_washingtonensis","G003144115",0,"","Shared with WIS"
"G000281105",-0.0257324630020887,0.0366716997952752,-0.701698125413976,0.482867442323323,0.813250429176123,FALSE,"Bonordeniella","Coniosporium_apollinis","G000281105",0,"","Shared with WIS"
"G001329695",0.0238079116686594,0.0433056414939231,0.549764669159797,0.582480794552582,0.923534400818022,FALSE,"Rhodotorula","Rhodotorula_graminis","G001329695",0,"","Shared with WIS"
"G001661395",0.0127159996054733,0.024658122179591,0.515692132306735,0.606069450536827,0.923534400818022,FALSE,"Hyphopichia","Hyphopichia_burtonii","G001661395",0,"","Shared with WIS"
"G000149985",-0.0150872796534053,0.0330759342702592,-0.456140695229623,0.648288807977249,0.942965538875999,FALSE,"Pyrenophora","Pyrenophora_tritici-repentis","G000149985",0,"","Shared with WIS"
"G000293215",0.00887469789684351,0.0396672074176748,0.2237288297963,0.822968311580093,0.954461453683841,FALSE,"Trichosporon","Trichosporon_asahii","G000293215",0,"","Shared with WIS"
"G000400465",-0.00412401316414251,0.0310916729599492,-0.132640439433892,0.894477748926069,0.954461453683841,FALSE,"Wallemia","Wallemia_ichthyophaga","G000400465",0,"","Shared with WIS"
"G000403515",-0.0041240131641425,0.03117316263351,-0.132293704447855,0.894751986733147,0.954461453683841,FALSE,"Pseudozyma","Pseudozyma_hubeiensis","G000403515",0,"","Shared with WIS"
"G000523435",-0.00654760470456191,0.0312217447441104,-0.209712966338854,0.833891704893666,0.954461453683841,FALSE,"Bipolaris","Bipolaris_zeicola","G000523435",0,"","Shared with WIS"
"G000721765",-0.0123456049724064,0.0326163373157419,-0.378509850842387,0.705051877264802,0.954461453683841,FALSE,"Aureobasidium","Aureobasidium_namibiae","G000721765",0,"","Shared with WIS"
"G001477535",-0.0055417233323529,0.031227688732936,-0.17746184739276,0.859145630921191,0.954461453683841,FALSE,"Pneumocystis","Pneumocystis_jirovecii","G001477535",0,"","Shared with WIS"
"G005498985",-0.00412401316414251,0.0311635838137206,-0.132334367856845,0.894719824792331,0.954461453683841,FALSE,"Sporisorium","Sporisorium_graminicola","G005498985",0,"","Shared with WIS"
"G900074925",-0.00412401316414251,0.0311897435889229,-0.132223375045865,0.894807612828601,0.954461453683841,FALSE,"Ramularia","Ramularia_collo-cygni","G900074925",0,"","Shared with WIS"
"G000769745",-0.00223737843304445,0.0354209949811999,-0.063165318597966,0.949634861358078,0.980268243982532,FALSE,"Penicillium","Penicillium_expansum","G000769745",0,"","Shared with WIS"
"G001642055",0.00162462985597334,0.0900599824547168,0.0180394200808359,0.985607405843853,0.985607405843853,FALSE,"Alternaria","Alternaria_alternata","G001642055",0,"","Shared with WIS"
