"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label","origin"
"G000146045",1.71987871673243,0.125207257717003,13.7362541764133,6.1580380149918e-43,2.09373292509721e-41,TRUE,"Saccharomyces","Saccharomyces_cerevisiae","G000146045",1,"G000146045
(Saccharomyces)","Shared with WIS"
"G900074925",1.49199105495995,0.121539203132215,12.2758008651489,1.22176824622137e-34,2.07700601857633e-33,TRUE,"Ramularia","Ramularia_collo-cygni","G900074925",1,"G900074925
(Ramularia)","Shared with WIS"
"G000349305",-0.725278231636878,0.066453443404457,-10.914080512316,9.87232115365033e-28,1.11886306408037e-26,TRUE,"Malassezia","Malassezia_sympodialis","G000349305",1,"G000349305
(Malassezia)","Shared with WIS"
"G003290485",-0.53249856540519,0.0702678778418743,-7.57812220547612,3.50592095815587e-14,2.98003281443249e-13,TRUE,"Malassezia","Malassezia_restricta","G003290485",1,"","Shared with WIS"
"G000182965",0.758604008015101,0.112600284666961,6.73714112054718,1.61533279713416e-11,1.09842630205123e-10,TRUE,"Candida","Candida_albicans","G000182965",1,"","Shared with WIS"
"G000006335",0.427429751087878,0.0714666338969321,5.98082948336856,2.22004179522876e-09,1.25802368396296e-08,TRUE,"Candida","Candida_tropicalis","G000006335",1,"","Shared with WIS"
"G000315875",0.317246709456667,0.0540170663475935,5.87308291448524,4.2776438446612e-09,2.07771272454972e-08,TRUE,"Candida","Candida_orthopsilosis","G000315875",1,"","Shared with WIS"
"G000181695",-0.398961640308942,0.0715373656647112,-5.57696857581864,2.44746059618123e-08,1.04017075337702e-07,TRUE,"Malassezia","Malassezia_globosa","G000181695",1,"","Shared with WIS"
"G001661395",0.268029617604219,0.0490425525718139,5.4652460679272,4.62265099770144e-08,1.74633482135388e-07,TRUE,"Hyphopichia","Hyphopichia_burtonii","G001661395",1,"","Shared with WIS"
"G000002545",0.292379518146472,0.0648251429948723,4.51027957114725,6.47422445884231e-06,2.20123631600638e-05,TRUE,"Nakaseomyces","Candida_glabrata","G000002545",1,"","Shared with WIS"
"G001642055",-0.32385482004759,0.0760963057343963,-4.25585469520638,2.0825192849148e-05,6.43687778973666e-05,TRUE,"Alternaria","Alternaria_alternata","G001642055",1,"","Shared with WIS"
"G000769745",-0.281076970784932,0.0671921196809291,-4.18318356556787,2.87455100557977e-05,8.14456118247602e-05,TRUE,"Penicillium","Penicillium_expansum","G000769745",1,"","Shared with WIS"
"G005498985",-0.168425539448478,0.0405790602950602,-4.15055297544632,3.31672988424031e-05,8.67452431262851e-05,TRUE,"Sporisorium","Sporisorium_graminicola","G005498985",1,"","Shared with WIS"
"G000264905",-0.232039939061692,0.0584122733379715,-3.97245177771316,7.11366401852899e-05,0.000172760411878561,TRUE,"Stereum","Stereum_hirsutum","G000264905",1,"","Shared with WIS"
"G000149955",-0.183836831757597,0.0600839636383646,-3.05966551847479,0.00221584308815101,0.00474395685837339,TRUE,"Fusarium","Fusarium_oxysporum","G000149955",1,"","Shared with WIS"
"G001329695",-0.256629010104119,0.0839362311691041,-3.05742831825622,0.00223245028629336,0.00474395685837339,TRUE,"Rhodotorula","Rhodotorula_graminis","G001329695",1,"","Shared with WIS"
"G000293215",-0.146563372270958,0.0490319318014537,-2.98914129805125,0.00279762722614101,0.0052844069827108,TRUE,"Trichosporon","Trichosporon_asahii","G000293215",1,"","Shared with WIS"
"G000300575",-0.176707154440754,0.0589114484371915,-2.99953844504689,0.002703889979984,0.0052844069827108,TRUE,"Agaricus","Agaricus_bisporus","G000300575",1,"","Shared with WIS"
"G000400465",-0.137034346959119,0.0506138356598059,-2.70744837202572,0.00678026157468479,0.0121330996599623,TRUE,"Wallemia","Wallemia_ichthyophaga","G000400465",1,"","Shared with WIS"
"G000721785",-0.175921613044754,0.0793338971487696,-2.2174835646213,0.0265900649380786,0.0452031103947335,TRUE,"Aureobasidium","Aureobasidium_pullulans","G000721785",1,"","Shared with WIS"
"G004022145",0.109103685367575,0.0561191265391447,1.94414439596582,0.0518780408413435,0.0839930185050323,FALSE,"Byssochlamys","Byssochlamys_spectabilis","G004022145",0,"","Shared with WIS"
"G001661255",0.0741846978413185,0.039470116939462,1.87951553209484,0.0601741347389509,0.0929963900511059,FALSE,"Wickerhamomyces","Wickerhamomyces_anomalus","G001661255",0,"","Shared with WIS"
"G003144115",0.0565928356931042,0.0318674898855919,1.77587992955452,0.0757527097014024,0.111982266515117,FALSE,"Tilletiopsis","Tilletiopsis_washingtonensis","G003144115",0,"","Shared with WIS"
"G000149985",-0.066831100921874,0.0427913478809018,-1.56179004007727,0.118337458901879,0.167644733444329,FALSE,"Pyrenophora","Pyrenophora_tritici-repentis","G000149985",0,"","Shared with WIS"
"G000403515",-0.0422884933755308,0.0301919845352166,-1.40065298874953,0.161317867133201,0.219392299301153,FALSE,"Pseudozyma","Pseudozyma_hubeiensis","G000403515",0,"","Shared with WIS"
"G000523435",-0.0481870121855333,0.0470441699644004,-1.02429296174208,0.305696921316469,0.399757512490767,FALSE,"Bipolaris","Bipolaris_zeicola","G000523435",0,"","Shared with WIS"
"G001477535",-0.0316352610957845,0.0330296341364981,-0.957784181473183,0.338171597362419,0.42584571519712,FALSE,"Pneumocystis","Pneumocystis_jirovecii","G001477535",0,"","Shared with WIS"
"G000365145",0.0312164106831896,0.0357561034330507,0.873037263180505,0.382642767309461,0.464637646018631,FALSE,"Cyphellophora","Cyphellophora_europaea","G000365145",0,"","Shared with WIS"
"G000721765",-0.0282292098175549,0.0343922942772345,-0.820800426688627,0.411759955517134,0.48275305129595,FALSE,"Aureobasidium","Aureobasidium_namibiae","G000721765",0,"","Shared with WIS"
"G000281105",0.0262196720354129,0.0361490279562279,0.725321634295722,0.468254736482512,0.530688701346847,FALSE,"Bonordeniella","Coniosporium_apollinis","G000281105",0,"","Shared with WIS"
"G000006445",0.0415028546261066,0.0650466756669104,0.638047282210601,0.523442901918372,0.57409866662015,FALSE,"Debaryomyces","Debaryomyces_hansenii","G000006445",0,"","Shared with WIS"
"G000143185",0.0194422223974057,0.0399974656661262,0.486086357563183,0.626905939077697,0.666087560270053,FALSE,"Schizophyllum","Schizophyllum_commune","G000143185",0,"","Shared with WIS"
"G001661405",0.0255422163587897,0.0801877833792394,0.318530021437188,0.750082925776611,0.772812711406205,FALSE,"Cyberlindnera","Cyberlindnera_jadinii","G001661405",0,"","Shared with WIS"
"G000243375",0.0126956224703843,0.0455136579282628,0.278940938792368,0.78029015030637,0.78029015030637,FALSE,"Torulaspora","Torulaspora_delbrueckii","G000243375",0,"","Shared with WIS"
