"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label","origin"
"G000181695",0.756344921095396,0.0856028446411907,8.83551153312322,9.96412535252622e-19,2.78995509870734e-17,TRUE,"Malassezia","Malassezia_globosa","G000181695",1,"G000181695
(Malassezia)","Shared with WIS"
"G000300575",-0.320355434289986,0.0565378529970017,-5.66621152570074,1.45989287031995e-08,2.04385001844794e-07,TRUE,"Agaricus","Agaricus_bisporus","G000300575",1,"G000300575
(Agaricus)","Shared with WIS"
"G003290485",0.80388385281167,0.196272704868546,4.09574960181078,4.20804568787208e-05,0.000392750930868061,TRUE,"Malassezia","Malassezia_restricta","G003290485",1,"G003290485
(Malassezia)","Shared with WIS"
"G900074925",1.20159953487859,0.458978422993587,2.61798697865016,0.00884501802671386,0.061915126186997,FALSE,"Ramularia","Ramularia_collo-cygni","G900074925",0,"","Shared with WIS"
"G000293215",1.1041435708434,0.470387376851852,2.34730697544026,0.0189096681805383,0.105894141811015,FALSE,"Trichosporon","Trichosporon_asahii","G000293215",0,"","Shared with WIS"
"G000182965",0.766981540844876,0.429467444410205,1.78588982896756,0.0741170981346172,0.34587979129488,FALSE,"Candida","Candida_albicans","G000182965",0,"","Shared with WIS"
"G003144115",-0.0808846321472513,0.0497980613553136,-1.62425263044142,0.104321902472351,0.417287609889405,FALSE,"Tilletiopsis","Tilletiopsis_washingtonensis","G003144115",0,"","Shared with WIS"
"G000006335",0.315081727114091,0.242791260010683,1.29774740285226,0.194374148849135,0.604719574197309,FALSE,"Candida","Candida_tropicalis","G000006335",0,"","Shared with WIS"
"G000146045",0.245854519663897,0.188238517495817,1.30607977014779,0.191525431701242,0.604719574197309,FALSE,"Saccharomyces","Saccharomyces_cerevisiae","G000146045",0,"","Shared with WIS"
"G000006445",0.0821318062149854,0.0749056299100679,1.096470403007,0.272872968751541,0.764044312504314,FALSE,"Debaryomyces","Debaryomyces_hansenii","G000006445",0,"","Shared with WIS"
"G000002545",0.0726508838738435,0.0770596577442913,0.942787523335782,0.345789594737956,0.806842387721898,FALSE,"Nakaseomyces","Candida_glabrata","G000002545",0,"","Shared with WIS"
"G001661405",0.0780479709793178,0.0782132110813016,0.997887312134365,0.318334005113406,0.806842387721898,FALSE,"Cyberlindnera","Cyberlindnera_jadinii","G001661405",0,"","Shared with WIS"
"G000264905",0.0395194473845787,0.0863620769290036,0.457601864034219,0.647238504067201,0.809407326827449,FALSE,"Stereum","Stereum_hirsutum","G000264905",0,"","Shared with WIS"
"G000315875",0.0410538090167663,0.0664031686944323,0.618250752545918,0.5364100594872,0.809407326827449,FALSE,"Candida","Candida_orthopsilosis","G000315875",0,"","Shared with WIS"
"G000349305",-0.0267866275853112,0.0466447256489659,-0.574269163611322,0.565785672715608,0.809407326827449,FALSE,"Malassezia","Malassezia_sympodialis","G000349305",0,"","Shared with WIS"
"G000403515",-0.0262560733706428,0.0460747967754818,-0.56985760563603,0.568774280793597,0.809407326827449,FALSE,"Pseudozyma","Pseudozyma_hubeiensis","G000403515",0,"","Shared with WIS"
"G000523435",-0.020011504176409,0.0461947291284922,-0.433198863895193,0.66487030417969,0.809407326827449,FALSE,"Bipolaris","Bipolaris_zeicola","G000523435",0,"","Shared with WIS"
"G000721785",0.0354256513096651,0.0583139271580986,0.60749898070868,0.543519818875104,0.809407326827449,FALSE,"Aureobasidium","Aureobasidium_pullulans","G000721785",0,"","Shared with WIS"
"G001477535",-0.020011504176409,0.046118986184428,-0.43391032266806,0.664353563423814,0.809407326827449,FALSE,"Pneumocystis","Pneumocystis_jirovecii","G001477535",0,"","Shared with WIS"
"G001642055",-0.0249602081794186,0.046076749635168,-0.541709395238412,0.588018716425581,0.809407326827449,FALSE,"Alternaria","Alternaria_alternata","G001642055",0,"","Shared with WIS"
"G001661255",-0.020011504176409,0.0460076282651237,-0.434960569171066,0.663591048780914,0.809407326827449,FALSE,"Wickerhamomyces","Wickerhamomyces_anomalus","G001661255",0,"","Shared with WIS"
"G001661395",0.0672011806480194,0.078465808578904,0.856439025673748,0.391754986109501,0.809407326827449,FALSE,"Hyphopichia","Hyphopichia_burtonii","G001661395",0,"","Shared with WIS"
"G005498985",0.0366356592284253,0.0720538882065394,0.508448053815094,0.611139160043409,0.809407326827449,FALSE,"Sporisorium","Sporisorium_graminicola","G005498985",0,"","Shared with WIS"
"G000149955",-0.0156356111670367,0.0601919360149507,-0.25976255628583,0.79504693543183,0.85620439200351,FALSE,"Fusarium","Fusarium_oxysporum","G000149955",0,"","Shared with WIS"
"G000149985",0.0129955044216833,0.0471794897641454,0.275448176456528,0.782971935500827,0.85620439200351,FALSE,"Pyrenophora","Pyrenophora_tritici-repentis","G000149985",0,"","Shared with WIS"
"G004022145",-0.0156356111670366,0.0601278127013882,-0.260039580097276,0.794833242983039,0.85620439200351,FALSE,"Byssochlamys","Byssochlamys_spectabilis","G004022145",0,"","Shared with WIS"
"G000281105",-0.00444233796979356,0.0596353699842305,-0.0744916644429011,0.940619173551619,0.940619173551619,FALSE,"Bonordeniella","Coniosporium_apollinis","G000281105",0,"","Shared with WIS"
"G001329695",0.00622038101278152,0.0602460006711267,0.103249691987649,0.917764802115977,0.940619173551619,FALSE,"Rhodotorula","Rhodotorula_graminis","G001329695",0,"","Shared with WIS"
