"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"G000001985",-0.0653424623402877,0.194383054644251,-0.336153079083328,0.736755433550789,0.998302846070259,FALSE,"Talaromyces","Talaromyces_marneffei","G000001985",0,""
"G000002495",0.0330655487244161,0.102679928672345,0.322025435272061,0.747433425479151,0.998302846070259,FALSE,"Pyricularia","Pyricularia_oryzae","G000002495",0,""
"G000002515",0.0270907899936153,0.466554380217455,0.058065664244731,0.953696324190987,0.998302846070259,FALSE,"Kluyveromyces","Kluyveromyces_lactis","G000002515",0,""
"G000002545",0.00410631200902786,0.502143368639409,0.00817756892847991,0.993475316727605,0.998302846070259,FALSE,"Nakaseomyces","Candida_glabrata","G000002545",0,""
"G000002655",0.0726465328501076,0.0999417699074516,0.726888596403485,0.467294203480909,0.998302846070259,FALSE,"Aspergillus","Aspergillus_fumigatus","G000002655",0,""
"G000002715",0.022395414300517,0.103358263959534,0.216677539294634,0.828459653221699,0.998302846070259,FALSE,"Aspergillus","Aspergillus_clavatus","G000002715",0,""
"G000002855",0.0514877085910137,0.128810630263909,0.39971630047555,0.689365484760494,0.998302846070259,FALSE,"Aspergillus","Aspergillus_niger","G000002855",0,""
"G000002945",0.0303018039853413,0.101757779732716,0.297783659047338,0.76586828726265,0.998302846070259,FALSE,"Schizosaccharomyces","Schizosaccharomyces_pombe","G000002945",0,""
"G000003125",0.0986197317619349,0.704677953647381,0.139950074003995,0.888699437229299,0.998302846070259,FALSE,"Talaromyces","Talaromyces_stipitatus","G000003125",0,""
"G000003515",-0.0136596119133489,0.103164757530926,-0.132405796710704,0.89466332993399,0.998302846070259,FALSE,"Uncinocarpus","Uncinocarpus_reesii","G000003515",0,""
"G000003835",-0.00775694659854748,0.262448110156996,-0.029556115278968,0.976421064942848,0.998302846070259,FALSE,"Clavispora","Clavispora_lusitaniae","G000003835",0,""
"G000003855",0.0746896242259522,0.112624074697032,0.663176362841369,0.507217608153853,0.998302846070259,FALSE,"Blastomyces","Blastomyces_gilchristii","G000003855",0,""
