"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"G000814965",0.0730394445139662,0.0134918210964597,5.41360902963145,6.17669549748057e-08,6.05316158753096e-06,TRUE,"Metarhizium","Metarhizium_brunneum","G000814965",1,"G000814965
(Metarhizium)"
"G000187405",0.254203682347849,0.0490507540432065,5.18246227415654,2.18975667496061e-07,1.0729807707307e-05,TRUE,"Metarhizium","Metarhizium_acridum","G000187405",1,"G000187405
(Metarhizium)"
"G000315875",0.148574790922012,0.0304892175291005,4.87302735074145,1.09901000936201e-06,3.59009936391591e-05,TRUE,"Candida","Candida_orthopsilosis","G000315875",1,"G000315875
(Candida)"
"G003184755",0.0964197652613592,0.0207382714707497,4.64936363656703,3.32960732161583e-06,8.15753793795878e-05,TRUE,"Aspergillus","Aspergillus_piperis","G003184755",1,"G003184755
(Aspergillus)"
"G000769745",0.106666021698959,0.0236049262350857,4.5188034326671,6.2190098333982e-06,8.91294856856387e-05,TRUE,"Penicillium","Penicillium_expansum","G000769745",1,"G000769745
(Penicillium)"
"G003344945",0.222970623951283,0.0493970917672147,4.51384111846177,6.36639183468848e-06,8.91294856856387e-05,TRUE,"Aspergillus","Aspergillus_welwitschiae","G003344945",1,""
"G009193645",0.259278445420591,0.0569231116286687,4.55488883165705,5.24132894944148e-06,8.91294856856387e-05,TRUE,"Aspergillus","Aspergillus_pseudonomius","G009193645",1,""
"G001890805",0.115958112186808,0.0258694440263928,4.4824354195051,7.37959788498258e-06,9.04000740910366e-05,TRUE,"Aspergillus","Aspergillus_glaucus","G001890805",1,""
"G003184925",0.10424894098273,0.0235636963434148,4.42413361059391,9.68300826773147e-06,0.00010543720113752,TRUE,"Aspergillus","Aspergillus_vadensis","G003184925",1,""
"G000149205",0.0342809491686544,0.00808401973369031,4.24058207401299,2.2294089643823e-05,0.000218482078509466,TRUE,"Aspergillus","Aspergillus_nidulans","G000149205",1,""
"G001831195",0.0730678812162024,0.0173822497976286,4.20359171378211,2.62712633121892e-05,0.000234053073144958,TRUE,"Colletotrichum","Colletotrichum_orchidophilum","G001831195",1,""
"G004337985",0.247740827181456,0.0595449064944681,4.16057126908868,3.17452531412587e-05,0.000259252900653613,TRUE,"Pyricularia","Pyricularia_pennisetigena","G004337985",1,""
"G004022145",0.0480626701472424,0.011821201192507,4.0658025664691,4.78674471757062e-05,0.000360846909478401,TRUE,"Byssochlamys","Byssochlamys_spectabilis","G004022145",1,""
"G000151125",0.0762068548382586,0.0195782875636284,3.89241676988298,9.92505539506436e-05,0.000694753877654505,TRUE,"Trichophyton","Trichophyton_benhamiae","G000151125",1,""
"G004355905",0.198326072277767,0.0534950202220172,3.70737447064541,0.000209419163969118,0.00136820520459824,TRUE,"Pyricularia","Pyricularia_grisea","G004355905",1,""
"G009193445",0.183696491999988,0.0500862225625318,3.66760523356788,0.000244832797281838,0.00149960088335126,TRUE,"Aspergillus","Aspergillus_pseudotamarii","G009193445",1,""
"G002237265",0.0550933683948088,0.0151605120771994,3.63400445276953,0.000279056041957685,0.00151930511732517,TRUE,"Aspergillus","Aspergillus_thermomutatus","G002237265",1,""
"G003025105",0.0672794980725643,0.0185134143484439,3.63409454389591,0.000278958563858828,0.00151930511732517,TRUE,"Trichoderma","Trichoderma_asperellum","G003025105",1,""
"G008704595",0.148501267890194,0.041285500913106,3.59693511295274,0.000321988763822924,0.00166078415024456,TRUE,"Diutina","Diutina_rugosa","G008704595",1,""
"G002775015",0.0864393981418351,0.0262260742709317,3.29593355257299,0.000980952138194946,0.00480666547715523,TRUE,"Clavispora","Candida_auris","G002775015",1,""
"G009176365",0.100295681812514,0.0329244245493133,3.04623947678399,0.00231723194304751,0.010813749067555,TRUE,"Aspergillus","Aspergillus_alliaceus","G009176365",1,""
"G000002855",0.0486988000622362,0.0162423649008437,2.99825797287109,0.00271527727356743,0.0120953260368004,TRUE,"Aspergillus","Aspergillus_niger","G000002855",1,""
