"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"G004355905",-0.310766032157383,0.0778829578961394,-3.99016730427476,6.60267048673759e-05,0.00554624320885958,TRUE,"Pyricularia","Pyricularia_grisea","G004355905",1,"G004355905
(Pyricularia)"
"G004337985",-0.272377384977291,0.0832041927314282,-3.27360167842128,0.00106186179530009,0.0445981954026036,TRUE,"Pyricularia","Pyricularia_pennisetigena","G004337985",1,"G004337985
(Pyricularia)"
"G000187405",-0.200128031985488,0.0710025459371317,-2.81860360560435,0.00482330422471733,0.0727057192279411,TRUE,"Metarhizium","Metarhizium_acridum","G000187405",1,"G000187405
(Metarhizium)"
"G000769745",-0.198650182981954,0.069685157833102,-2.85068139556671,0.00436256585357922,0.0727057192279411,TRUE,"Penicillium","Penicillium_expansum","G000769745",1,"G000769745
(Penicillium)"
"G009193445",-0.210197926568636,0.0752105026044807,-2.79479486627062,0.00519326565913865,0.0727057192279411,TRUE,"Aspergillus","Aspergillus_pseudotamarii","G009193445",1,"G009193445
(Aspergillus)"
"G009193645",-0.217485505898273,0.0776393256523422,-2.80122868238375,0.00509084293456431,0.0727057192279411,TRUE,"Aspergillus","Aspergillus_pseudonomius","G009193645",1,""
"G000226095",-0.179326079766343,0.0661176479558632,-2.71222714828048,0.00668327775870793,0.0801993331044952,TRUE,"Thermothelomyces","Thermothelomyces_thermophilus","G000226095",1,""
"G009176365",-0.225524501251094,0.0901223247096235,-2.50242658495262,0.0123345204235917,0.129512464447713,FALSE,"Aspergillus","Aspergillus_alliaceus","G009176365",0,""
"G000149925",0.123296071754175,0.0506394211424076,2.43478438285152,0.0149006658080007,0.139072880874673,FALSE,"Puccinia","Puccinia_graminis","G000149925",0,""
"G001831195",-0.16773096051863,0.0830580598628288,-2.0194423129512,0.0434412674178634,0.336981560403334,FALSE,"Colletotrichum","Colletotrichum_orchidophilum","G001831195",0,""
"G008704595",-0.142873021309198,0.0709798331026026,-2.01286781137781,0.0441285376718652,0.336981560403334,FALSE,"Diutina","Diutina_rugosa","G008704595",0,""
"G000315875",-0.133276698878073,0.0733290163048883,-1.81751652475377,0.0691380603792005,0.448506205883567,FALSE,"Candida","Candida_orthopsilosis","G000315875",0,""
"G003344945",-0.158862016928982,0.0874920531425499,-1.81573081466211,0.0694116747200758,0.448506205883567,FALSE,"Aspergillus","Aspergillus_welwitschiae","G003344945",0,""
