"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"G000143365",0.172098743239508,0.0595456051010527,2.89020059410674,0.00384996074540359,0.367803454001902,FALSE,"Chaetomium","Chaetomium_globosum","G000143365",0,""
"G003025115",0.185292665957709,0.0621029242210976,2.98363834363152,0.00284843233674133,0.367803454001902,FALSE,"Trichoderma","Trichoderma_citrinoviride","G003025115",0,""
"G003144245",0.299035411852896,0.106851003620892,2.79862052502451,0.0051321412186312,0.367803454001902,FALSE,"Jaminaea","Jaminaea_rosea","G003144245",0,""
"G010093815",0.2578454634409,0.0992927192459843,2.59682145276053,0.00940908190524522,0.505738152406931,FALSE,"Pseudovirgaria","Pseudovirgaria_hyperparasitica","G010093815",0,""
"G000313485",0.34688985965225,0.144755198136783,2.39638965727824,0.0165574779499685,0.711971551848646,FALSE,"Wickerhamomyces","Wickerhamomyces_ciferrii","G000313485",0,""
"G000001985",0.0999335944051738,0.0883594450344537,1.13098938507601,0.258059559227144,0.99508560012104,FALSE,"Talaromyces","Talaromyces_marneffei","G000001985",0,""
"G000002495",-0.035068862605723,0.0668160783596485,-0.524856643291142,0.599682851472989,0.99508560012104,FALSE,"Pyricularia","Pyricularia_oryzae","G000002495",0,""
"G000002515",0.160915198811316,0.262354126270285,0.61335112620084,0.539644194712891,0.99508560012104,FALSE,"Kluyveromyces","Kluyveromyces_lactis","G000002515",0,""
"G000002545",0.155538981103484,0.277001592332069,0.561509339329083,0.574450365407927,0.99508560012104,FALSE,"Nakaseomyces","Candida_glabrata","G000002545",0,""
"G000002655",-0.0126894917720491,0.101538142860818,-0.124972659677684,0.900545195036649,0.99508560012104,FALSE,"Aspergillus","Aspergillus_fumigatus","G000002655",0,""
"G000002715",0.0124407591101631,0.0488450790995808,0.254698310239196,0.798956121449209,0.99508560012104,FALSE,"Aspergillus","Aspergillus_clavatus","G000002715",0,""
"G000002855",0.162136398347593,0.138561337598356,1.1701416943417,0.2419439519276,0.99508560012104,FALSE,"Aspergillus","Aspergillus_niger","G000002855",0,""
"G000003125",0.257277131563342,0.468611247911615,0.549020393150844,0.582991454804692,0.99508560012104,FALSE,"Talaromyces","Talaromyces_stipitatus","G000003125",0,""
"G000003515",-0.0161602264441707,0.0573045255651449,-0.28200611181746,0.777938823876455,0.99508560012104,FALSE,"Uncinocarpus","Uncinocarpus_reesii","G000003515",0,""
"G000003835",0.0478691519141744,0.137290593697055,0.348670295794643,0.727336846938849,0.99508560012104,FALSE,"Clavispora","Clavispora_lusitaniae","G000003835",0,""
"G000003855",0.167320510342479,0.0993217175741492,1.68463166394163,0.09205965833809,0.99508560012104,FALSE,"Blastomyces","Blastomyces_gilchristii","G000003855",0,""
"G000006275",0.37204317526261,0.534837620288754,0.695618933951855,0.486667505501845,0.99508560012104,FALSE,"Aspergillus","Aspergillus_flavus","G000006275",0,""
"G000006445",0.111490588839255,0.0895540066959638,1.24495366486243,0.21314878277425,0.99508560012104,FALSE,"Debaryomyces","Debaryomyces_hansenii","G000006445",0,""
"G000026945",0.138469258687462,0.115046694664279,1.20359180323723,0.22874738916174,0.99508560012104,FALSE,"Candida","Candida_dubliniensis","G000026945",0,""
"G000091025",0.121877803551101,0.291059031234344,0.418739123243255,0.675406799816724,0.99508560012104,FALSE,"Eremothecium","Eremothecium_gossypii","G000091025",0,""
"G000142805",0.0694476152547958,0.254185367587257,0.273216416483752,0.784686861363045,0.99508560012104,FALSE,"Lachancea","Lachancea_thermotolerans","G000142805",0,""
"G000143105",0.298822206352065,0.343804375900221,0.869163475798195,0.384757721705109,0.99508560012104,FALSE,"Grosmannia","Grosmannia_clavigera","G000143105",0,""
"G000145635",0.00798509858150182,0.0512402338339951,0.15583649768991,0.876161901063599,0.99508560012104,FALSE,"Gaeumannomyces","Gaeumannomyces_tritici","G000145635",0,""
"G000146915",0.198156641397262,0.147919268091088,1.33962697324352,0.180366650011093,0.99508560012104,FALSE,"Parastagonospora","Parastagonospora_nodorum","G000146915",0,""
"G000149205",-0.0153791981087116,0.067422418594977,-0.228102142124242,0.819566834816714,0.99508560012104,FALSE,"Aspergillus","Aspergillus_nidulans","G000149205",0,""
"G000149425",0.115215212181429,0.117377760363246,0.981576167622168,0.326308693299036,0.99508560012104,FALSE,"Meyerozyma","Meyerozyma_guilliermondii","G000149425",0,""
"G000149585",0.111805538654279,0.108995005660681,1.02578588786304,0.304992519430826,0.99508560012104,FALSE,"Histoplasma","Histoplasma_capsulatum","G000149585",0,""
"G000149615",-0.105709403214027,0.119080576379078,-0.887713231060576,0.374695026934799,0.99508560012104,FALSE,"Aspergillus","Aspergillus_terreus","G000149615",0,""
"G000149645",-0.553489361290682,0.392148912987702,-1.41142648356146,0.158118898563824,0.99508560012104,FALSE,"Aspergillus","Aspergillus_fischeri","G000149645",0,""
"G000149685",0.155018733799884,0.189744308361902,0.816987529893203,0.41393555442805,0.99508560012104,FALSE,"Lodderomyces","Lodderomyces_elongisporus","G000149685",0,""
"G000149925",0.226779734993194,0.237448389810305,0.955069584486826,0.339542508979746,0.99508560012104,FALSE,"Puccinia","Puccinia_graminis","G000149925",0,""
"G000149955",0.107614238270052,0.136329416286503,0.789369170655695,0.429896269222925,0.99508560012104,FALSE,"Fusarium","Fusarium_oxysporum","G000149955",0,""
"G000149985",-0.0785932722329621,0.125141781288372,-0.628033830298891,0.529981778348224,0.99508560012104,FALSE,"Pyrenophora","Pyrenophora_tritici-repentis","G000149985",0,""
"G000150035",0.179003533548952,0.261501511439902,0.684521984455491,0.493645611903643,0.99508560012104,FALSE,"Vanderwaltozyma","Vanderwaltozyma_polyspora","G000150035",0,""
"G000150675",-0.0707735594065446,0.0530338436611213,-1.3344980209011,0.182040695033518,0.99508560012104,FALSE,"Verticillium","Verticillium_dahliae","G000150675",0,""
"G000150735",0.0428840357340847,0.122304776538396,0.350632550484419,0.725864033299528,0.99508560012104,FALSE,"Paracoccidioides","Paracoccidioides_brasiliensis","G000150735",0,""
"G000150825",-0.0274518606215477,0.0668340308582759,-0.410746744869547,0.681258246794,0.99508560012104,FALSE,"Verticillium","Verticillium_alfalfae","G000150825",0,""
"G000150975",-0.0198348586373728,0.0655182348458922,-0.302737988653496,0.762089544703956,0.99508560012104,FALSE,"Nannizzia","Nannizzia_gypsea","G000150975",0,""
"G000151125",-0.0510838949095328,0.0520738881573532,-0.980988681989158,0.326598322891575,0.99508560012104,FALSE,"Trichophyton","Trichophyton_benhamiae","G000151125",0,""
"G000151425",-0.035068862605723,0.0656114284225065,-0.534493204139622,0.593000350011638,0.99508560012104,FALSE,"Trichophyton","Trichophyton_rubrum","G000151425",0,""
"G000151505",-0.0783905613907194,0.0526231618948884,-1.48965889862908,0.136313946850488,0.99508560012104,FALSE,"Trichophyton","Trichophyton_verrucosum","G000151505",0,""
"G000171015",0.0242900285650573,0.0806729573047805,0.301092576453967,0.763343901660392,0.99508560012104,FALSE,"Trichoderma","Trichoderma_atroviride","G000171015",0,""
"G000181695",0.177682062654328,0.131019287962229,1.35615194844862,0.175050827105606,0.99508560012104,FALSE,"Malassezia","Malassezia_globosa","G000181695",0,""
"G000182565",-0.00776219612453626,0.0651037260068343,-0.119228139472715,0.905094613577896,0.99508560012104,FALSE,"Spizellomyces","Spizellomyces_punctatus","G000182565",0,""
"G000182805",0.21312231534981,0.143966756943091,1.48035782617549,0.13877777866106,0.99508560012104,FALSE,"Sordaria","Sordaria_macrospora","G000182805",0,""
"G000182895",-0.035068862605723,0.0661359764258344,-0.530253948016472,0.595935871479622,0.99508560012104,FALSE,"Coprinopsis","Coprinopsis_cinerea","G000182895",0,""
"G000182965",0.112010258731979,0.0743380568545857,1.50676871943377,0.131869950125662,0.99508560012104,FALSE,"Candida","Candida_albicans","G000182965",0,""
"G000185945",0.0394412516268624,0.0860375561452635,0.458419013672015,0.64665143405871,0.99508560012104,FALSE,"Cryptococcus","Cryptococcus_gattii_VGI","G000185945",0,""
"G000187245",0.0506215585020763,0.0821629831378907,0.616111496549733,0.537820934886496,0.99508560012104,FALSE,"Ogataea","Ogataea_parapolymorpha","G000187245",0,""
"G000187405",0.0913082930610361,0.15798605436344,0.577951601038059,0.563296795825164,0.99508560012104,FALSE,"Metarhizium","Metarhizium_acridum","G000187405",0,""
"G000187425",-0.105294187318398,0.0657893503457583,-1.60047464772066,0.109493326733289,0.99508560012104,FALSE,"Metarhizium","Metarhizium_robertsii","G000187425",0,""
"G000203795",0.06874348368785,0.0720541610007827,0.954052933696685,0.340056848714364,0.99508560012104,FALSE,"Batrachochytrium","Batrachochytrium_dendrobatidis","G000203795",0,""
"G000204055",0.0327749407338587,0.0660313231079784,0.496354444999734,0.619644359691943,0.99508560012104,FALSE,"Melampsora","Melampsora_larici-populina","G000204055",0,""
"G000209165",0.0486048310390658,0.1116281535317,0.435417316342719,0.66325954343522,0.99508560012104,FALSE,"Scheffersomyces","Scheffersomyces_stipitis","G000209165",0,""
