"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"G003290485",1.18598482356148,0.179844387100586,6.59450563168351,4.26675218450632e-11,6.78413597336505e-09,TRUE,"Malassezia","Malassezia_restricta","G003290485",1,"G003290485
(Malassezia)"
"G000187405",0.438538153664786,0.0777420142248671,5.64094149138358,1.69122828720558e-08,1.34452648832843e-06,TRUE,"Metarhizium","Metarhizium_acridum","G000187405",1,"G000187405
(Metarhizium)"
"G004337985",0.437402124113209,0.0988114757447176,4.42663284620149,9.57154438563858e-06,0.000507291852438845,TRUE,"Pyricularia","Pyricularia_pennisetigena","G004337985",1,"G004337985
(Pyricularia)"
"G000181695",0.415006186627986,0.111983283314903,3.70596551862984,0.00021058695030045,0.00837083127444287,TRUE,"Malassezia","Malassezia_globosa","G000181695",1,"G000181695
(Malassezia)"
"G000150735",0.159814558693768,0.0456879346579774,3.49795979814254,0.000468831797276602,0.0149088511533959,TRUE,"Paracoccidioides","Paracoccidioides_brasiliensis","G000150735",1,"G000150735
(Paracoccidioides)"
"G009193645",0.236680169862694,0.071748398853902,3.29875193932391,0.000971156891383119,0.0257356576216527,TRUE,"Aspergillus","Aspergillus_pseudonomius","G009193645",1,NA
"G010094145",0.306576034761042,0.0945976620562567,3.24084156095447,0.00119177402737286,0.0270702957646121,TRUE,"Didymella","Didymella_exigua","G010094145",1,NA
"G000149645",0.245833963229584,0.0781596766588067,3.14527866207446,0.00165928698302121,0.0329783287875466,TRUE,"Aspergillus","Aspergillus_fischeri","G000149645",1,NA
"G000145635",0.0884767088415024,0.0303536697024184,2.91486036808436,0.00355847713687509,0.0567831788269146,TRUE,"Gaeumannomyces","Gaeumannomyces_tritici","G000145635",1,NA
"G000814965",0.146284143999426,0.0502049362764247,2.91374025840798,0.00357126910861098,0.0567831788269146,TRUE,"Metarhizium","Metarhizium_brunneum","G000814965",1,NA
"G000747765",0.392073887727354,0.13740803621432,2.85335485848749,0.00432602843293269,0.0625307746214816,TRUE,"Moesziomyces","Moesziomyces_antarcticus","G000747765",1,NA
"G009193445",0.190211860569071,0.0693771440251198,2.74170785266399,0.00611206767154247,0.0809848966479377,TRUE,"Aspergillus","Aspergillus_pseudotamarii","G009193445",1,NA
"G000313485",0.255525162043701,0.100375796541152,2.54568502416757,0.0109063548194342,0.133393108945387,FALSE,"Wickerhamomyces","Wickerhamomyces_ciferrii","G000313485",0,NA
"G003184925",0.0992965672697552,0.0394264025239309,2.51852973929043,0.0117845931224843,0.133839307605357,FALSE,"Aspergillus","Aspergillus_vadensis","G003184925",0,NA
"G003184755",0.11137942016243,0.0447256731432013,2.49027934819045,0.0127642726142033,0.135301289710555,FALSE,"Aspergillus","Aspergillus_piperis","G003184755",0,NA
"G000315875",0.140197973633534,0.060296541052621,2.32514123009448,0.0200644096354748,0.199390070752531,FALSE,"Candida","Candida_orthopsilosis","G000315875",0,NA
"G000836115",-0.0929237121918978,0.0408047748995071,-2.27727545172711,0.022769781911269,0.212964430817163,FALSE,"Exophiala","Exophiala_spinifera","G000836115",0,NA
"G000151425",0.0607508216191046,0.0273371829145935,2.222278052896,0.0262645204045919,0.219792565491059,FALSE,"Trichophyton","Trichophyton_rubrum","G000151425",0,NA
"G001831195",0.0854336236585563,0.0381384889696962,2.24008936815613,0.0250851216244043,0.219792565491059,FALSE,"Colletotrichum","Colletotrichum_orchidophilum","G001831195",0,NA
"G003025105",0.0688601237812679,0.0316275595238646,2.17721900829273,0.0294642307200852,0.234240634224677,FALSE,"Trichoderma","Trichoderma_asperellum","G003025105",0,NA
"G003316985",-0.0999403481053558,0.0477062088676054,-2.09491281067232,0.0361787438488697,0.273924774855728,FALSE,"Fusarium","Fusarium_coffeatum","G003316985",0,NA
