"","AUROC","AUPR","rep","diseaseType","sampleType","datasetName","metadataName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","abbrev"
"1",1,1,"Fold1","Bone Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Bone Cancer","OtherCancerType","SARC"
"2",0.966666666666667,0.764433928687233,"Fold2","Bone Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Bone Cancer","OtherCancerType","SARC"
"3",0.979508196721312,0.695901168918877,"Fold3","Bone Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Bone Cancer","OtherCancerType","SARC"
"4",0.991803278688525,0.908839221603023,"Fold4","Bone Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Bone Cancer","OtherCancerType","SARC"
"5",0.961111111111111,0.754158796798405,"Fold5","Bone Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Bone Cancer","OtherCancerType","SARC"
"6",1,1,"Fold6","Bone Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Bone Cancer","OtherCancerType","SARC"
"7",1,1,"Fold7","Bone Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Bone Cancer","OtherCancerType","SARC"
"8",0.994444444444444,0.904105975849406,"Fold8","Bone Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Bone Cancer","OtherCancerType","SARC"
"9",0.975,0.84195922651326,"Fold9","Bone Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Bone Cancer","OtherCancerType","SARC"
"10",0.967213114754098,0.472992750367063,"Fold10","Bone Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Bone Cancer","OtherCancerType","SARC"
"11",0.981132075471698,0.903769317527401,"Fold1","Breast Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",113,525,"Breast Cancer","OtherCancerType","BRCA"
"12",0.957118353344768,0.919337377463199,"Fold2","Breast Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",113,525,"Breast Cancer","OtherCancerType","BRCA"
"13",0.962264150943396,0.801371428015307,"Fold3","Breast Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",113,525,"Breast Cancer","OtherCancerType","BRCA"
"14",0.982371794871795,0.92686297447459,"Fold4","Breast Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",113,525,"Breast Cancer","OtherCancerType","BRCA"
"15",0.989708404802744,0.936986619949096,"Fold5","Breast Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",113,525,"Breast Cancer","OtherCancerType","BRCA"
"16",0.996503496503496,0.985446780422993,"Fold6","Breast Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",113,525,"Breast Cancer","OtherCancerType","BRCA"
"17",0.984265734265734,0.935752730129358,"Fold7","Breast Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",113,525,"Breast Cancer","OtherCancerType","BRCA"
"18",0.987762237762238,0.953081853730144,"Fold8","Breast Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",113,525,"Breast Cancer","OtherCancerType","BRCA"
"19",0.985576923076923,0.901778750304863,"Fold9","Breast Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",113,525,"Breast Cancer","OtherCancerType","BRCA"
"20",0.992138364779874,0.974739740909819,"Fold10","Breast Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",113,525,"Breast Cancer","OtherCancerType","BRCA"
"21",0.949275362318841,0.889250425092886,"Fold1","Colorectal Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",181,457,"Colorectal Cancer","OtherCancerType","CRC"
"22",0.989130434782609,0.97430822002879,"Fold2","Colorectal Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",181,457,"Colorectal Cancer","OtherCancerType","CRC"
"23",0.995169082125604,0.989662218747802,"Fold3","Colorectal Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",181,457,"Colorectal Cancer","OtherCancerType","CRC"
"24",0.991545893719807,0.981108786193858,"Fold4","Colorectal Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",181,457,"Colorectal Cancer","OtherCancerType","CRC"
"25",0.969806763285024,0.936332602386636,"Fold5","Colorectal Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",181,457,"Colorectal Cancer","OtherCancerType","CRC"
"26",0.958937198067633,0.949407236513002,"Fold6","Colorectal Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",181,457,"Colorectal Cancer","OtherCancerType","CRC"
"27",0.968599033816425,0.906785859703005,"Fold7","Colorectal Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",181,457,"Colorectal Cancer","OtherCancerType","CRC"
"28",0.958024691358025,0.924263650329806,"Fold8","Colorectal Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",181,457,"Colorectal Cancer","OtherCancerType","CRC"
"29",0.950877192982456,0.862580957266907,"Fold9","Colorectal Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",181,457,"Colorectal Cancer","OtherCancerType","CRC"
"30",0.97283950617284,0.920540364913576,"Fold10","Colorectal Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",181,457,"Colorectal Cancer","OtherCancerType","CRC"
"31",0.966666666666667,0.39484133471821,"Fold1","Glioblastoma","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Glioblastoma","OtherCancerType","GBM"
"32",0.988888888888889,0.768950939813352,"Fold2","Glioblastoma","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Glioblastoma","OtherCancerType","GBM"
"33",0.819672131147541,0.238926532379983,"Fold3","Glioblastoma","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Glioblastoma","OtherCancerType","GBM"
"34",0.709016393442623,0.174854333061303,"Fold4","Glioblastoma","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Glioblastoma","OtherCancerType","GBM"
"35",0.661111111111111,0.544838137035127,"Fold5","Glioblastoma","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Glioblastoma","OtherCancerType","GBM"
"36",0.639344262295082,0.152981884404114,"Fold6","Glioblastoma","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Glioblastoma","OtherCancerType","GBM"
"37",0.95,0.738965869031111,"Fold7","Glioblastoma","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Glioblastoma","OtherCancerType","GBM"
"38",0.844444444444444,0.188251014985134,"Fold8","Glioblastoma","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Glioblastoma","OtherCancerType","GBM"
"39",0.9625,0.580288159048433,"Fold9","Glioblastoma","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Glioblastoma","OtherCancerType","GBM"
"40",0.954918032786885,0.446982337518299,"Fold10","Glioblastoma","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",34,604,"Glioblastoma","OtherCancerType","GBM"
"41",0.985260770975057,0.978939251774754,"Fold1","Lung Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",211,427,"Lung Cancer","OtherCancerType","LC"
"42",0.959025470653378,0.918606826502938,"Fold2","Lung Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",211,427,"Lung Cancer","OtherCancerType","LC"
"43",0.984126984126984,0.971575517091707,"Fold3","Lung Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",211,427,"Lung Cancer","OtherCancerType","LC"
"44",0.839002267573696,0.618082316230621,"Fold4","Lung Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",211,427,"Lung Cancer","OtherCancerType","LC"
"45",0.888150609080842,0.782036279373956,"Fold5","Lung Cancer","Primary Tumor","Order WGS (Decontam)","metaQiitaCombined_Nonzero_8cancer_WGS",211,427,"Lung Cancer","OtherCancerType","LC"
