"","freq","prev","p.freq","p.prev","p","contaminant","species","sharedWIS"
"G000001985",0.000213569060128542,1214,0.108752497986923,NA,0.108752497986923,FALSE,"Talaromyces_marneffei","NO"
"G000002495",0.00151872679674948,1692,0.273646091252255,NA,0.273646091252255,FALSE,"Pyricularia_oryzae","NO"
"G000002515",0.000436808156117063,988,0.269424986483783,NA,0.269424986483783,FALSE,"Kluyveromyces_lactis","NO"
"G000002525",0.00131616760614248,1473,4.38588577772154e-15,NA,4.38588577772154e-15,TRUE,"Yarrowia_lipolytica","NO"
"G000002545",0.00032913385071391,438,0.437247959497629,NA,0.437247959497629,FALSE,"Candida_glabrata","YES"
"G000002655",0.00107120266053363,2122,0.242688424247964,NA,0.242688424247964,FALSE,"Aspergillus_fumigatus","NO"
"G000002715",0.000362208104355721,1833,0.175059200098221,NA,0.175059200098221,FALSE,"Aspergillus_clavatus","NO"
"G000002855",0.00200257521932414,3847,0.304574058126971,NA,0.304574058126971,FALSE,"Aspergillus_niger","NO"
"G000002945",8.6756528444438e-05,611,0.414157093923729,NA,0.414157093923729,FALSE,"Schizosaccharomyces_pombe","NO"
"G000003125",0.00413100798883497,1937,0.304929878531365,NA,0.304929878531365,FALSE,"Talaromyces_stipitatus","NO"
"G000003515",0.000146623347864456,1039,0.258714577729861,NA,0.258714577729861,FALSE,"Uncinocarpus_reesii","NO"
"G000003835",0.000122394828610598,694,0.335856180649742,NA,0.335856180649742,FALSE,"Clavispora_lusitaniae","NO"
"G000003855",0.0118151094595454,6252,0.284524043804745,NA,0.284524043804745,FALSE,"Blastomyces_gilchristii","NO"
"G000004155",6.89658705936448e-05,542,0,NA,0,TRUE,"Schizosaccharomyces_cryophilus","NO"
"G000006275",0.00160031818266928,2542,0.14862180703983,NA,0.14862180703983,FALSE,"Aspergillus_flavus","NO"
"G000006335",0.000454094994446981,955,0.000464796308054694,NA,0.000464796308054694,TRUE,"Candida_tropicalis","YES"
"G000006445",0.000367372715868974,616,0.265003977473329,NA,0.265003977473329,FALSE,"Debaryomyces_hansenii","YES"
"G000026365",9.64121204686096e-05,699,0.0733042287603121,NA,0.0733042287603121,TRUE,"Zygosaccharomyces_rouxii","NO"
"G000026945",0.000591905587249369,815,0.332379999561118,NA,0.332379999561118,FALSE,"Candida_dubliniensis","NO"
"G000027005",0.000105944633749411,106,0.45599185511575,NA,0.45599185511575,FALSE,"Komagataella_phaffii","NO"
"G000091025",0.000148713584409944,1087,0.253568303008837,NA,0.253568303008837,FALSE,"Eremothecium_gossypii","NO"
"G000091045",9.83652601376631e-05,720,0.332839859476053,NA,0.332839859476053,FALSE,"Cryptococcus_neoformans","NO"
"G000091225",2.7036453901571e-07,16,0.461455569844624,NA,0.461455569844624,FALSE,"Encephalitozoon_cuniculi","NO"
"G000142805",5.08035923678792e-05,1003,0.26665930322781,NA,0.26665930322781,FALSE,"Lachancea_thermotolerans","NO"
"G000143105",0.00256807268391833,1146,0.34837938352126,NA,0.34837938352126,FALSE,"Grosmannia_clavigera","NO"
"G000143185",0.000111379672739218,221,0.0110741193172023,NA,0.0110741193172023,TRUE,"Schizophyllum_commune","YES"
"G000143365",0.00059938290645404,2233,0.271228706608178,NA,0.271228706608178,FALSE,"Chaetomium_globosum","NO"
"G000143535",0.00115503002107945,1865,0.0151608829492896,NA,0.0151608829492896,TRUE,"Botrytis_cinerea","NO"
"G000143565",0.000292344777000721,1850,0.0360439961112332,NA,0.0360439961112332,TRUE,"Laccaria_bicolor","NO"
"G000145635",0.000134903344876955,433,0.289545608839467,NA,0.289545608839467,FALSE,"Gaeumannomyces_tritici","NO"
"G000146045",0.00549575084892523,2219,0.217610954403925,NA,0.217610954403925,FALSE,"Saccharomyces_cerevisiae","YES"
"G000146465",3.27110375589973e-07,18,0.42174558549961,NA,0.42174558549961,FALSE,"Encephalitozoon_intestinalis","NO"
"G000146915",0.00143456503570992,1819,0.235891014471624,NA,0.235891014471624,FALSE,"Parastagonospora_nodorum","NO"
"G000146945",0.000283582047579562,1534,0.12100149596064,NA,0.12100149596064,FALSE,"Sclerotinia_sclerotiorum","NO"
"G000149035",0.000443306111266031,1504,0,NA,0,TRUE,"Colletotrichum_graminicola","NO"
"G000149205",0.00082282907681185,1993,0.115864513267845,NA,0.115864513267845,FALSE,"Aspergillus_nidulans","NO"
"G000149335",0.00103748558538844,2600,0.0733042287603121,NA,0.0733042287603121,TRUE,"Coccidioides_immitis","NO"
"G000149425",0.000344413419470597,1090,0.141357833231419,NA,0.141357833231419,FALSE,"Meyerozyma_guilliermondii","NO"
"G000149555",0.000420392659870723,1684,0.0268610877147265,NA,0.0268610877147265,TRUE,"Fusarium_verticillioides","NO"
"G000149585",0.00825470441178185,5715,0.226412050852802,NA,0.226412050852802,FALSE,"Histoplasma_capsulatum","NO"
"G000149615",0.000309133423308912,1274,0.245835885228556,NA,0.245835885228556,FALSE,"Aspergillus_terreus","NO"
"G000149645",0.000911232101662429,1949,0.326576147336567,NA,0.326576147336567,FALSE,"Aspergillus_fischeri","NO"
"G000149685",0.000204381673609263,1649,0.257572061868086,NA,0.257572061868086,FALSE,"Lodderomyces_elongisporus","NO"
"G000149845",8.79685713107165e-05,657,0.0335784825217017,NA,0.0335784825217017,TRUE,"Schizosaccharomyces_japonicus","NO"
"G000149925",0.00190886972788258,3271,0.219744874363135,NA,0.219744874363135,FALSE,"Puccinia_graminis","NO"
"G000149955",0.000887278321754207,2755,0.199750236421541,NA,0.199750236421541,FALSE,"Fusarium_oxysporum","YES"
"G000149985",4.05066330470493e-05,255,0.464927143366866,NA,0.464927143366866,FALSE,"Pyrenophora_tritici-repentis","YES"
"G000150035",9.39241395472316e-05,822,0.283570544075937,NA,0.283570544075937,FALSE,"Vanderwaltozyma_polyspora","NO"
"G000150505",0.000152748994546729,689,0.0348942876900989,NA,0.0348942876900989,TRUE,"Schizosaccharomyces_octosporus","NO"
"G000150675",0.000395905101813207,856,0.386289919515734,NA,0.386289919515734,FALSE,"Verticillium_dahliae","NO"
"G000150705",0.00414682681557917,4562,0.0498765496865568,NA,0.0498765496865568,TRUE,"Paracoccidioides_lutzii","NO"
"G000150735",0.00227015738044687,3655,0.304769531796123,NA,0.304769531796123,FALSE,"Paracoccidioides_brasiliensis","NO"
"G000150825",7.6042750830384e-05,1030,0.103720063792383,NA,0.103720063792383,FALSE,"Verticillium_alfalfae","NO"
"G000150975",8.40301084120794e-05,796,0.196968772729059,NA,0.196968772729059,FALSE,"Nannizzia_gypsea","NO"
"G000151125",0.00410246619585525,4147,0.235891014471624,NA,0.235891014471624,FALSE,"Trichophyton_benhamiae","NO"
"G000151145",7.57717820219879e-05,770,0.0268610877147265,NA,0.0268610877147265,TRUE,"Microsporum_canis","NO"
"G000151335",0.00120113693244899,2420,0.298296885531573,NA,0.298296885531573,FALSE,"Coccidioides_posadasii","NO"
"G000151355",3.2349208147534e-05,334,0,NA,0,TRUE,"Nectria_haematococca","NO"
"G000151425",0.00626738695530631,4344,0.401280057831528,NA,0.401280057831528,FALSE,"Trichophyton_rubrum","NO"
"G000151505",6.66351558897679e-05,548,0.367454772438868,NA,0.367454772438868,FALSE,"Trichophyton_verrucosum","NO"
"G000151645",0.000295385808315755,1366,0,NA,0,TRUE,"Tuber_melanosporum","NO"
"G000167675",0.000649996036895353,1735,0.382711266887868,NA,0.382711266887868,FALSE,"Trichoderma_reesei","NO"
"G000170995",0.000304039328532897,1337,0.0205434850174919,NA,0.0205434850174919,TRUE,"Trichoderma_virens","NO"
"G000171015",0.000291335229085481,1074,0.291698279505002,NA,0.291698279505002,FALSE,"Trichoderma_atroviride","NO"
"G000181695",0.329440026492037,10416,0.42460777125236,NA,0.42460777125236,FALSE,"Malassezia_globosa","YES"
"G000182565",5.7147723160411e-05,599,0.220686576784783,NA,0.220686576784783,FALSE,"Spizellomyces_punctatus","NO"
"G000182805",0.000610509927413785,2105,0.144155793682934,NA,0.144155793682934,FALSE,"Sordaria_macrospora","NO"
"G000182895",6.2132449911464e-05,679,0.38775423378697,NA,0.38775423378697,FALSE,"Coprinopsis_cinerea","NO"
"G000182925",0.0142792225689535,6755,0.0234524997099664,NA,0.0234524997099664,TRUE,"Neurospora_crassa","NO"
"G000182965",0.00232655930305529,1144,0.262347566106467,NA,0.262347566106467,FALSE,"Candida_albicans","YES"
"G000184455",0.00405449845714429,4328,0.0469040137934196,NA,0.0469040137934196,TRUE,"Aspergillus_oryzae","NO"
"G000185945",0.000374044633355701,1375,0.306787578283817,NA,0.306787578283817,FALSE,"Cryptococcus_gattii_VGI","NO"
"G000187245",2.91631635471749e-05,395,0.419595174148619,NA,0.419595174148619,FALSE,"Ogataea_parapolymorpha","NO"
"G000187405",0.0329458849346965,8379,0.345966057108087,NA,0.345966057108087,FALSE,"Metarhizium_acridum","NO"
"G000187425",0.00299869027282749,2775,0.350169883975661,NA,0.350169883975661,FALSE,"Metarhizium_robertsii","NO"
"G000192795",3.38936817862749e-07,59,0.104734174864829,NA,0.104734174864829,FALSE,"Vavraia_culicis","NO"
"G000203795",6.67832545441554e-05,735,0.269424986483783,NA,0.269424986483783,FALSE,"Batrachochytrium_dendrobatidis","NO"
"G000204055",0.000691799805313196,1683,0.280280894200183,NA,0.280280894200183,FALSE,"Melampsora_larici-populina","NO"
