"","kingdom","phylum","class","order","family","genus","species"
"b30099","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",NA
"b30100","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus",NA
"b30112","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Brevibacteriaceae","Brevibacterium",NA
"b30113","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Cellulomonas",NA
"b30115","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium",NA
"b30116","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Brachybacterium",NA
"b30121","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dietziaceae","Dietzia",NA
"b30125","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Blastococcus",NA
"b30127","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Modestobacter",NA
"b30131","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Gordoniaceae","Gordonia",NA
"b30133","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Janibacter",NA
"b30138","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Ornithinimicrobium",NA
"b30146","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Agromyces",NA
"b30150","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Curtobacterium",NA
"b30166","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter",NA
"b30168","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Kocuria",NA
"b30169","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Microbispora",NA
"b30170","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus",NA
"b30171","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Nesterenkonia",NA
"b30173","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia",NA
"b30180","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Couchioplanes",NA
"b30190","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium",NA
"b30194","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Rhodococcus",NA
"b30195","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Williamsia",NA
"b30198","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Friedmanniella",NA
"b30200","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Marmoricola",NA
"b30201","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"b30206","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Unknown genus18",NA
"b30225","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium",NA
"b30227","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionimicrobium",NA
"b30228","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Tessaracoccus",NA
"b30233","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Unknown genus24",NA
"b30246","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia",NA
"b30266","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces",NA
"b30278","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia",NA
"b30279","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"b30280","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella",NA
"b30282","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Scardovia",NA
"b30285","Bacteria","Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Eggerthella",NA
"b30293","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Atopobium",NA
"b30294","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella",NA
"b30295","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Eggerthella",NA
"b30301","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Unknown genus86",NA
"b30337","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"b30339","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Unknown genus18",NA
"b30341","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas",NA
"b30342","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",NA
"b30344","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paraprevotellaceae","Prevotella",NA
"b30346","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paraprevotellaceae","Unknown genus33",NA
"b30348","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Barnesiella",NA
"b30350","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Paludibacter",NA
"b30351","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"b30353","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"b30355","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Tannerella",NA
"b30362","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"b30365","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA
"b30371","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7","Unknown genus41",NA
"b30375","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7","Unknown genus491",NA
"b30379","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7","Unknown genus730",NA
"b30385","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unknown family","Unknown genus1586",NA
"b30405","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter",NA
"b30410","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter",NA
"b30412","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rhodocytophaga",NA
"b30455","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga",NA
"b30456","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium",NA
"b30458","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"b30462","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Myroides",NA
"b30466","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Salinimicrobium",NA
"b30475","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Wautersiella",NA
"b30478","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"b30479","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Cloacibacterium",NA
"b30483","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Unknown genus2",NA
"b30488","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Unknown genus43",NA
"b30494","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Wautersiella",NA
"b30519","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter",NA
"b30625","Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae","Sphaerobacter",NA
"b30663","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","Unknown family","Unknown genus116",NA
"b30666","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","Unknown family","Unknown genus123",NA
"b30667","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","Unknown family","Unknown genus125",NA
"b30675","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","Unknown family","Unknown genus2",NA
"b30676","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","Unknown family","Unknown genus20",NA
"b30709","Bacteria","Cyanobacteria","Oscillatoriophycideae","Oscillatoriales","Phormidiaceae","Phormidium",NA
"b30720","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"b30735","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anoxybacillus",NA
"b30736","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"b30737","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus",NA
"b30763","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae 1","Bacillus",NA
"b30776","Bacteria","Firmicutes","Bacilli","Bacillales","Exiguobacteraceae","Exiguobacterium",NA
"b30785","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae 1","Paenibacillus",NA
"b30791","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus",NA
"b30794","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planomicrobium",NA
"b30797","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus",NA
"b30809","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Unknown genus75",NA
"b30810","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Unknown genus81",NA
"b30813","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Jeotgalicoccus",NA
"b30816","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus",NA
"b30817","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"b30832","Bacteria","Firmicutes","Bacilli","Bacillales","Unknown species","Exiguobacterium",NA
"b30833","Bacteria","Firmicutes","Bacilli","Bacillales","Unknown species","Gemella",NA
"b30834","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Gemella",NA
"b30836","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Unknown genus11",NA
"b30837","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Unknown genus5",NA
"b30841","Bacteria","Firmicutes","Bacilli","Gemellales","Unknown family","Unknown genus6",NA
"b30843","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus",NA
"b30844","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Alkalibacterium",NA
"b30845","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Alloiococcus",NA
"b30846","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia",NA
"b30849","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes",NA
"b30851","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Desemzia",NA
"b30852","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella",NA
"b30855","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"b30858","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"b30862","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc",NA
"b30865","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella",NA
"b30866","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
"b30867","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"b30871","Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","Turicibacter",NA
"b30877","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Unknown genus216",NA
"b30878","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Unknown genus221",NA
"b30890","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"b30892","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","SMB53",NA
"b30897","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Unknown genus127",NA
"b30911","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Unknown genus376",NA
"b30916","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto",NA
"b30920","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium",NA
"b30922","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes",NA
"b30923","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"b30925","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella",NA
"b30926","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium XlVa",NA
"b30927","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium XlVb",NA
"b30928","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"b30929","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA
