"","intersectedOGUs","intersectedTaxa"
"1","G000005825","Bacillaceae"
"2","G000005845","Enterobacteriaceae"
"3","G000006605","Corynebacteriaceae"
"4","G000006725","Xanthomonadaceae"
"5","G000006765","Pseudomonadaceae"
"6","G000006925","Enterobacteriaceae"
"7","G000006945","Enterobacteriaceae"
"8","G000007025","Rickettsiaceae"
"9","G000007145","Xanthomonadaceae"
"10","G000007625","Clostridiaceae"
"11","G000007745","Pasteurellaceae"
"12","G000007805","Pseudomonadaceae"
"13","G000007865","Mycobacteriaceae"
"14","G000007945","Pasteurellaceae"
"15","G000008045","Rickettsiaceae"
"16","G000008065","Lactobacillaceae"
"17","G000008185","Spirochaetaceae"
"18","G000008345","Propionibacteriaceae"
"19","G000008445","Bacillaceae"
"20","G000008865","Enterobacteriaceae"
"21","G000009045","Bacillaceae"
"22","G000009085","Campylobacteraceae"
"23","G000009125","Burkholderiaceae"
"24","G000009165","Xanthomonadaceae"
"25","G000009365","Alcanivoracaceae"
"26","G000009405","Staphylococcaceae"
"27","G000009485","Burkholderiaceae"
"28","G000009545","Streptococcaceae"
"29","G000009765","Streptomycetaceae"
"30","G000009825","Bacillaceae"
"31","G000009865","Staphylococcaceae"
"32","G000010125","Staphylococcaceae"
"33","G000010145","Lactobacillaceae"
"34","G000010285","Micrococcaceae"
"35","G000010425","Bifidobacteriaceae"
"36","G000010505","Porphyromonadaceae"
"37","G000010585","Staphylococcaceae"
"38","G000010605","Streptomycetaceae"
"39","G000010665","Desulfovibrionaceae"
"40","G000010805","Nocardiaceae"
"41","G000010825","Acetobacteraceae"
"42","G000011025","Micrococcaceae"
"43","G000011065","Bacteroidaceae"
"44","G000011245","Bacillaceae"
"45","G000011305","Corynebacteriaceae"
"46","G000011645","Bacillaceae"
"47","G000011705","Burkholderiaceae"
"48","G000011965","Rhodobacteraceae"
"49","G000012145","Rickettsiaceae"
"50","G000012305","Moraxellaceae"
"51","G000012365","Burkholderiaceae"
"52","G000012385","Rickettsiaceae"
"53","G000012665","Desulfovibrionaceae"
"54","G000012805","Chromatiaceae"
"55","G000012825","Bacteroidaceae"
"56","G000012945","Burkholderiaceae"
"57","G000013285","Clostridiaceae"
"58","G000013425","Staphylococcaceae"
"59","G000013605","Comamonadaceae"
"60","G000013645","Burkholderiaceae"
"61","G000013765","Shewanellaceae"
"62","G000013905","Moraxellaceae"
"63","G000014025","Campylobacteraceae"
"64","G000014045","Rhodobacteraceae"
"65","G000014125","Clostridiaceae"
"66","G000014145","Cytophagaceae"
"67","G000014225","Pseudoalteromonadaceae"
"68","G000014285","Acetobacteraceae"
"69","G000014345","Rickettsiaceae"
"70","G000014385","Leuconostocaceae"
"71","G000014425","Lactobacillaceae"
"72","G000014445","Leuconostocaceae"
"73","G000014465","Lactobacillaceae"
"74","G000014505","Lactobacillaceae"
"75","G000014565","Nocardiaceae"
"76","G000014705","Shewanellaceae"
"77","G000014805","Aeromonadaceae"
"78","G000014885","Shewanellaceae"
"79","G000014925","Micrococcaceae"
"80","G000015245","Shewanellaceae"
"81","G000015305","Mycobacteriaceae"
"82","G000015325","Comamonadaceae"
"83","G000015345","Cardiobacteriaceae"
"84","G000015445","Bartonellaceae"
"85","G000015505","Comamonadaceae"
"86","G000015565","Comamonadaceae"
"87","G000015745","Bacillaceae"
"88","G000016065","Shewanellaceae"
"89","G000016285","Rhizobiaceae"
"90","G000016345","Burkholderiaceae"
"91","G000016425","Micromonosporaceae"
"92","G000016505","Clostridiaceae"
"93","G000016565","Pseudomonadaceae"
"94","G000016585","Shewanellaceae"
"95","G000016645","Flavobacteriaceae"
"96","G000016825","Lactobacillaceae"
"97","G000016985","Clostridiaceae"
"98","G000017005","Streptococcaceae"
"99","G000017145","Rhizobiaceae"
"100","G000017245","Pasteurellaceae"
"101","G000017265","Caulobacteraceae"
"102","G000017425","Bacillaceae"
"103","G000017465","Campylobacteraceae"
"104","G000017565","Rhodobiaceae"
"105","G000017585","Campylobacteraceae"
"106","G000018025","Shewanellaceae"
"107","G000018045","Enterobacteriaceae"
"108","G000018145","Rhodobacteraceae"
"109","G000018205","Rickettsiaceae"
"110","G000018265","Micromonosporaceae"
"111","G000018285","Shewanellaceae"
"112","G000018325","Clostridiaceae"
"113","G000018665","Comamonadaceae"
"114","G000018685","Lachnospiraceae"
"115","G000018885","Micrococcaceae"
"116","G000019045","Bacillaceae"
"117","G000019185","Shewanellaceae"
"118","G000019205","Campylobacteraceae"
"119","G000019405","Pasteurellaceae"
"120","G000019525","Shewanellaceae"
"121","G000019585","Xanthomonadaceae"
"122","G000019725","Methylobacteriaceae"
"123","G000019745","Burkholderiaceae"
"124","G000019945","Methylobacteriaceae"
"125","G000020045","Burkholderiaceae"
"126","G000020125","Burkholderiaceae"
"127","G000020205","Burkholderiaceae"
"128","G000020425","Bifidobacteriaceae"
"129","G000020585","Alteromonadaceae"
"130","G000020605","Lachnospiraceae"
"131","G000020685","Deinococcaceae"
"132","G000021045","Pseudomonadaceae"
"133","G000021325","Acetobacteraceae"
"134","G000021865","Rhodobacteraceae"
"135","G000021885","Pasteurellaceae"
"136","G000022005","Caulobacteraceae"
"137","G000022025","Micrococcaceae"
"138","G000022085","Methylobacteriaceae"
"139","G000022725","Bartonellaceae"
"140","G000022905","Corynebacteriaceae"
"141","G000023065","Aeromonadaceae"
"142","G000023125","Cytophagaceae"
"143","G000023145","Corynebacteriaceae"
"144","G000023205","Micrococcaceae"
"145","G000023245","Pseudonocardiaceae"
"146","G000023285","Flavobacteriaceae"
"147","G000023345","Comamonadaceae"
"148","G000023405","Dermabacteraceae"
"149","G000023445","Desulfovibrionaceae"
"150","G000023465","Flavobacteriaceae"
"151","G000023865","Pseudonocardiaceae"
"152","G000023905","Leptotrichiaceae"
"153","G000024005","Chitinophagaceae"
"154","G000024125","Flavobacteriaceae"
"155","G000024345","Nocardioidaceae"
"156","G000024405","Leptotrichiaceae"
"157","G000024565","Leptotrichiaceae"
"158","G000024725","Chromatiaceae"
"159","G000024785","Gordoniaceae"
"160","G000024885","Campylobacteraceae"
"161","G000024945","Veillonellaceae"
"162","G000024985","Sphaerobacteraceae"
"163","G000025085","Staphylococcaceae"
"164","G000025345","Geodermatophilaceae"
"165","G000025485","Chromatiaceae"
"166","G000025565","Enterobacteriaceae"
"167","G000025925","Prevotellaceae"
"168","G000025965","Rhodocyclaceae"
"169","G000025985","Bacteroidaceae"
"170","G000026105","Pseudomonadaceae"
"171","G000026125","Oxalobacteraceae"
"172","G000026225","Enterobacteriaceae"
"173","G000026405","Leuconostocaceae"
"174","G000026505","Lactobacillaceae"
"175","G000026605","Streptococcaceae"
"176","G000027065","Enterobacteriaceae"
"177","G000027085","Enterobacteriaceae"
"178","G000046685","Bartonellaceae"
"179","G000046705","Bartonellaceae"
"180","G000046845","Moraxellaceae"
"181","G000055785","Halomonadaceae"
"182","G000055945","Desulfovibrionaceae"
"183","G000056065","Lactobacillaceae"
"184","G000060345","Flavobacteriaceae"
"185","G000062885","Pseudonocardiaceae"
"186","G000063545","Rickettsiaceae"
"187","G000067205","Alcaligenaceae"
"188","G000069785","Burkholderiaceae"
"189","G000069945","Corynebacteriaceae"
"190","G000070465","Alcaligenaceae"
"191","G000072485","Xanthomonadaceae"
"192","G000087965","Xanthomonadaceae"
"193","G000091305","Streptomycetaceae"
"194","G000091325","Shewanellaceae"
"195","G000091765","Lactobacillaceae"
"196","G000092025","Rhizobiaceae"
"197","G000092045","Rhizobiaceae"
"198","G000092245","Campylobacteraceae"
"199","G000092265","Moraxellaceae"
"200","G000092285","Caulobacteraceae"
"201","G000092365","Actinomycetaceae"
"202","G000092385","Streptomycetaceae"
"203","G000092505","Leuconostocaceae"
"204","G000092865","Cellulomonadaceae"
"205","G000093145","Comamonadaceae"
"206","G000143085","Chromatiaceae"
"207","G000143145","Hyphomicrobiaceae"
"208","G000143685","Clostridiaceae"
"209","G000143825","Corynebacteriaceae"
"210","G000143985","Spirochaetaceae"
"211","G000144405","Prevotellaceae"
"212","G000144605","Caulobacteraceae"
"213","G000144625","Lachnospiraceae"
"214","G000144675","Corynebacteriaceae"
"215","G000145035","Lachnospiraceae"
"216","G000145235","Micromonosporaceae"
"217","G000145275","Clostridiaceae"
"218","G000146165","Shewanellaceae"
"219","G000146185","Lachnospiraceae"
"220","G000146675","Prevotellaceae"
"221","G000147675","Peptostreptococcaceae"
"222","G000152245","Eubacteriaceae"
"223","G000152625","Rhodobacteraceae"
"224","G000152725","Rhodobacteraceae"
"225","G000152805","Rhodobacteraceae"
"226","G000152985","Flavobacteriaceae"
"227","G000153105","Pirellulaceae"
"228","G000153225","Flavobacteriaceae"
"229","G000153305","Rhodobacteraceae"
"230","G000153485","Flavobacteriaceae"
"231","G000153725","Rhodobacteraceae"
"232","G000153885","Eubacteriaceae"
"233","G000153905","Lachnospiraceae"
"234","G000153925","Lachnospiraceae"
"235","G000154065","Lachnospiraceae"
"236","G000154225","Actinomycetaceae"
"237","G000154285","Erysipelotrichaceae"
"238","G000154305","Lachnospiraceae"
"239","G000154345","Ruminococcaceae"
"240","G000154425","Lachnospiraceae"
"241","G000154445","Peptostreptococcaceae"
"242","G000154465","Rikenellaceae"
"243","G000154485","Erysipelotrichaceae"
"244","G000154525","Bacteroidaceae"
"245","G000154565","Ruminococcaceae"
"246","G000154725","Flavobacteriaceae"
"247","G000154765","Rhodobacteraceae"
"248","G000154785","Rhodobacteraceae"
"249","G000154805","Erysipelotrichaceae"
"250","G000154825","Eubacteriaceae"
"251","G000154845","Bacteroidaceae"
"252","G000154965","Streptomycetaceae"
"253","G000155205","Lachnospiraceae"
"254","G000155675","Rhodobacteraceae"
"255","G000155735","Rhodobacteraceae"
"256","G000155815","Bacteroidaceae"
"257","G000155875","Lachnospiraceae"
"258","G000156015","Lachnospiraceae"
"259","G000156175","Coriobacteriaceae"
"260","G000156215","Coriobacteriaceae"
"261","G000156435","Streptomycetaceae"
"262","G000156515","Lachnospiraceae"
"263","G000156535","Lachnospiraceae"
"264","G000156615","Corynebacteriaceae"
"265","G000156655","Erysipelotrichaceae"
"266","G000156675","Lachnospiraceae"
"267","G000156695","Streptomycetaceae"
"268","G000157355","Enterococcaceae"
"269","G000157895","Mycobacteriaceae"
"270","G000157915","Bacteroidaceae"
"271","G000157935","Prevotellaceae"
"272","G000157955","Ruminococcaceae"
"273","G000157975","Lachnospiraceae"
"274","G000157995","Erysipelotrichaceae"
"275","G000158075","Lachnospiraceae"
"276","G000158095","Rhodobacteraceae"
"277","G000158215","Fusobacteriaceae"
"278","G000158315","Fusobacteriaceae"
"279","G000158615","Neisseriaceae"
"280","G000158655","Ruminococcaceae"
"281","G000158915","Streptomycetaceae"
"282","G000158955","Streptomycetaceae"
"283","G000158975","Streptomycetaceae"
"284","G000159015","Actinomycetaceae"
"285","G000159035","Actinomycetaceae"
"286","G000159115","Corynebacteriaceae"
"287","G000159415","Lactobacillaceae"
"288","G000159635","Corynebacteriaceae"
"289","G000159995","Prevotellaceae"
"290","G000160035","Lachnospiraceae"
"291","G000160055","Veillonellaceae"
"292","G000160075","Aerococcaceae"
"293","G000160095","Clostridiaceae"
"294","G000160115","Lachnospiraceae"
"295","G000160435","Neisseriaceae"
"296","G000160535","Prevotellaceae"
"297","G000160575","Leuconostocaceae"
"298","G000160615","Actinomycetaceae"
"299","G000160635","Lachnospiraceae"
"300","G000160675","Carnobacteriaceae"
"301","G000160735","Rickettsiaceae"
"302","G000160775","Nocardioidaceae"
"303","G000160835","Lactobacillaceae"
"304","G000160875","Lactobacillaceae"
"305","G000161455","Bacillaceae"
"306","G000161775","Rhodobacteraceae"
"307","G000161935","Lactobacillaceae"
"308","G000162015","Ruminococcaceae"
"309","G000162475","Carnobacteriaceae"
"310","G000163895","Peptostreptococcaceae"
"311","G000164015","Pseudomonadaceae"
"312","G000164135","Mycobacteriaceae"
"313","G000164395","Acetobacteraceae"
"314","G000164635","Acetobacteraceae"
"315","G000164675","Streptococcaceae"
"316","G000164695","Micrococcaceae"
"317","G000164865","Enterobacteriaceae"
"318","G000164885","Rhodobacteraceae"
"319","G000165505","Fusobacteriaceae"
"320","G000165675","Leuconostocaceae"
"321","G000165735","Veillonellaceae"
"322","G000166055","Hyphomicrobiaceae"
"323","G000166395","Cytophagaceae"
"324","G000166935","Rickettsiaceae"
"325","G000169035","Coriobacteriaceae"
"326","G000169235","Lachnospiraceae"
"327","G000169255","Ruminococcaceae"
"328","G000169415","Rhodobacteraceae"
"329","G000170835","Alteromonadaceae"
"330","G000171615","Bacillaceae"
"331","G000172095","Rhodobacteraceae"
"332","G000172155","Verrucomicrobiaceae"
"333","G000172635","Alteromonadaceae"
"334","G000173655","Corynebacteriaceae"
"335","G000173795","Erysipelotrichaceae"
"336","G000173815","Lachnospiraceae"
"337","G000173975","Lachnospiraceae"
"338","G000174175","Campylobacteraceae"
"339","G000174195","Lachnospiraceae"
"340","G000174815","Porphyromonadaceae"
"341","G000175195","Pasteurellaceae"
"342","G000175215","Caulobacteraceae"
"343","G000175635","Corynebacteriaceae"
"344","G000176855","Comamonadaceae"
"345","G000176915","Desulfovibrionaceae"
"346","G000177075","Prevotellaceae"
"347","G000177215","Desulfovibrionaceae"
"348","G000177235","Bacillaceae"
"349","G000177375","Erysipelotrichaceae"
"350","G000177535","Corynebacteriaceae"
"351","G000177555","Veillonellaceae"
"352","G000178115","Ruminococcaceae"
"353","G000178255","Erysipelotrichaceae"
"354","G000178455","Brevibacteriaceae"
"355","G000178835","Lachnospiraceae"
"356","G000178875","Shewanellaceae"
"357","G000179055","Prevotellaceae"
"358","G000179395","Corynebacteriaceae"
"359","G000179555","Desulfovibrionaceae"
"360","G000179635","Ruminococcaceae"
"361","G000180175","Enterobacteriaceae"
"362","G000182745","Acetobacteraceae"
"363","G000183325","Corynebacteriaceae"
"364","G000183525","Eubacteriaceae"
"365","G000183685","Staphylococcaceae"
"366","G000184345","Spirochaetaceae"
"367","G000184435","Mycobacteriaceae"
"368","G000184685","Intrasporangiaceae"
"369","G000184945","Prevotellaceae"
"370","G000185145","Prevotellaceae"
"371","G000185365","Enterococcaceae"
"372","G000185385","Lachnospiraceae"
"373","G000185505","Eubacteriaceae"
"374","G000185845","Prevotellaceae"
"375","G000185885","Staphylococcaceae"
"376","G000185965","Xanthomonadaceae"
"377","G000186165","Neisseriaceae"
"378","G000186225","Bacteroidaceae"
"379","G000186265","Flavobacteriaceae"
"380","G000186385","Deinococcaceae"
"381","G000187465","Streptococcaceae"
"382","G000187585","Streptococcaceae"
"383","G000187895","Bacteroidaceae"
"384","G000187975","Streptococcaceae"
"385","G000187995","Streptococcaceae"
"386","G000188015","Streptococcaceae"
"387","G000188035","Streptococcaceae"
"388","G000188255","Pasteurellaceae"
"389","G000189295","Desulfovibrionaceae"
"390","G000189415","Flavobacteriaceae"
"391","G000189535","Micrococcaceae"
"392","G000189595","Lachnospiraceae"
"393","G000190435","Spirochaetaceae"
"394","G000190475","Bacillaceae"
"395","G000190535","Odoribacteraceae"
"396","G000190555","Deinococcaceae"
"397","G000190575","Bacteroidaceae"
"398","G000190595","Flavobacteriaceae"
"399","G000190695","Neisseriaceae"
"400","G000191065","Prevotellaceae"
"401","G000191145","Moraxellaceae"
"402","G000191545","Lactobacillaceae"
"403","G000192435","Gordoniaceae"
"404","G000192475","Rhodobacteraceae"
"405","G000193225","Comamonadaceae"
"406","G000193395","Prevotellaceae"
"407","G000194805","Pseudomonadaceae"
"408","G000194925","Neisseriaceae"
"409","G000194985","Veillonellaceae"
"410","G000195275","Spirochaetaceae"
"411","G000195315","Coriobacteriaceae"
"412","G000195615","Bacteroidaceae"
"413","G000195635","Bacteroidaceae"
"414","G000195755","Desulfovibrionaceae"
"415","G000195955","Mycobacteriaceae"
"416","G000196015","Burkholderiaceae"
"417","G000196115","Pirellulaceae"
"418","G000196275","Deinococcaceae"
"419","G000196295","Neisseriaceae"
"420","G000196315","Flavobacteriaceae"
"421","G000196395","Aeromonadaceae"
"422","G000196435","Bartonellaceae"
"423","G000196455","Peptostreptococcaceae"
"424","G000196535","Actinomycetaceae"
"425","G000196675","Pseudonocardiaceae"
"426","G000196695","Nocardiaceae"
"427","G000196735","Bacillaceae"
"428","G000196795","Moraxellaceae"
"429","G000196875","Halomonadaceae"
"430","G000197735","Micrococcaceae"
"431","G000198775","Burkholderiaceae"
"432","G000202835","Acetobacteraceae"
"433","G000203875","Burkholderiaceae"
"434","G000203895","Rhodobacteraceae"
"435","G000203915","Burkholderiaceae"
"436","G000204015","Caulobacteraceae"
"437","G000204115","Aeromonadaceae"
"438","G000204155","Micromonosporaceae"
"439","G000204195","Comamonadaceae"
"440","G000204235","Propionibacteriaceae"
