"","intersectedOGUs","intersectedTaxa"
"1","G000005825","Firmicutes"
"2","G000006605","Actinobacteria"
"3","G000007085","Firmicutes"
"4","G000007485","Actinobacteria"
"5","G000007625","Firmicutes"
"6","G000007865","Actinobacteria"
"7","G000007925","Cyanobacteria"
"8","G000008065","Firmicutes"
"9","G000008185","Spirochaetes"
"10","G000008205","Tenericutes"
"11","G000008305","Tenericutes"
"12","G000008345","Actinobacteria"
"13","G000008365","Tenericutes"
"14","G000008445","Firmicutes"
"15","G000009045","Firmicutes"
"16","G000009405","Firmicutes"
"17","G000009545","Firmicutes"
"18","G000009765","Actinobacteria"
"19","G000009825","Firmicutes"
"20","G000009865","Firmicutes"
"21","G000009905","Firmicutes"
"22","G000010065","Cyanobacteria"
"23","G000010125","Firmicutes"
"24","G000010145","Firmicutes"
"25","G000010165","Firmicutes"
"26","G000010185","Firmicutes"
"27","G000010285","Actinobacteria"
"28","G000010425","Actinobacteria"
"29","G000010505","Bacteroidetes"
"30","G000010585","Firmicutes"
"31","G000010605","Actinobacteria"
"32","G000010625","Cyanobacteria"
"33","G000010805","Actinobacteria"
"34","G000011025","Actinobacteria"
"35","G000011065","Bacteroidetes"
"36","G000011225","Tenericutes"
"37","G000011245","Firmicutes"
"38","G000011305","Actinobacteria"
"39","G000011345","Cyanobacteria"
"40","G000011385","Cyanobacteria"
"41","G000011645","Firmicutes"
"42","G000011905","Chloroflexi"
"43","G000012085","Spirochaetes"
"44","G000012225","Tenericutes"
"45","G000012405","Actinobacteria"
"46","G000012765","Tenericutes"
"47","G000012825","Bacteroidetes"
"48","G000012845","Bacteroidetes"
"49","G000012865","Firmicutes"
"50","G000013045","Bacteroidetes"
"51","G000013285","Firmicutes"
"52","G000013345","Actinobacteria"
"53","G000013425","Firmicutes"
"54","G000013945","Spirochaetes"
"55","G000014125","Firmicutes"
"56","G000014145","Bacteroidetes"
"57","G000014185","Actinobacteria"
"58","G000014265","Cyanobacteria"
"59","G000014385","Firmicutes"
"60","G000014425","Firmicutes"
"61","G000014445","Firmicutes"
"62","G000014465","Firmicutes"
"63","G000014505","Firmicutes"
"64","G000014565","Actinobacteria"
"65","G000014725","Firmicutes"
"66","G000014925","Actinobacteria"
"67","G000015025","Actinobacteria"
"68","G000015305","Actinobacteria"
"69","G000015745","Firmicutes"
"70","G000015865","Firmicutes"
"71","G000016165","Firmicutes"
"72","G000016425","Actinobacteria"
"73","G000016505","Firmicutes"
"74","G000016545","Firmicutes"
"75","G000016645","Bacteroidetes"
"76","G000016825","Firmicutes"
"77","G000016985","Firmicutes"
"78","G000017005","Firmicutes"
"79","G000017305","Actinobacteria"
"80","G000017425","Firmicutes"
"81","G000017685","Spirochaetes"
"82","G000017805","Chloroflexi"
"83","G000017845","Cyanobacteria"
"84","G000018105","Cyanobacteria"
"85","G000018265","Actinobacteria"
"86","G000018325","Firmicutes"
"87","G000018685","Firmicutes"
"88","G000018785","Tenericutes"
"89","G000018865","Chloroflexi"
"90","G000018885","Actinobacteria"
"91","G000019045","Firmicutes"
"92","G000019085","Firmicutes"
"93","G000019165","Firmicutes"
"94","G000019345","Tenericutes"
"95","G000019685","Spirochaetes"
"96","G000019705","Spirochaetes"
"97","G000019905","Firmicutes"
"98","G000019965","Verrucomicrobia"
"99","G000020005","Firmicutes"
"100","G000020025","Cyanobacteria"
"101","G000020225","Verrucomicrobia"
"102","G000020425","Actinobacteria"
"103","G000020485","Firmicutes"
"104","G000020605","Firmicutes"
"105","G000020685","Deinococcus-Thermus"
"106","G000021265","Tenericutes"
"107","G000021685","Chloroflexi"
"108","G000021805","Cyanobacteria"
"109","G000021825","Cyanobacteria"
"110","G000021925","Firmicutes"
"111","G000021945","Chloroflexi"
"112","G000022025","Actinobacteria"
"113","G000022065","Firmicutes"
