"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label","origin"
"G000146045",-1.84062134310533,0.20742106778452,-8.87383987926178,7.06661417915565e-19,2.33198267912136e-17,TRUE,"Saccharomyces","Saccharomyces_cerevisiae","G000146045",1,"G000146045
(Saccharomyces)","Shared with WIS"
"G000243375",-0.493977639101064,0.0833971503939867,-5.92319565797397,3.15744797383817e-09,5.20978915683298e-08,TRUE,"Torulaspora","Torulaspora_delbrueckii","G000243375",1,"G000243375
(Torulaspora)","Shared with WIS"
"G000002545",-0.474232145027583,0.0825143174872321,-5.74727101270593,9.06953007196933e-09,7.4823623093747e-08,TRUE,"Nakaseomyces","Candida_glabrata","G000002545",1,"G000002545
(Nakaseomyces)","Shared with WIS"
"G001661255",-0.238892271337191,0.041441885942107,-5.76451254344256,8.18941875888646e-09,7.4823623093747e-08,TRUE,"Wickerhamomyces","Wickerhamomyces_anomalus","G001661255",1,"","Shared with WIS"
"G000182965",-0.399484743643062,0.0803556453833156,-4.97145834293813,6.64511435896535e-07,4.38577547691713e-06,TRUE,"Candida","Candida_albicans","G000182965",1,"","Shared with WIS"
"G000006335",-0.249180345049721,0.0614541698693931,-4.0547345376123,5.01912692575955e-05,0.000276051980916775,TRUE,"Candida","Candida_tropicalis","G000006335",1,"","Shared with WIS"
"G003290485",0.653993970318767,0.180328399470163,3.62668316382954,0.000287085198156565,0.00135340164845238,TRUE,"Malassezia","Malassezia_restricta","G003290485",1,"","Shared with WIS"
"G001661405",0.51531370976676,0.154463590662932,3.33615001150187,0.000849473129768359,0.00350407666029448,TRUE,"Cyberlindnera","Cyberlindnera_jadinii","G001661405",1,"","Shared with WIS"
"G001329695",-0.0659699608404838,0.0268115745912111,-2.46050304192537,0.0138742395850668,0.0508722118119116,FALSE,"Rhodotorula","Rhodotorula_graminis","G001329695",0,"","Shared with WIS"
"G000264905",-0.0766280015171936,0.0340682303314951,-2.24925101103221,0.0244965306885521,0.0808385512722218,FALSE,"Stereum","Stereum_hirsutum","G000264905",0,"","Shared with WIS"
"G004022145",-0.0608329076593456,0.0339617352632344,-1.7912190642744,0.0732581480750261,0.219774444225078,FALSE,"Byssochlamys","Byssochlamys_spectabilis","G004022145",0,"","Shared with WIS"
"G000300575",0.0848815303214333,0.0550838443316512,1.54095145956725,0.123328600190731,0.33915365052451,FALSE,"Agaricus","Agaricus_bisporus","G000300575",0,"","Shared with WIS"
"G000181695",0.133601886167237,0.0971544870542189,1.37514890169383,0.169085286250457,0.390917051597271,FALSE,"Malassezia","Malassezia_globosa","G000181695",0,"","Shared with WIS"
"G000315875",-0.0790018308097979,0.0555954903868982,-1.42101149319866,0.155313418226716,0.390917051597271,FALSE,"Candida","Candida_orthopsilosis","G000315875",0,"","Shared with WIS"
"G000349305",0.0844216004488428,0.0643479713485995,1.31195434260851,0.189535540168374,0.390917051597271,FALSE,"Malassezia","Malassezia_sympodialis","G000349305",0,"","Shared with WIS"
"G005498985",-0.0428163892370445,0.0321597097504933,-1.33136740254279,0.183068149859201,0.390917051597271,FALSE,"Sporisorium","Sporisorium_graminicola","G005498985",0,"","Shared with WIS"
"G000149955",0.133756038290335,0.120138111164231,1.11335226593906,0.265557167328119,0.505728524190799,FALSE,"Fusarium","Fusarium_oxysporum","G000149955",0,"","Shared with WIS"
"G000281105",0.0351324042129887,0.0343563236376565,1.02258916243534,0.306502135873211,0.505728524190799,FALSE,"Bonordeniella","Coniosporium_apollinis","G000281105",0,"","Shared with WIS"
"G001661395",-0.0278670773310709,0.0266365106125981,-1.04619849560516,0.295469397344835,0.505728524190799,FALSE,"Hyphopichia","Hyphopichia_burtonii","G001661395",0,"","Shared with WIS"
"G003144115",0.0359268851098961,0.0332969229533849,1.07898514106523,0.280594351640541,0.505728524190799,FALSE,"Tilletiopsis","Tilletiopsis_washingtonensis","G003144115",0,"","Shared with WIS"
"G000400465",0.0226195111714808,0.026225974282718,0.862485066432262,0.388420647363118,0.610375302999185,FALSE,"Wallemia","Wallemia_ichthyophaga","G000400465",0,"","Shared with WIS"
"G000403515",0.0215576223206706,0.0278957462057113,0.772792459527646,0.43964521671262,0.659467825068929,FALSE,"Pseudozyma","Pseudozyma_hubeiensis","G000403515",0,"","Shared with WIS"
"G000006445",0.0250264486143925,0.0474756600957105,0.527142720373753,0.598094482095203,0.754572321355045,FALSE,"Debaryomyces","Debaryomyces_hansenii","G000006445",0,"","Shared with WIS"
"G000143185",0.0148046109744715,0.0272803136594596,0.542684778455174,0.587346856271054,0.754572321355045,FALSE,"Schizophyllum","Schizophyllum_commune","G000143185",0,"","Shared with WIS"
"G000365145",0.014268340321361,0.0258137640713845,0.552741563837953,0.580440387968374,0.754572321355045,FALSE,"Cyphellophora","Cyphellophora_europaea","G000365145",0,"","Shared with WIS"
"G001642055",-0.0280777887452782,0.0562038278180295,-0.499570755859998,0.617377353835946,0.754572321355045,FALSE,"Alternaria","Alternaria_alternata","G001642055",0,"","Shared with WIS"
"G900074925",0.0171455247758188,0.0284024590048187,0.603663393120642,0.546067456765794,0.754572321355045,FALSE,"Ramularia","Ramularia_collo-cygni","G900074925",0,"","Shared with WIS"
"G000149985",0.0120511017819894,0.0299330023127316,0.402602507295554,0.68724066486559,0.781900273996924,FALSE,"Pyrenophora","Pyrenophora_tritici-repentis","G000149985",0,"","Shared with WIS"
"G000523435",0.0114622371707629,0.0309157561552056,0.370757134750945,0.710818430906295,0.781900273996924,FALSE,"Bipolaris","Bipolaris_zeicola","G000523435",0,"","Shared with WIS"
"G000769745",-0.015315216076543,0.0404676426318004,-0.378455849674524,0.705091985821145,0.781900273996924,FALSE,"Penicillium","Penicillium_expansum","G000769745",0,"","Shared with WIS"
"G000721765",-0.00658690807578843,0.0283166127086623,-0.2326163847194,0.816059303126366,0.868708290424841,FALSE,"Aureobasidium","Aureobasidium_namibiae","G000721765",0,"","Shared with WIS"
"G000721785",0.00632523128149791,0.0350511268250523,0.180457287808991,0.85679358326151,0.883568382738432,FALSE,"Aureobasidium","Aureobasidium_pullulans","G000721785",0,"","Shared with WIS"
"G000293215",-0.00369004840700676,0.0308967372421193,-0.119431653190111,0.904933385137537,0.904933385137537,FALSE,"Trichosporon","Trichosporon_asahii","G000293215",0,"","Shared with WIS"
