"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label","origin"
"G000315875",-0.302700618390278,0.0326456867436757,-9.27230052677384,1.82173531085233e-20,6.0117265258127e-19,TRUE,"Candida","Candida_orthopsilosis","G000315875",1,"G000315875
(Candida)","Shared with WIS"
"G000006335",-0.335537896286089,0.0438691702354595,-7.64860366597209,2.03173388059802e-14,3.35236090298673e-13,TRUE,"Candida","Candida_tropicalis","G000006335",1,"G000006335
(Candida)","Shared with WIS"
"G000002545",-0.429490343228763,0.0720079782727728,-5.96448273553542,2.45410213908792e-09,2.69951235299671e-08,TRUE,"Nakaseomyces","Candida_glabrata","G000002545",1,"G000002545
(Nakaseomyces)","Shared with WIS"
"G000243375",-0.424392650810602,0.0752473557225359,-5.63996763388591,1.70082131420282e-08,1.40317758421733e-07,TRUE,"Torulaspora","Torulaspora_delbrueckii","G000243375",1,"","Shared with WIS"
"G001661255",-0.1814670579463,0.0513851641780166,-3.53150682398587,0.0004131992003926,0.00272711472259116,TRUE,"Wickerhamomyces","Wickerhamomyces_anomalus","G001661255",1,"","Shared with WIS"
"G000349305",-0.0875380899048619,0.0325764043739661,-2.68716242897633,0.00720619007750804,0.0396340454262942,TRUE,"Malassezia","Malassezia_sympodialis","G000349305",1,"","Shared with WIS"
"G000146045",0.559492998588388,0.236949938119563,2.36122871788248,0.0182144929907668,0.0858683240993291,FALSE,"Saccharomyces","Saccharomyces_cerevisiae","G000146045",0,"","Shared with WIS"
"G000006445",-0.0576261563703136,0.0278720696322053,-2.06752340715052,0.0386848609191684,0.15957505129157,FALSE,"Debaryomyces","Debaryomyces_hansenii","G000006445",0,"","Shared with WIS"
"G000181695",0.169705242143456,0.112812720054917,1.50430946138738,0.132501704055272,0.485839581535999,FALSE,"Malassezia","Malassezia_globosa","G000181695",0,"","Shared with WIS"
"G000721785",0.0992057228990186,0.0712271411094731,1.3928078728661,0.163677897049276,0.540137060262611,FALSE,"Aureobasidium","Aureobasidium_pullulans","G000721785",0,"","Shared with WIS"
"G000293215",0.162930717407877,0.137188978463904,1.18763707720694,0.234976423668498,0.598708675499563,FALSE,"Trichosporon","Trichosporon_asahii","G000293215",0,"","Shared with WIS"
"G000400465",0.0301398241641776,0.0274460744272839,1.09814699526632,0.272140307045256,0.598708675499563,FALSE,"Wallemia","Wallemia_ichthyophaga","G000400465",0,"","Shared with WIS"
"G000769745",-0.0473454078842793,0.0423117934882861,-1.11896480817781,0.263155152711231,0.598708675499563,FALSE,"Penicillium","Penicillium_expansum","G000769745",0,"","Shared with WIS"
"G001661395",-0.0284588201195663,0.0256707341887285,-1.108609512698,0.267598672608581,0.598708675499563,FALSE,"Hyphopichia","Hyphopichia_burtonii","G001661395",0,"","Shared with WIS"
"G001661405",0.197779233533923,0.157220604951872,1.25797272942988,0.208401618868868,0.598708675499563,FALSE,"Cyberlindnera","Cyberlindnera_jadinii","G001661405",0,"","Shared with WIS"
"G000143185",0.0232638165703426,0.0282194562719128,0.824389256340754,0.409718417437555,0.67357194287549,FALSE,"Schizophyllum","Schizophyllum_commune","G000143185",0,"","Shared with WIS"
"G000182965",0.261423641027466,0.310737836597938,0.841299675281322,0.40018007251601,0.67357194287549,FALSE,"Candida","Candida_albicans","G000182965",0,"","Shared with WIS"
"G000264905",0.051510838663988,0.0610370664240967,0.843927168879338,0.398710105060209,0.67357194287549,FALSE,"Stereum","Stereum_hirsutum","G000264905",0,"","Shared with WIS"
"G000365145",0.0227919741935776,0.0271296393782813,0.840113422658456,0.400844794869818,0.67357194287549,FALSE,"Cyphellophora","Cyphellophora_europaea","G000365145",0,"","Shared with WIS"
"G001642055",-0.0625590805548022,0.0764503019270484,-0.818297364142504,0.413187410842371,0.67357194287549,FALSE,"Alternaria","Alternaria_alternata","G001642055",0,"","Shared with WIS"
"G004022145",0.0654082887367941,0.0826356043278913,0.79152671864369,0.428636690920767,0.67357194287549,FALSE,"Byssochlamys","Byssochlamys_spectabilis","G004022145",0,"","Shared with WIS"
"G005498985",-0.0290098062287035,0.0405019010181647,-0.716257891591135,0.473832122429608,0.710748183644412,FALSE,"Sporisorium","Sporisorium_graminicola","G005498985",0,"","Shared with WIS"
"G000403515",0.0150279297506934,0.026771518611004,0.56134020520287,0.574565638243933,0.824376785306512,FALSE,"Pseudozyma","Pseudozyma_hubeiensis","G000403515",0,"","Shared with WIS"
"G000149955",-0.0504728080196452,0.153721703579649,-0.328338854204107,0.742655469641805,0.910501267041846,FALSE,"Fusarium","Fusarium_oxysporum","G000149955",0,"","Shared with WIS"
"G000300575",0.0201523882131372,0.0654200650062634,0.30804598269977,0.758047343301147,0.910501267041846,FALSE,"Agaricus","Agaricus_bisporus","G000300575",0,"","Shared with WIS"
"G000523435",-0.00803216458673141,0.0277885783513902,-0.289045538248255,0.772546529611263,0.910501267041846,FALSE,"Bipolaris","Bipolaris_zeicola","G000523435",0,"","Shared with WIS"
"G003290485",-0.0733828010774817,0.224713885167934,-0.326561044604079,0.743999911349762,0.910501267041846,FALSE,"Malassezia","Malassezia_restricta","G003290485",0,"","Shared with WIS"
"G900074925",0.0111459075292514,0.0279391013705557,0.398935791864723,0.689940515645719,0.910501267041846,FALSE,"Ramularia","Ramularia_collo-cygni","G900074925",0,"","Shared with WIS"
"G000149985",0.00666353535446874,0.027473141919083,0.242547262125859,0.808356139986052,0.919853538604818,FALSE,"Pyrenophora","Pyrenophora_tritici-repentis","G000149985",0,"","Shared with WIS"
"G000721765",0.00444230334237555,0.0289736259065644,0.153322313082294,0.878144105413132,0.934798563826883,FALSE,"Aureobasidium","Aureobasidium_namibiae","G000721765",0,"","Shared with WIS"
"G001329695",-0.00842421662879612,0.0488194342358513,-0.17255866973177,0.862998341234836,0.934798563826883,FALSE,"Rhodotorula","Rhodotorula_graminis","G001329695",0,"","Shared with WIS"
"G000281105",-0.00138334551129007,0.0301783069613487,-0.0458390695363331,0.963438518538026,0.981344935725465,FALSE,"Bonordeniella","Coniosporium_apollinis","G000281105",0,"","Shared with WIS"
"G003144115",-0.000684314616131346,0.0292657429607614,-0.0233827863877864,0.981344935725465,0.981344935725465,FALSE,"Tilletiopsis","Tilletiopsis_washingtonensis","G003144115",0,"","Shared with WIS"
