"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label","origin"
"G001661405",2.38794182731968,0.120916225794331,19.7487294333961,8.22614645895638e-87,2.79688979604517e-85,TRUE,"Cyberlindnera","Cyberlindnera_jadinii","G001661405",1,"G001661405
(Cyberlindnera)","Shared with WIS"
"G003290485",1.77855823593348,0.134471591765481,13.2262748777102,6.18790434176413e-40,1.0519437380999e-38,TRUE,"Malassezia","Malassezia_restricta","G003290485",1,"G003290485
(Malassezia)","Shared with WIS"
"G004022145",-0.388192473588968,0.0571355986061856,-6.7942313209079,1.0889154659704e-11,1.23410419476646e-10,TRUE,"Byssochlamys","Byssochlamys_spectabilis","G004022145",1,"G004022145
(Byssochlamys)","Shared with WIS"
"G001642055",0.785782307927085,0.134267915792544,5.85234605965871,4.84686799471265e-09,4.11983779550575e-08,TRUE,"Alternaria","Alternaria_alternata","G001642055",1,"","Shared with WIS"
"G000181695",0.522108842065681,0.0992043246748243,5.26296453080114,1.41750933415092e-07,9.63906347222624e-07,TRUE,"Malassezia","Malassezia_globosa","G000181695",1,"","Shared with WIS"
"G005498985",-0.161935782099955,0.0356103134138665,-4.54744051864755,5.43022604288129e-06,3.07712809096606e-05,TRUE,"Sporisorium","Sporisorium_graminicola","G005498985",1,"","Shared with WIS"
"G000300575",-0.33126386838251,0.0738910841633787,-4.48313720299544,7.35536034427372e-06,3.57260359579009e-05,TRUE,"Agaricus","Agaricus_bisporus","G000300575",1,"","Shared with WIS"
"G000002545",-0.318877745158199,0.0804343009781144,-3.96444975937521,7.35654378003427e-05,0.000312653110651456,TRUE,"Nakaseomyces","Candida_glabrata","G000002545",1,"","Shared with WIS"
"G000264905",-0.265746260093254,0.0728051819382582,-3.65010089966698,0.000262137316315717,0.000990296528303818,TRUE,"Stereum","Stereum_hirsutum","G000264905",1,"","Shared with WIS"
"G000315875",-0.277833064010696,0.0810319944226325,-3.4286835217411,0.000606516322532072,0.00206215549660905,TRUE,"Candida","Candida_orthopsilosis","G000315875",1,"","Shared with WIS"
"G000146045",-0.807236427223208,0.262660285066008,-3.07330979641762,0.00211698591946904,0.00654341102381339,TRUE,"Saccharomyces","Saccharomyces_cerevisiae","G000146045",1,"","Shared with WIS"
"G000243375",-0.26001049905157,0.0919597375729992,-2.82743846289436,0.00469220327097504,0.0132945759344293,TRUE,"Torulaspora","Torulaspora_delbrueckii","G000243375",1,"","Shared with WIS"
"G000721785",0.427928682462946,0.154743645741631,2.76540390664856,0.00568523526087556,0.0148690768361361,TRUE,"Aureobasidium","Aureobasidium_pullulans","G000721785",1,"","Shared with WIS"
