"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label","origin"
"G000293215",-6.86812501372563,0.0961529654862766,-71.4291543582801,0,0,TRUE,"Trichosporon","Trichosporon_asahii","G000293215",1,"G000293215
(Trichosporon)","Shared with WIS"
"G000315875",3.94422690889718,0.103191982322751,38.222222503304,0,0,TRUE,"Candida","Candida_orthopsilosis","G000315875",1,"G000315875
(Candida)","Shared with WIS"
"G000769745",3.92625502948785,0.104295452984136,37.6455053134968,0,0,TRUE,"Penicillium","Penicillium_expansum","G000769745",1,"G000769745
(Penicillium)","Shared with WIS"
"G003290485",-3.12120661848937,0.0554222827364136,-56.316818152975,0,0,TRUE,"Malassezia","Malassezia_restricta","G003290485",1,"","Shared with WIS"
"G900074925",-7.53582089944831,0.099688654960807,-75.5935658115866,0,0,TRUE,"Ramularia","Ramularia_collo-cygni","G900074925",1,"","Shared with WIS"
"G000721765",1.65258263161512,0.0495692271032595,33.338882370963,1.05572246357982e-243,5.806473549689e-243,TRUE,"Aureobasidium","Aureobasidium_namibiae","G000721765",1,"","Shared with WIS"
"G001661395",3.37760260313569,0.103379901561348,32.6717529434998,3.93517240212741e-234,1.85515270386006e-233,TRUE,"Hyphopichia","Hyphopichia_burtonii","G001661395",1,"","Shared with WIS"
"G005498985",-0.917442420848184,0.0390278628883895,-23.5073701952846,3.42892815891811e-122,1.41443286555372e-121,TRUE,"Sporisorium","Sporisorium_graminicola","G005498985",1,"","Shared with WIS"
"G001329695",-1.27307183008289,0.0547587855218732,-23.2487228843738,1.46548315667344e-119,5.37343824113594e-119,TRUE,"Rhodotorula","Rhodotorula_graminis","G001329695",1,"","Shared with WIS"
"G000349305",-1.19098248217151,0.0529656070233819,-22.4859592687335,5.6956217852355e-112,1.87955518912771e-111,TRUE,"Malassezia","Malassezia_sympodialis","G000349305",1,"","Shared with WIS"
"G004022145",2.31722028201865,0.125349972569133,18.4860054974536,2.67662571932043e-76,8.02987715796129e-76,TRUE,"Byssochlamys","Byssochlamys_spectabilis","G004022145",1,"","Shared with WIS"
"G000365145",0.605473502909995,0.0346330094589052,17.4825552953588,1.94580566302135e-68,5.35096557330871e-68,TRUE,"Cyphellophora","Cyphellophora_europaea","G000365145",1,"","Shared with WIS"
"G000281105",0.482319575455078,0.0322182845695586,14.9703679726883,1.14684942910423e-50,2.91123316618765e-50,TRUE,"Bonordeniella","Coniosporium_apollinis","G000281105",1,"","Shared with WIS"
"G000149985",0.473006835066318,0.0349883562907743,13.5189784605869,1.20842150638482e-41,2.8484221221928e-41,TRUE,"Pyrenophora","Pyrenophora_tritici-repentis","G000149985",1,"","Shared with WIS"
"G000143185",0.424771736520368,0.0317071191540182,13.3967306981447,6.31857517703604e-41,1.39008653894793e-40,TRUE,"Schizophyllum","Schizophyllum_commune","G000143185",1,"","Shared with WIS"
"G001661405",0.45187340479243,0.0369804512501365,12.2192506991315,2.45335501594775e-34,5.06004472039224e-34,TRUE,"Cyberlindnera","Cyberlindnera_jadinii","G001661405",1,"","Shared with WIS"
"G000006445",0.455602817548928,0.0386182299723259,11.7976100374206,4.01554587760933e-32,7.79488317418282e-32,TRUE,"Debaryomyces","Debaryomyces_hansenii","G000006445",1,"","Shared with WIS"
"G000181695",-1.8119913494148,0.156191929953626,-11.6010561490135,4.07023786694751e-31,7.46210275607043e-31,TRUE,"Malassezia","Malassezia_globosa","G000181695",1,"","Shared with WIS"
"G000721785",0.366318889937173,0.0375905407117877,9.7449752783764,1.93826039577121e-22,3.36645226633947e-22,TRUE,"Aureobasidium","Aureobasidium_pullulans","G000721785",1,"","Shared with WIS"
"G000002545",0.283681345580548,0.0291667558067276,9.72618783728819,2.33167893020309e-22,3.8472702348351e-22,TRUE,"Nakaseomyces","Candida_glabrata","G000002545",1,"","Shared with WIS"
"G000006335",-0.280374923703946,0.0327896783748822,-8.5507067345534,1.22337098824685e-17,1.9224401243879e-17,TRUE,"Candida","Candida_tropicalis","G000006335",1,"","Shared with WIS"
"G000149955",0.788518405611096,0.0970844044282527,8.12198838994606,4.58607209209092e-16,6.87910813813639e-16,TRUE,"Fusarium","Fusarium_oxysporum","G000149955",1,"","Shared with WIS"
"G000400465",-0.186746535477085,0.0448852049799725,-4.16053654117009,3.17500810020171e-05,4.55544640463724e-05,TRUE,"Wallemia","Wallemia_ichthyophaga","G000400465",1,"","Shared with WIS"
"G001477535",0.123392541166837,0.0309124494405489,3.99167789676927,6.5607444982789e-05,9.02102368513349e-05,TRUE,"Pneumocystis","Pneumocystis_jirovecii","G001477535",1,"","Shared with WIS"
"G000182965",0.12717274327728,0.0326547562227828,3.89446310392459,9.84164697773342e-05,0.000129909740106081,TRUE,"Candida","Candida_albicans","G000182965",1,"","Shared with WIS"
"G000300575",0.39188873042013,0.127335361347806,3.07761117000107,0.00208666990010066,0.00264846564243545,TRUE,"Agaricus","Agaricus_bisporus","G000300575",1,"","Shared with WIS"
"G000264905",-0.222453985962697,0.102240352631421,-2.17579439269589,0.0295706381659558,0.0361418910917238,TRUE,"Stereum","Stereum_hirsutum","G000264905",1,"","Shared with WIS"
"G001661255",0.0395069775849233,0.0315654212813371,1.2515903790038,0.210719162123987,0.248347583931842,FALSE,"Wickerhamomyces","Wickerhamomyces_anomalus","G001661255",0,"","Shared with WIS"
"G000523435",0.0343100440502189,0.0396420935962231,0.865495258643145,0.386767017174837,0.440114191957573,FALSE,"Bipolaris","Bipolaris_zeicola","G000523435",0,"","Shared with WIS"
"G000243375",-0.0236273175422841,0.0311514997133559,-0.758464849515869,0.448172748264565,0.492990023091021,FALSE,"Torulaspora","Torulaspora_delbrueckii","G000243375",0,"","Shared with WIS"
"G001642055",-0.0299928059090618,0.0463026881720667,-0.647755175630511,0.517143311251745,0.550507395848632,FALSE,"Alternaria","Alternaria_alternata","G001642055",0,"","Shared with WIS"
"G000146045",-0.0613282012180407,0.1288957606371,-0.475796883581824,0.634219090297456,0.654038436869251,FALSE,"Saccharomyces","Saccharomyces_cerevisiae","G000146045",0,"","Shared with WIS"
"G000403515",-0.00554077873451164,0.032430831640277,-0.170849110376508,0.864342412232794,0.864342412232794,FALSE,"Pseudozyma","Pseudozyma_hubeiensis","G000403515",0,"","Shared with WIS"
