"","intersectedOGUs","intersectedTaxa"
"1","G000005825","Bacillus"
"2","G000006605","Corynebacterium"
"3","G000006765","Pseudomonas"
"4","G000007025","Rickettsia"
"5","G000007625","Clostridium"
"6","G000007805","Pseudomonas"
"7","G000007865","Mycobacterium"
"8","G000007945","Haemophilus"
"9","G000008045","Rickettsia"
"10","G000008065","Lactobacillus"
"11","G000008185","Treponema"
"12","G000008445","Bacillus"
"13","G000009045","Bacillus"
"14","G000009085","Campylobacter"
"15","G000009365","Alcanivorax"
"16","G000009405","Staphylococcus"
"17","G000009545","Streptococcus"
"18","G000009765","Streptomyces"
"19","G000009825","Bacillus"
"20","G000009865","Staphylococcus"
"21","G000010125","Staphylococcus"
"22","G000010145","Lactobacillus"
"23","G000010185","Finegoldia"
"24","G000010285","Kocuria"
"25","G000010425","Bifidobacterium"
"26","G000010505","Porphyromonas"
"27","G000010605","Streptomyces"
"28","G000010665","Desulfovibrio"
"29","G000010805","Rhodococcus"
"30","G000011025","Rothia"
"31","G000011065","Bacteroides"
"32","G000011305","Corynebacterium"
"33","G000011645","Bacillus"
"34","G000012145","Rickettsia"
"35","G000012385","Rickettsia"
"36","G000012665","Desulfovibrio"
"37","G000012825","Bacteroides"
"38","G000012845","Parabacteroides"
"39","G000013285","Clostridium"
"40","G000013325","Novosphingobium"
"41","G000013425","Staphylococcus"
"42","G000013765","Shewanella"
"43","G000014025","Arcobacter"
"44","G000014125","Clostridium"
"45","G000014225","Pseudoalteromonas"
"46","G000014345","Rickettsia"
"47","G000014425","Lactobacillus"
"48","G000014445","Leuconostoc"
"49","G000014465","Lactobacillus"
"50","G000014565","Rhodococcus"
"51","G000014705","Shewanella"
"52","G000014805","Aeromonas"
"53","G000014885","Shewanella"
"54","G000015245","Shewanella"
"55","G000015325","Acidovorax"
"56","G000015745","Geobacillus"
"57","G000016065","Shewanella"
"58","G000016285","Agrobacterium"
"59","G000016505","Clostridium"
"60","G000016565","Pseudomonas"
"61","G000016585","Shewanella"
"62","G000016645","Flavobacterium"
"63","G000016825","Lactobacillus"
"64","G000017005","Streptococcus"
"65","G000017245","Actinobacillus"
"66","G000017425","Bacillus"
"67","G000017465","Campylobacter"
"68","G000017585","Campylobacter"
"69","G000018025","Shewanella"
"70","G000018045","Citrobacter"
"71","G000018205","Rickettsia"
"72","G000018285","Shewanella"
"73","G000019045","Anoxybacillus"
"74","G000019185","Shewanella"
"75","G000019205","Campylobacter"
"76","G000019525","Shewanella"
"77","G000019725","Methylobacterium"
"78","G000019905","Exiguobacterium"
"79","G000020225","Akkermansia"
"80","G000020425","Bifidobacterium"
"81","G000020685","Deinococcus"
"82","G000021325","Gluconacetobacter"
"83","G000021865","Rhodobacter"
"84","G000022085","Methylobacterium"
"85","G000022905","Corynebacterium"
"86","G000023145","Corynebacterium"
"87","G000023205","Micrococcus"
"88","G000023285","Capnocytophaga"
"89","G000023405","Brachybacterium"
"90","G000023445","Desulfovibrio"
"91","G000023905","Leptotrichia"
"92","G000024105","Anaerococcus"
"93","G000024225","Atopobium"
"94","G000024265","Eggerthella"
"95","G000024785","Gordonia"
"96","G000024945","Veillonella"
"97","G000024985","Sphaerobacter"
"98","G000025085","Staphylococcus"
"99","G000025565","Enterobacter"
"100","G000025925","Prevotella"
"101","G000025985","Bacteroides"
"102","G000026105","Pseudomonas"
"103","G000026185","Erwinia"
"104","G000026405","Leuconostoc"
"105","G000026505","Lactobacillus"
"106","G000026605","Streptococcus"
"107","G000027085","Citrobacter"
"108","G000027265","Erwinia"
"109","G000046845","Acinetobacter"
"110","G000056065","Lactobacillus"
"111","G000069945","Corynebacterium"
"112","G000069965","Proteus"
"113","G000072485","Stenotrophomonas"
"114","G000091125","Sphingobium"
"115","G000091305","Streptomyces"
"116","G000091325","Shewanella"
"117","G000091565","Erwinia"
"118","G000091765","Lactobacillus"
"119","G000092025","Agrobacterium"
"120","G000092045","Rhizobium"
"121","G000092245","Arcobacter"
"122","G000092265","Moraxella"
"123","G000092385","Streptomyces"
"124","G000092505","Leuconostoc"
"125","G000092865","Cellulomonas"
"126","G000093145","Comamonas"
"127","G000143685","Clostridium"
"128","G000143825","Corynebacterium"
"129","G000144405","Prevotella"
"130","G000144605","Brevundimonas"
"131","G000144675","Corynebacterium"
"132","G000145275","Clostridium"
"133","G000146165","Shewanella"
"134","G000146185","Lachnospira"
"135","G000146345","Peptoniphilus"
"136","G000146675","Prevotella"
"137","G000147675","Peptostreptococcus"
"138","G000147835","Sphingobium"
"139","G000152245","Eubacterium"
"140","G000153885","Eubacterium"
"141","G000153905","Blautia"
"142","G000154065","Dorea"
"143","G000154305","Anaerostipes"
"144","G000154425","Coprococcus"
"145","G000154465","Alistipes"
"146","G000154525","Bacteroides"
"147","G000154845","Bacteroides"
"148","G000154965","Streptomyces"
"149","G000155815","Bacteroides"
"150","G000155875","Coprococcus"
"151","G000156175","Collinsella"
"152","G000156215","Collinsella"
"153","G000156435","Streptomyces"
"154","G000156495","Parabacteroides"
"155","G000156535","Roseburia"
"156","G000156575","Anaerococcus"
"157","G000156615","Corynebacterium"
"158","G000156675","Blautia"
"159","G000156695","Streptomyces"
"160","G000157355","Enterococcus"
"161","G000157895","Mycobacterium"
"162","G000157915","Bacteroides"
"163","G000157935","Prevotella"
"164","G000157975","Blautia"
"165","G000157995","Holdemania"
"166","G000158215","Fusobacterium"
"167","G000158315","Fusobacterium"
"168","G000158615","Eikenella"
"169","G000158915","Streptomyces"
"170","G000158955","Streptomyces"
"171","G000158975","Streptomyces"
"172","G000159035","Actinomyces"
"173","G000159095","Anaerococcus"
"174","G000159115","Corynebacterium"
"175","G000159235","Atopobium"
"176","G000159415","Lactobacillus"
"177","G000159635","Corynebacterium"
"178","G000160035","Catonella"
"179","G000160055","Dialister"
"180","G000160435","Kingella"
"181","G000160535","Prevotella"
"182","G000160555","Selenomonas"
"183","G000160575","Weissella"
"184","G000160615","Mobiluncus"
"185","G000160635","Oribacterium"
"186","G000160675","Granulicatella"
"187","G000160695","Selenomonas"
"188","G000160735","Rickettsia"
"189","G000160835","Lactobacillus"
"190","G000160875","Lactobacillus"
"191","G000161455","Bacillus"
"192","G000161935","Lactobacillus"
"193","G000162015","Faecalibacterium"
"194","G000162475","Granulicatella"
"195","G000163295","Anaerococcus"
"196","G000164015","Pseudomonas"
"197","G000164135","Mycobacterium"
"198","G000164635","Roseomonas"
"199","G000164675","Streptococcus"
"200","G000164695","Rothia"
"201","G000164985","Paenibacillus"
"202","G000165675","Leuconostoc"
"203","G000165735","Megasphaera"
"204","G000166935","Rickettsia"
"205","G000169035","Collinsella"
"206","G000169235","Dorea"
"207","G000171615","Bacillus"
"208","G000173355","Anaerococcus"
"209","G000173655","Corynebacterium"
"210","G000173795","Catenibacterium"
"211","G000174015","Atopobium"
"212","G000174175","Campylobacter"
"213","G000174195","Roseburia"
"214","G000174815","Porphyromonas"
"215","G000175195","Actinobacillus"
"216","G000175635","Corynebacterium"
"217","G000176855","Acidovorax"
"218","G000177075","Prevotella"
"219","G000177215","Desulfovibrio"
"220","G000177235","Bacillus"
"221","G000177375","Bulleidia"
"222","G000177535","Corynebacterium"
"223","G000177555","Megasphaera"
"224","G000178115","Ethanoligenens"
"225","G000178255","Turicibacter"
"226","G000178455","Brevibacterium"
"227","G000178875","Shewanella"
"228","G000179055","Prevotella"
"229","G000179395","Corynebacterium"
"230","G000179555","Desulfovibrio"
"231","G000179615","Paenibacillus"
"232","G000179635","Ruminococcus"
"233","G000183135","Paludibacter"
"234","G000183325","Corynebacterium"
"235","G000183525","Eubacterium"
"236","G000183685","Staphylococcus"
"237","G000184945","Prevotella"
"238","G000185145","Prevotella"
"239","G000185365","Enterococcus"
"240","G000185385","Lachnoanaerobaculum"
"241","G000185845","Prevotella"
"242","G000185885","Staphylococcus"
"243","G000185965","Pseudoxanthomonas"
"244","G000186165","Neisseria"
"245","G000186225","Bacteroides"
"246","G000186385","Deinococcus"
"247","G000187465","Streptococcus"
"248","G000187585","Streptococcus"
"249","G000187895","Bacteroides"
"250","G000187975","Streptococcus"
"251","G000187995","Streptococcus"
"252","G000188015","Streptococcus"
"253","G000188035","Streptococcus"
"254","G000188175","Phascolarctobacterium"
"255","G000188255","Actinobacillus"
"256","G000189295","Desulfovibrio"
"257","G000190535","Odoribacter"
"258","G000190555","Deinococcus"
"259","G000190575","Bacteroides"
"260","G000190695","Kingella"
"261","G000191065","Prevotella"
"262","G000191145","Acinetobacter"
"263","G000191545","Lactobacillus"
"264","G000192435","Gordonia"
"265","G000192575","Novosphingobium"
"266","G000193395","Prevotella"
"267","G000194805","Pseudomonas"
"268","G000194925","Neisseria"
"269","G000194985","Dialister"
"270","G000195275","Treponema"
"271","G000195615","Bacteroides"
"272","G000195635","Bacteroides"
"273","G000195755","Desulfovibrio"
"274","G000195955","Mycobacterium"
"275","G000196275","Deinococcus"
"276","G000196295","Neisseria"
"277","G000196395","Aeromonas"
"278","G000196535","Mobiluncus"
"279","G000196615","Erwinia"
"280","G000196675","Pseudonocardia"
"281","G000196695","Rhodococcus"
"282","G000196735","Bacillus"
"283","G000196795","Acinetobacter"
"284","G000196875","Halomonas"
"285","G000203895","Paracoccus"
"286","G000204115","Aeromonas"
"287","G000204195","Acidovorax"
"288","G000208405","Selenomonas"
"289","G000210095","Ruminococcus"
"290","G000210575","Alistipes"
"291","G000210895","Haemophilus"
"292","G000211415","Enterobacter"
"293","G000212375","Porphyromonas"
"294","G000212415","Treponema"
"295","G000212695","Cellulomonas"
"296","G000212915","Bacteroides"
"297","G000213805","Pseudomonas"
"298","G000213825","Streptococcus"
"299","G000214355","Treponema"
"300","G000214375","Treponema"
"301","G000214785","Lactobacillus"
"302","G000215745","Klebsiella"
"303","G000217655","Treponema"
"304","G000218235","Prevotella"
"305","G000218545","Cellulomonas"
"306","G000218855","Clostridium"
"307","G000219605","Pseudomonas"
"308","G000219725","Treponema"
"309","G000219745","Achromobacter"
"310","G000219805","Weissella"
"311","G000220235","Prevotella"
"312","G000220255","Prevotella"
"313","G000220625","Capnocytophaga"
"314","G000220865","Neisseria"
"315","G000221985","Streptococcus"
"316","G000224675","Enterobacter"
"317","G000224985","Lactobacillus"
"318","G000225325","Lactobacillus"
"319","G000225345","Roseburia"
"320","G000225525","Streptomyces"
"321","G000225705","Collinsella"
"322","G000225825","Brachybacterium"
"323","G000226135","Bacteroides"
"324","G000226215","Dietzia"
"325","G000226875","Neisseria"
"326","G000227315","Peptoniphilus"
"327","G000227765","Neisseria"
"328","G000230915","Paenibacillus"
"329","G000231275","Alistipes"
"330","G000233655","Brachybacterium"
"331","G000233915","Pseudoxanthomonas"
"332","G000234095","Selenomonas"
"333","G000235585","Paenibacillus"
"334","G000235885","Prevotella"
"335","G000236035","Halomonas"
"336","G000236785","Achromobacter"
"337","G000236925","Staphylococcus"
"338","G000237845","Rickettsia"
"339","G000238055","Oribacterium"
"340","G000238075","Oribacterium"
"341","G000238215","Tannerella"
"342","G000238255","Pseudoalteromonas"
"343","G000238275","Pseudoalteromonas"
"344","G000238355","Pseudoalteromonas"
"345","G000238375","Pseudoalteromonas"
"346","G000238395","Pseudoalteromonas"
"347","G000238795","Haemophilus"
"348","G000238915","Arthrobacter"
"349","G000239695","Actinomyces"
"350","G000240075","Flavobacterium"
"351","G000240165","Streptomyces"
"352","G000240185","Klebsiella"
"353","G000241265","Gordonia"
"354","G000241305","Gordonia"
"355","G000241345","Gordonia"
"356","G000242335","Prevotella"
"357","G000242435","Dialister"
"358","G000242715","Streptomyces"
"359","G000243215","Odoribacter"
"360","G000243275","Myroides"
"361","G000245335","Bacillus"
"362","G000245555","Paenibacillus"
"363","G000245735","Alishewanella"
"364","G000245795","Facklamia"
"365","G000246835","Streptococcus"
"366","G000246895","Clostridium"
"367","G000246925","Peptoniphilus"
"368","G000246945","Myroides"
"369","G000247715","Gordonia"
"370","G000248055","Gordonia"
"371","G000248075","Gordonia"
"372","G000248095","Lactobacillus"
"373","G000250655","Paenibacillus"
