"Taxa","varImp"
"k__Viruses.o__Caudovirales.f__Myoviridae.g__T4likevirus",2366.39264718264
"k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Lymphocryptovirus",1382.56948246331
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Candidatus_Ishikawaella",790.640348900031
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Henriciella",569.060311556988
"k__Viruses.f__Poxviridae.g__Cervidpoxvirus",267.54893201798
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Solobacterium",261.964710895812
"k__Viruses.f__Poxviridae.g__Betaentomopoxvirus",252.070110500378
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales.f__Polyangiaceae.g__Sorangium",250.854452382401
"k__Viruses.o__Caudovirales.f__Siphoviridae.g__L5likevirus",241.746821542453
"k__Bacteria.p__Nitrospirae.c__Nitrospira.o__Nitrospirales.f__Nitrospiraceae.g__Nitrospira",230.337879418397
"k__Viruses.f__Closteroviridae.g__Closterovirus",202.507871094303
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria",199.503419922854
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemanella",189.983296577822
"k__Viruses.f__Baculoviridae.g__Deltabaculovirus",168.905590342774
"contaminant4RandomSpikesHarvard",136.253307846375
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Leuconostoc",132.41996860447
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Methylococcales.f__Methylococcaceae.g__Methylovulum",125.619587643421
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Catellicoccus",109.403320668434
"k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus",102.936757188535
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Sinorhizobium",100.410499060621
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.f__Competibacteraceae.g__Candidatus_Competibacter",95.4914248637362
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.g__Sedimenticola",92.7190734303463
"k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter",87.1075240350443
"k__Viruses.f__Poxviridae.g__Yatapoxvirus",83.3701356733365
"k__Viruses.f__Closteroviridae.g__Crinivirus",77.837271826629
"contaminant5RandomSpikes1000",77.2331599000121
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Methylophilales.f__Methylophilaceae.g__Methylovorus",76.7228932759121
"k__Bacteria.p__Planctomycetes.c__Planctomycetia.o__Planctomycetales.f__Planctomycetaceae.g__Gemmata",74.1486345082251
"k__Viruses.f__Polydnaviridae.g__Bracovirus",73.3375544937078
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella",71.7453415148329
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Rhodocyclales.f__Rhodocyclaceae.g__Azovibrio",69.8089931066719
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Veillonella",65.9094235284759
