"Taxa","varImp"
"G000300575",190.313145626397
"G001642055",38.2100866322346
"G001720205",37.3171764352472
"G000182805",34.3213249879095
"G000721785",29.9382509448065
"G000149955",23.7704720131132
"G000814965",23.7521903243186
"G000146045",16.5296773322846
"G000143535",12.0922269938129
"G000181695",11.9278382740537
"G000230375",9.59487216115465
"G000143185",9.03705734843788
"G003290485",7.18462830496707
"G000149645",5.66491640874115
"G004154835",5.60194179398713
"G000293215",4.98190360615195
"G000264905",4.69178221401715
"G003144115",4.15289222445254
"G001661405",3.10140781314564
"G000146945",3.01909588252279
"G000835495",2.93962294840501
"G001278385",2.8834061315973
"G000151425",2.75339579393792
"G001672515",2.10246768162504
"G000225605",1.89198284728634
"G000002525",1.69409747797137
"G000151125",1.61656748489668
"G001653265",1.45901654582789
"G001661345",1.26637679381723
"G003025105",1.16092994177529
"G003184755",1.08233582122815
"G000149685",1.02904225631291
"G900007375",1.00846226442204
"G000240135",0.966295098687701
"G000006335",0.949460641870531
"G000281105",0.873801861558818
"G000409485",0.770427114748722
"G000142805",0.742134559386152
"G001890805",0.680076340135918
"G000149925",0.677763020883778
"G000835515",0.649729375708891
"G001661235",0.557119695707723
"G000002855",0.535397592789255
"G000243375",0.418815873289833
"G002847485",0.332627570657826
"G000320565",0.324169026398985
"G000732125",0.263617717983874
"G003344945",0.229485933292368
"G000836115",0.145824703508851
"G003184625",0.0817620777842705
"G000417875",0.0662066273754229
"G900067095",0.059325218789736
