"Taxa","varImp"
"G000181695",72.0807475297195
"G000146045",62.5403248435468
"G900067095",46.7579934437312
"G003290485",28.7369365100112
"G001661235",24.6629240261505
"G000149925",23.4352055206159
"G001661405",15.6328448428432
"G000182805",14.4119388892452
"G000836115",8.71788100626341
"G000835495",7.79343557351545
"G000182965",7.42942591226563
"G000167675",7.23135211578605
"G000149585",6.56836623796524
"G000143535",6.50204748518794
"G000002525",6.30790860613561
"G000149645",5.77966216724213
"G000149955",5.09417951428502
"G001720205",4.75731333243039
"G000835515",4.61661542683615
"G000769745",4.28904414689582
"G004337985",4.08552237102502
"G000003835",4.02740303667861
"G001329695",3.67463225298203
"G000223485",3.51147166074556
"G000149555",3.4905034631836
"G001638985",3.40022546668094
"G004154835",3.31871343006302
"G000151355",3.27522059306384
"G000315645",3.02777485003149
"G009193645",2.91813778954267
"G000026945",2.59158808639563
"G001278385",2.47024903538789
"G001653265",2.46815900508969
"G001642055",2.41712786778701
"G000300575",2.2676478939556
"G000315875",2.12844235935558
"G001477545",2.11395829302722
"G000320565",1.88371847438808
"G000149685",1.79272224454484
"G000527765",1.6068520071802
"G001661255",1.60221299626861
"G002849105",1.59698670449644
"G000002515",1.53767809819774
"G003344945",1.43610982637582
"G003054445",1.42661660492237
"G000225545",1.40269594096256
"G000213175",1.36423698171353
"G000264905",1.33656961397405
"G000225605",1.29802095306283
"G000835475",1.19623450831526
"G003144115",1.14628466220431
"G000968595",1.12373945651889
"G000006445",1.11767265033656
"G000349305",1.07014167788388
"G001890805",1.0480257472413
"G000230375",0.977902923902361
"G900079805",0.876626522931329
"G900007375",0.833089385073779
"G000439145",0.74571646684804
"G000006275",0.744489318621872
"G002847045",0.649795316964316
"G000747765",0.647668471100638
"G001661345",0.634548821680011
"G002926055",0.430030123194347
"G002847485",0.406894650991194
"G000001985",0.40421115959554
"G000151425",0.354933968011426
"G000403515",0.313673428531612
"G000149205",0.298221579520003
"G000151125",0.288549164077381
"G000003855",0.257598947539143
"G000151335",0.248212993157692
