"Taxa","varImp"
"Aspergillus",400.452997881526
"Fusarium",208.368466708327
"Wallemia",133.784972979803
"Pneumocystis",97.716618610712
"Phialocephala",84.4080238776135
"Agaricus",69.721994761758
"Leptosphaeria",59.8301713289896
"Tilletiaria",53.1836812640719
"Cordyceps",48.7682858892251
"Colletotrichum",47.8549641946998
"Alternaria",46.3266988285409
"Nannizzia",44.6873991530569
"Candida",44.5188706561793
"Scedosporium",39.1251634012718
"Cryptococcus",36.5857482116491
"Nakaseomyces",35.2013849239835
"Ramularia",35.1345271487625
"Botrytis",34.6923606629171
"Trichosporon",32.2561639835293
"Ascoidea",29.8206081896619
"Histoplasma",29.7600749869082
"Pseudomicrostroma",28.9895736657357
"Naumovozyma",26.4458019218256
"Phaeoacremonium",23.0142739844632
"Fonsecaea",21.0143512755401
"Sordaria",20.2714516784321
"Trametes",19.8231080533812
"Trichophyton",18.3268949116831
"Metschnikowia",17.5617284456512
"Clavispora",15.6656053765394
"Sporisorium",15.4903271760177
"Meyerozyma",15.3273896111352
"Uncinocarpus",13.4395153831753
"Trichoderma",12.3983931183727
"Pyricularia",11.8827596835593
"Exophiala",11.1069591344838
"Lodderomyces",10.8479555315835
"Schizosaccharomyces",10.0223934374111
"Byssochlamys",9.95291959189503
"Moesziomyces",9.42426252502341
"Rhodotorula",9.18959200210131
"Cutaneotrichosporon",8.43672889674413
"Parastagonospora",8.39409073216468
"Spathaspora",7.96211082058416
"Anthracocystis",7.88960347601871
"Ustilago",7.40243603487768
"Blastomyces",6.69324661855129
"Talaromyces",6.55318816533178
"Saccharomyces",6.50722425744479
"Phycomyces",6.42988117916084
"Pichia",6.37697882675176
"Xylona",5.71479653482712
"Bonordeniella",5.70825042096962
"Sclerotinia",5.30051871482474
"Sugiyamaella",5.19066581730563
"Tremella",5.02544945825939
"Glarea",4.81518924752977
"Coccidioides",4.69151904126285
"Verruconis",4.63756533506457
"Kwoniella",4.02019091390973
"Neurospora",3.77137735905097
"Macroventuria",3.31397492025307
"Podospora",3.10121062307223
"Arthrobotrys",3.00877930473952
"Paracoccidioides",2.6631473972361
"Heterobasidion",2.59599237434735
"Tilletiopsis",2.46386241649994
"Eremomyces",2.36411811135983
"Chaetomium",2.34433871804337
"Torulaspora",2.19065869135501
"Puccinia",2.07198268624801
"Thermothelomyces",1.97752571467114
"Rhinocladiella",1.58872872041802
"Tetrapisispora",1.33165275828609
"Lachancea",1.32792807310329
"Bipolaris",1.21363289954287
"Hyphopichia",1.04146147495263
"Stereum",0.983239068619669
"Penicillium",0.933885973647796
"Arthroderma",0.820794319221817
"Wickerhamomyces",0.810368549702456
"Rhizophagus",0.709095749522236
"Schizophyllum",0.705355518658311
"Gloeophyllum",0.552805799881824
