"Taxa","varImp"
"Malassezia",178.115280228211
"Rhinocladiella",47.4677490215969
"Clavispora",43.0403822584552
"Diutina",32.4805519766807
"Blastomyces",26.9209567407996
"Candida",22.5916492936166
"Rhizophagus",21.6909693435368
"Thermothelomyces",20.3966937327499
"Pyricularia",19.8958453356214
"Phaeoacremonium",19.7943935968359
"Chaetomium",19.5950563400586
"Aspergillus",19.1214401675021
"Paracoccidioides",18.3702574179652
"Cyberlindnera",17.7463616852312
"Ascoidea",16.5294672973897
"Byssochlamys",15.812392855542
"Metarhizium",15.3277022919169
"Fusarium",14.8166561613261
"Yarrowia",14.0511766838332
"Neurospora",13.6125407515691
"Xylona",11.4576084102501
"Coccidioides",11.2519728719548
"Talaromyces",10.7460484812952
"Sphaerulina",10.0320262748344
"Botrytis",9.89669998241234
"Hyphopichia",9.74801352746367
"Leptosphaeria",9.15215285611792
"Bipolaris",8.28290822172945
"Saccharomyces",8.25006659585648
"Puccinia",7.8083311420043
"Cryptococcus",7.70683810508802
"Baudoinia",6.35325758155965
"Kockovaella",6.17461308523838
"Microsporum",5.95900145018601
"Uncinocarpus",5.80114832508807
"Trichoderma",5.69189581289418
"Podospora",5.3427310919515
"Penicillium",5.221832106105
"Verruconis",4.63519858464173
"Trichophyton",4.23890443301713
"Sporothrix",3.56391301379823
"Cutaneotrichosporon",3.31200280745274
"Aureobasidium",3.24340035994165
"Agaricus",3.12130816910222
"Histoplasma",2.72223356795206
"Colletotrichum",2.58120394405166
"Heterobasidion",2.54309918846929
"Pneumocystis",2.38704615336402
"Pichia",2.17241281936073
"Saitoella",1.74490901164089
"Trichosporon",1.51724285336706
"Tilletiopsis",1.38963053372731
"Metschnikowia",1.37210701268963
"Lachancea",1.04910415627885
"Arthrobotrys",0.927904080422271
"Wallemia",0.869078311542305
"Exophiala",0.840082384267418
"Trametes",0.616896878864918
"Nannizzia",0.591711113502921
"Scedosporium",0.558853880401032
"Tilletiaria",0.442082959798092
"Tremella",0.380464178346245
"Scheffersomyces",0.341848947449741
