"Taxa","varImp"
"Diutina",967.814486259534
"Penicillium",145.66274888753
"Trichosporon",130.25766727214
"Fusarium",82.862715342136
"Pneumocystis",76.0368437895968
"Agaricus",70.8494690459045
"Kazachstania",54.2121606474844
"Exophiala",49.1921368112004
"Cladophialophora",39.3931941385539
"Vanderwaltozyma",38.7934878734784
"Torulaspora",33.8969665200324
"Aspergillus",32.6929526053862
"Cryptococcus",31.1697233504282
"Sclerotinia",29.0905910249502
"Sordaria",25.9034213132003
"Schizophyllum",22.3766926862622
"Alternaria",20.0905745077323
"Arthrobotrys",17.6148743657945
"Trichoderma",16.2208839648431
"Cordyceps",15.3720715144268
"Rhizophagus",14.0434440535117
"Lodderomyces",13.5974862540124
"Histoplasma",10.5594098742251
"Trichophyton",10.0956069666676
"Malassezia",10.067496365042
"Eremomyces",9.59924804572847
"Cyberlindnera",9.47196581230488
"Coccidioides",9.30293013886393
"Leptosphaeria",8.47473147833819
"Tetrapisispora",8.21388347762156
"Meyerozyma",7.54522050568916
"Saitoella",7.4704120832839
"Ascoidea",7.43315698582221
"Puccinia",7.38159129000488
"Botrytis",7.28101106591907
"Purpureocillium",6.21759298445001
"Ramularia",5.5718814633979
"Fonsecaea",5.38860439704461
"Stereum",4.94896520237774
"Paracoccidioides",4.35141642866229
"Sphaerulina",4.09566378863357
"Pestalotiopsis",4.06803040477028
"Candida",3.83292578281007
"Baudoinia",3.66604162264518
"Scheffersomyces",2.99302394359289
"Tremella",2.68182054118933
"Metschnikowia",2.55322995782929
"Sporothrix",2.49445158747102
"Punctularia",2.39791770295828
"Lachancea",2.38235169736656
"Thermothelomyces",2.27535628958283
"Blastomyces",2.24721790080639
"Phaeoacremonium",2.00543444105549
"Byssochlamys",1.96580046305896
"Kockovaella",1.91277080426346
"Spathaspora",1.71594587903457
"Talaromyces",1.5329402815362
"Yamadazyma",1.50394893393123
"Coniophora",1.37255617070705
"Aureobasidium",1.22175999981073
"Bonordeniella",1.03188051741078
"Pyrenophora",1.02376077700294
"Naumovozyma",0.834445799675217
"Phycomyces",0.757045566775291
"Neurospora",0.625217756143935
"Tilletiopsis",0.603812775735132
"Saccharomyces",0.53543490559626
"Pseudozyma",0.502016382120058
"Pyricularia",0.46057688932372
