"Taxa","varImp"
"Malassezia",158.798630570557
"Neurospora",119.118270589101
"Histoplasma",69.4324964091902
"Candida",57.3359884189215
"Blastomyces",57.2558547373246
"Diutina",45.5646645979862
"Pyricularia",44.290895830098
"Rhizophagus",44.2524480363109
"Trichophyton",36.6911999560613
"Trichoderma",32.3409324801297
"Aspergillus",27.7847778637907
"Metarhizium",24.1304825076241
"Clavispora",23.023720354632
"Penicillium",21.6418259419919
"Coccidioides",18.8378921989353
"Byssochlamys",18.2720071776191
"Schizosaccharomyces",15.1043184362353
"Chaetomium",14.9540318589493
"Scedosporium",13.1025258086873
"Fusarium",12.8120328478236
"Puccinia",12.0447414559782
"Yarrowia",11.5592713626655
"Verruconis",11.41943024646
"Thermothelomyces",11.3518547349081
"Ramularia",10.6980804441099
"Hyphopichia",10.1561170926462
"Paracoccidioides",9.83153983487336
"Nakaseomyces",9.64469813188147
"Pichia",8.01586924699499
"Podospora",6.48513088876895
"Moesziomyces",5.76898872667641
"Kwoniella",5.40168259426285
"Exophiala",4.26949853546845
"Verticillium",4.22993890440652
"Bipolaris",3.77231712554906
"Talaromyces",3.63739859565702
"Colletotrichum",3.45145965265834
"Xylona",3.3882300345928
"Fonsecaea",3.25812607355816
"Tilletiopsis",3.23794872972537
"Leptosphaeria",3.08409239341993
"Aureobasidium",2.81038400034883
"Cyberlindnera",2.62162419057982
"Kluyveromyces",2.53861308627628
"Coniophora",2.33753456672809
"Ascoidea",2.31065063262144
"Botrytis",2.1215148261781
"Saitoella",1.57781641949153
"Heterobasidion",1.37182790991872
"Schizophyllum",1.26927811500814
"Purpureocillium",1.16792232045244
"Rhizopus",1.15145927135842
"Rhodotorula",0.954395435690631
"Rasamsonia",0.887232693219338
"Sphaerulina",0.709784474161338
