"Taxa","varImp"
"Pseudomicrostroma",693.99098173402
"Fusarium",296.261228711144
"Agaricus",163.352518972356
"Candida",107.688695642204
"Torulaspora",68.1481988352338
"Cutaneotrichosporon",63.2994881038384
"Moesziomyces",53.8898226183006
"Saccharomyces",50.406143580094
"Cryptococcus",45.4246864782295
"Sugiyamaella",39.5462305209988
"Sporisorium",38.8952867024403
"Talaromyces",37.2622139896789
"Kluyveromyces",36.8989298092927
"Debaryomyces",32.9844488294465
"Aspergillus",20.3955982744353
"Fonsecaea",20.1663905159848
"Parastagonospora",18.3591496220855
"Histoplasma",16.3699700040381
"Spathaspora",16.2226951230291
"Neurospora",13.9117596016586
"Cladophialophora",11.5564112123601
"Metschnikowia",11.2792408006887
"Paracoccidioides",11.1171574664841
"Trichosporon",11.017826274838
"Tetrapisispora",10.4995166790142
"Ramularia",9.67105672647042
"Exophiala",9.49715004952306
"Byssochlamys",9.33651509557311
"Alternaria",9.09041619615513
"Aureobasidium",8.9413529728197
"Ustilago",7.91171258054334
"Thermothelomyces",7.65196802656013
"Coccidioides",6.96204952067986
"Phialocephala",6.73945478486969
"Purpureocillium",6.50527799670154
"Colletotrichum",6.46435841499235
"Penicillium",6.3264698789733
"Saitoella",6.14146295046684
"Wickerhamomyces",5.72134535193203
"Chaetomium",5.43312213428837
"Leptosphaeria",5.42059989756992
"Kazachstania",5.38859807526496
"Kalmanozyma",5.32214454374114
"Macroventuria",4.87768679480581
"Bipolaris",4.63361842194986
"Pyricularia",4.49113196862908
"Tilletiopsis",4.4424911108941
"Anthracocystis",3.83195885369938
"Bonordeniella",3.81935049342691
"Uncinocarpus",3.76181622683001
"Sphaerulina",3.65266756400895
"Rhinocladiella",3.60794156549928
"Blastomyces",3.60774787791151
"Vanderwaltozyma",3.29349642592102
"Botrytis",3.18618618482328
"Rhizophagus",3.13614500919054
"Tilletiaria",2.9108979988259
"Sordaria",2.85860120727257
"Ascoidea",2.78202436739162
"Scedosporium",2.77597937799909
"Kockovaella",2.160259207016
"Yarrowia",2.14033461130648
"Cyberlindnera",2.13062582465083
"Puccinia",1.94697198915516
"Rhizopus",1.86934488815141
"Trichoderma",1.84062187521655
"Gloeophyllum",1.83885534611976
"Naumovozyma",1.79871039613865
"Clavispora",1.59258661042389
"Verticillium",1.55371748418475
"Wallemia",1.55292230626277
"Sclerotinia",1.21043943434052
"Baudoinia",1.13705775395935
"Pneumocystis",1.11748885645467
"Phaeoacremonium",1.09917909626863
"Rasamsonia",1.08023697130775
"Podospora",1.05355303498931
"Ogataea",0.976599841740649
"Diutina",0.961604664379284
"Eremomyces",0.89151760655995
"Xylona",0.879175298995655
"Pseudozyma",0.746136616953347
"Hyphopichia",0.678858470053806
"Trichophyton",0.552062066188474
"Rhodotorula",0.518518715056619
"Sporothrix",0.50134086995291
"Stereum",0.422763857599024
