"Taxa","varImp"
"Cordyceps",664.77845701843
"Diutina",618.469992155213
"Stereum",466.367076192035
"Punctularia",420.494166173271
"Kluyveromyces",384.989364332134
"Agaricus",345.083213317845
"Fusarium",298.012322805259
"Trametes",277.500548628079
"Torulaspora",263.180166496643
"Malassezia",254.926419607325
"Purpureocillium",241.090478350669
"Pyricularia",153.027514304366
"Pestalotiopsis",130.712764178406
"Moesziomyces",120.743015258695
"Trichoderma",118.937960585739
"Saccharomyces",117.120262414158
"Ascoidea",116.189510884565
"Phialocephala",115.672308721903
"Capronia",109.325192597729
"Neurospora",108.06673761093
"Histoplasma",84.9890387362555
"Blastomyces",83.1482958195051
"Aspergillus",75.3307674831748
"Leptosphaeria",71.2414421637909
"Clavispora",69.9877031630947
"Cryptococcus",69.9046377717042
"Ramularia",68.9821847228132
"Metarhizium",63.4239240094393
"Coccidioides",51.940404459181
"Penicillium",50.9970221040105
"Rhizopus",49.8226700544274
"Scedosporium",49.6318088003841
"Hyphopichia",49.4378590706344
"Metschnikowia",45.1441884361448
"Arthrobotrys",43.1291289904812
"Suhomyces",41.2904491850199
"Candida",39.8334875584588
"Thermothelomyces",39.3627298901089
"Podospora",37.7194914977673
"Trichophyton",37.5540886582737
"Kazachstania",36.399586607258
"Trichosporon",36.0378146030946
"Phaeoacremonium",34.8008028345613
"Tremella",34.4488616517115
"Pseudomicrostroma",33.6243128854994
"Talaromyces",31.2988595816172
"Cutaneotrichosporon",24.5145092901671
"Wickerhamomyces",23.816165988861
"Xylona",23.2937285675329
"Pichia",18.8799848255749
"Rhizophagus",17.7759984256569
"Exophiala",17.2674352054117
"Botrytis",16.757955078112
"Paracoccidioides",16.222896925524
"Nakaseomyces",15.3251194648318
"Rhinocladiella",14.6355707696443
"Macroventuria",12.9280615335041
"Uncinocarpus",10.872062139539
"Wallemia",10.0540187205047
"Verruconis",9.96321160479159
"Microsporum",8.05402038605647
"Puccinia",7.93450473172812
"Sordaria",7.77335604454762
"Byssochlamys",7.53479543137857
"Heterobasidion",7.22161977872377
"Cyberlindnera",7.0634879746605
"Rhodotorula",6.55318911893219
"Naumovozyma",5.97279646941723
"Chaetomium",4.512607618657
"Aureobasidium",4.36149790153021
"Schizosaccharomyces",4.10634214566524
"Tilletiopsis",3.8524366349752
"Fonsecaea",3.79878802883735
"Alternaria",3.73805567737559
"Cyphellophora",3.72332553941099
