"Taxa","varImp"
"Malassezia",58.1104580578009
"Ramularia",24.0868744335695
"Penicillium",16.7391748576308
"Thermothelomyces",11.0802154393232
"Leptosphaeria",9.7098015858165
"Yarrowia",9.45513137364915
"Rhizophagus",8.79840609957992
"Blastomyces",8.5088512724454
"Talaromyces",8.01798807315497
"Hyphopichia",7.47250115214027
"Paracoccidioides",7.39099202022759
"Metarhizium",7.07648234956259
"Diutina",6.49189836222282
"Histoplasma",6.06582015268828
"Verruconis",5.98668932706442
"Puccinia",5.13937171782532
"Byssochlamys",4.82017171996563
"Podospora",4.48071896958215
"Neurospora",4.36555991948563
"Trichophyton",3.75977875778181
"Clavispora",3.38678394690025
"Pichia",2.43727876096635
"Coccidioides",2.25020082329084
"Pseudozyma",1.33531578681142
"Botrytis",1.3267643340523
"Baudoinia",1.16019919348469
"Pyricularia",1.07471081203282
"Fusarium",1.00754521245666
"Sporisorium",0.897692034316656
"Aureobasidium",0.869506113379723
"Candida",0.859270744870951
"Ustilago",0.847681535751504
"Cladophialophora",0.699675430717824
"Sclerotinia",0.659611055492487
"Trichoderma",0.434483696090211
"Scedosporium",0.405165362283002
"Chaetomium",0.279743020097715
"Eremomyces",0.207088413891066
"Kluyveromyces",0.13013446960985
"Nakaseomyces",0.0641311064831824
