"Taxa","varImp"
"Malassezia",79.480027771457
"Byssochlamys",34.4451576218237
"Hyphopichia",32.2010403118183
"Clavispora",30.7768908626568
"Penicillium",30.3467017733157
"Histoplasma",26.9597673851373
"Trichoderma",23.5008668665773
"Neurospora",21.0655834708648
"Paracoccidioides",20.9772642604049
"Candida",18.7209682435525
"Pyricularia",18.2777079535791
"Rhizophagus",15.4505769971457
"Blastomyces",14.4541600948247
"Diutina",14.4386522766238
"Trichophyton",12.7425491672287
"Cyberlindnera",12.4418767533141
"Chaetomium",11.3082284462315
"Thermothelomyces",8.09021188593082
"Puccinia",7.44227343030129
"Leptosphaeria",7.06887137353804
"Kluyveromyces",6.50402556422339
"Eremomyces",6.01445810278276
"Schizosaccharomyces",5.52749396773643
"Metarhizium",4.84344984458282
"Fusarium",3.84548308697106
"Verruconis",3.53382651611779
"Sphaerulina",2.9911363538659
"Rhizopus",2.71482009392231
"Aureobasidium",2.52767593002801
"Talaromyces",2.48207863341249
"Bipolaris",2.16507908862238
"Pestalotiopsis",2.16370629971646
"Sordaria",2.1355729866809
"Scedosporium",1.89210074973779
"Ramularia",1.69770502696097
"Coccidioides",1.66406787017915
"Aspergillus",1.34629350431175
"Arthrobotrys",1.15310798283047
"Babjeviella",0.984924253884719
"Phycomyces",0.924001838707148
"Alternaria",0.437050524199594
"Saccharomyces",0.428948114823981
"Sclerotinia",0.311847541318001
"Yarrowia",0.263273501862872
"Lodderomyces",0.184372251553025
