"Taxa","varImp"
"Kazachstania",1101.50450406136
"Wallemia",752.798583148294
"Aspergillus",279.739984797777
"Rhizophagus",278.864317536849
"Pyricularia",194.552601658327
"Fusarium",167.500529674034
"Ogataea",154.989789076238
"Malassezia",131.364956707398
"Phialocephala",115.537720903365
"Agaricus",114.076342303555
"Kluyveromyces",110.267853447511
"Clavispora",107.580650038473
"Ramularia",101.599808438203
"Bipolaris",98.9845449136358
"Paracoccidioides",92.5524603924579
"Metschnikowia",88.6951408739535
"Parastagonospora",81.3140447070437
"Trichophyton",76.3042649413779
"Podospora",74.2730167069049
"Histoplasma",70.1292178717926
"Thermothelomyces",69.5214171270178
"Cryptococcus",65.7483795018666
"Tilletiopsis",64.0186930112554
"Diutina",58.0891041859448
"Uncinocarpus",56.940247463477
"Sordaria",55.4978385322721
"Exophiala",54.8090996769441
"Puccinia",53.8481427131311
"Trichoderma",50.8084858929213
"Cutaneotrichosporon",50.3512657031497
"Byssochlamys",50.0856422705138
"Blastomyces",45.7056720074138
"Neurospora",45.0301882453795
"Trichosporon",44.7003562741028
"Hyphopichia",44.1383932714202
"Candida",43.9806103036036
"Metarhizium",43.9322709428916
"Xylona",43.3061163835624
"Wickerhamomyces",38.2852913889793
"Coccidioides",35.9509823165541
"Gloeophyllum",35.4776046464422
"Sclerotinia",29.4578760603094
"Chaetomium",27.2863522461038
"Leptosphaeria",22.6158098159336
"Penicillium",19.4044171870129
"Stereum",15.492504633895
"Phaeoacremonium",14.578104083552
"Scedosporium",12.9956138308217
"Aureobasidium",11.5981887436031
"Phycomyces",11.2809115040438
"Pichia",10.9558418205255
"Talaromyces",10.1441316925493
"Verruconis",9.29819294952512
"Lachancea",9.28063475182563
"Tilletiaria",8.36150474993298
"Pyrenophora",8.16772566947667
"Tremella",7.83997101104178
"Cladophialophora",7.20949607169621
"Lodderomyces",6.69965362299415
"Schizosaccharomyces",5.32057661209983
"Rhizopus",4.49786261421914
"Debaryomyces",4.13948240027921
"Verticillium",3.79422372576672
"Botrytis",3.36917936810723
"Spathaspora",2.98263380714881
