"Taxa","varImp"
"Malassezia",169.237214799624
"Rhizophagus",58.7375960536781
"Byssochlamys",41.8754630186943
"Pyricularia",39.3751581777843
"Histoplasma",37.6339604928829
"Candida",36.2467864426338
"Blastomyces",33.7315993119923
"Phycomyces",29.775733815143
"Hyphopichia",28.9727602491937
"Penicillium",28.0487745186463
"Yarrowia",27.6948795832682
"Xylona",25.2597886316052
"Neurospora",23.1094526535626
"Trichophyton",20.4928495061749
"Clavispora",19.690364860655
"Metarhizium",19.6155029177096
"Talaromyces",17.4706815492921
"Diutina",17.2067853679743
"Thermothelomyces",14.3906010024646
"Kluyveromyces",11.4165426077495
"Pestalotiopsis",10.4268426451035
"Metschnikowia",10.3637295707485
"Trichoderma",10.1686576004016
"Rhizopus",9.35027675615062
"Trichosporon",8.41236109137892
"Coccidioides",8.10809182623322
"Verruconis",7.96986121412848
"Paracoccidioides",6.91117196641808
"Aspergillus",6.69749596227508
"Macroventuria",5.39520672326978
"Parastagonospora",5.30070343550753
"Puccinia",5.06026323229776
"Capronia",5.02914054165504
"Leptosphaeria",4.71972139636919
"Moesziomyces",4.56902442555871
"Fonsecaea",3.95667270957957
"Trametes",3.39486918026021
"Sphaerulina",3.36069160314363
"Chaetomium",3.1241392032694
"Fusarium",2.70290281194146
"Baudoinia",2.38834216236383
"Podospora",2.33384449530316
"Schizosaccharomyces",2.32447014081149
"Rhinocladiella",2.14427659442396
"Scedosporium",1.58334502546132
"Aureobasidium",1.10608335637113
"Suhomyces",1.04201693906821
"Anthracocystis",0.639443608502985
"Agaricus",0.545796504871701
"Pneumocystis",0.509354118841948
