"Taxa","varImp"
"Talaromyces",1749.84691701591
"Cyberlindnera",294.69727069385
"Parastagonospora",45.3206211640645
"Lodderomyces",44.5077002472231
"Rasamsonia",36.862116773097
"Candida",33.0263280737617
"Arthrobotrys",21.7616148027806
"Agaricus",18.9864029515304
"Lachancea",17.6726379977134
"Puccinia",17.5962365752247
"Sclerotinia",8.92599723325431
"Alternaria",8.12594596409539
"Yarrowia",8.12480577835783
"Schizophyllum",7.50893028242653
"Fusarium",6.08821539490752
"Meyerozyma",5.21228891353072
"Saccharomyces",4.50132782470704
"Baudoinia",4.38339211196678
"Pestalotiopsis",3.53364059357062
"Trichophyton",3.40604867834888
"Aureobasidium",2.80717356305504
"Diutina",2.5215212919872
"Cladophialophora",2.49245793315703
"Histoplasma",2.47038454454066
"Rhodotorula",2.43987869940827
"Sporisorium",2.0154589081951
"Kluyveromyces",1.99861123598907
"Debaryomyces",1.99333358175006
"Stereum",1.67733007048903
"Metarhizium",1.6159989160233
"Macroventuria",1.35488225798154
"Cryptococcus",1.12198969661459
"Sordaria",1.06160351170543
"Tremella",0.991730287131341
"Eremomyces",0.827338377101301
"Verruconis",0.751163637251817
"Phycomyces",0.691472655937902
"Pichia",0.670298678088141
"Sphaerulina",0.633714355326848
"Xylona",0.481934364592623
"Exophiala",0.431076171229843
"Metschnikowia",0.308822314102763
"Eremothecium",0.26130324340752
"Byssochlamys",0.255251494816364
"Moesziomyces",0.250987558258011
"Colletotrichum",0.208042235459573
"Ramularia",0.18274948775737
"Wickerhamomyces",0.154128379115312
"Fonsecaea",0.131285365068237
"Leptosphaeria",0.130262586605123
"Pseudomicrostroma",0.0979475882726046
"Aspergillus",0.0431150580268855
"Hyphopichia",0.0375076152825863
