"Taxa","varImp"
"Agaricus",489.390137449627
"Malassezia",205.858641618574
"Parastagonospora",111.641817259698
"Tilletiaria",99.9703825428414
"Cyberlindnera",97.8940044101991
"Fusarium",96.8382143886381
"Aspergillus",64.2988636171192
"Ascoidea",46.0257805243462
"Pyricularia",29.9489073540158
"Spathaspora",29.8923007333078
"Phialocephala",27.1398031873552
"Cutaneotrichosporon",26.3550969059663
"Cladophialophora",25.9738480089011
"Clavispora",25.7044228280281
"Pseudomicrostroma",24.5453614904239
"Coccidioides",20.4156951434559
"Neurospora",20.0153194628925
"Exophiala",18.3932562271348
"Candida",18.2941106682681
"Sclerotinia",17.9349365664377
"Cryptococcus",17.3150433449037
"Aureobasidium",16.3117114695264
"Thermothelomyces",15.1686649467618
"Verticillium",15.0700756551702
"Rhinocladiella",14.8976377894202
"Pestalotiopsis",14.4963747884867
"Verruconis",13.8671450433496
"Trichoderma",13.8417187602265
"Debaryomyces",13.4962425823545
"Sordaria",13.1433463777683
"Rhizophagus",12.9903705681177
"Metarhizium",11.7727789600157
"Talaromyces",11.1193716581619
"Penicillium",10.1274746789774
"Cordyceps",10.0579825946373
"Lodderomyces",9.53384522276431
"Scedosporium",9.12722670777888
"Purpureocillium",8.7591211880826
"Wickerhamomyces",8.3593103346802
"Botrytis",8.15793474495288
"Trichophyton",8.01248260436219
"Puccinia",7.35552940271217
"Kockovaella",7.19049068220879
"Komagataella",6.81664597937274
"Paracoccidioides",6.70606529208957
"Colletotrichum",6.30407483797162
"Pichia",6.24252447216459
"Stereum",5.6839942880109
"Microsporum",4.86761658708843
"Yarrowia",4.36210426614843
"Saccharomyces",4.2058055666265
"Fonsecaea",4.15887692322379
"Glarea",4.11130922249541
"Sporisorium",3.75438575564265
"Tilletiopsis",3.74170388355011
"Diutina",3.68918795786286
"Pneumocystis",3.64624462546542
"Arthrobotrys",3.3531698426197
"Anthracocystis",3.27983027280214
"Ustilago",3.27910643079319
"Blastomyces",3.2079994984081
"Bonordeniella",3.19251311452308
"Chaetomium",3.19086775262905
"Trametes",3.05453979335516
"Hyphopichia",2.77642542919161
"Pyrenophora",2.61010710464251
"Rhizopus",2.39878008630267
"Kazachstania",2.25481708235897
"Leptosphaeria",2.16421789032159
"Nannizzia",2.05990564719301
"Eremothecium",2.04879093696327
"Eremomyces",1.73518885900607
"Saitoella",1.59755039894744
"Meyerozyma",1.58285061335921
"Schizosaccharomyces",1.34841518749114
"Kalmanozyma",1.32071337407448
"Serpula",1.27761840779307
"Heterobasidion",1.27507436698608
"Byssochlamys",1.24588875267531
"Coprinopsis",1.14515551473725
"Vanderwaltozyma",1.09681664636764
"Tremella",1.04962428385926
"Alternaria",1.03574839953419
"Gloeophyllum",0.94562346938416
"Histoplasma",0.915309944643656
"Podospora",0.746098340824697
