"Taxa","varImp"
"Nakaseomyces",3413.93160411735
"Bonordeniella",1657.62607296837
"Metarhizium",737.276107956243
"Pyricularia",671.59241699025
"Clavispora",545.080864696951
"Aspergillus",533.143963142549
"Coccidioides",357.47250774156
"Malassezia",251.286162018079
"Pichia",250.702257523061
"Histoplasma",206.040645626143
"Rhinocladiella",186.760266772491
"Kluyveromyces",156.443022610128
"Diutina",142.128442501157
"Yarrowia",135.430956499592
"Byssochlamys",122.90283114408
"Blastomyces",121.920283838432
"Trichoderma",111.774045190272
"Fonsecaea",111.457247842112
"Neurospora",110.497426142805
"Candida",80.1049735580192
"Paracoccidioides",70.5566410742375
"Hyphopichia",69.4703682124037
"Trichophyton",58.1371966548628
"Rhizophagus",52.2689752488609
"Talaromyces",51.6773249686481
"Capronia",45.1101866261455
"Penicillium",35.361478483777
"Puccinia",25.6931608217636
"Thermothelomyces",22.9979298377949
"Scedosporium",11.9193967249031
"Verruconis",11.3612310944339
"Phycomyces",9.37761965890022
"Cyberlindnera",8.83488501105257
"Botrytis",7.48438762371784
"Leptosphaeria",7.45379955666735
"Chaetomium",6.22414859364209
"Stereum",5.43338797702287
"Bipolaris",4.73063653103764
"Cladophialophora",4.54994008386763
"Colletotrichum",4.1744844486919
"Phaeoacremonium",4.03782938026658
"Schizosaccharomyces",2.1744501156071
"Saccharomyces",1.77615218676984
"Podospora",1.65814010521882
"Verticillium",1.62559542473992
