"Taxa","varImp"
"Kockovaella",285.619039812387
"Macroventuria",198.089164262335
"Wickerhamomyces",172.740480542546
"Trichosporon",91.6632876858794
"Histoplasma",86.5165140411142
"Byssochlamys",71.1944166592217
"Agaricus",65.3685637749423
"Moesziomyces",65.3275109494224
"Fusarium",59.1060454492844
"Parastagonospora",55.1194521286029
"Scedosporium",42.8209271283004
"Punctularia",41.8098091005469
"Yarrowia",34.7878453002886
"Leptosphaeria",33.1319663893797
"Colletotrichum",30.9246318703132
"Talaromyces",30.2002496257068
"Ramularia",28.2985362842725
"Babjeviella",28.1143672004173
"Penicillium",26.4741568830932
"Pichia",26.2428283307718
"Chaetomium",24.4077184832365
"Cutaneotrichosporon",24.12665131827
"Paracoccidioides",24.1221056432445
"Aureobasidium",22.2550826504564
"Coccidioides",21.8189894711193
"Neurospora",20.8699503134887
"Verruconis",19.9571215736958
"Pestalotiopsis",19.4183630383416
"Bipolaris",18.3137767013055
"Pyricularia",16.748848490212
"Sphaerulina",16.4704521252376
"Phialocephala",16.1478150420256
"Malassezia",15.6667548090905
"Blastomyces",15.404638784591
"Schizophyllum",14.479947067557
"Cladophialophora",13.3640900374618
"Coprinopsis",12.6590198006495
"Saccharomyces",11.8719481293456
"Spathaspora",10.6758678605597
"Thermothelomyces",10.5071521518485
"Purpureocillium",10.3248770636505
"Clavispora",10.1685762244695
"Tremella",9.29478678980702
"Exophiala",8.99265669268885
"Alternaria",8.58025588081336
"Hyphopichia",7.84136233404135
"Pseudomicrostroma",7.62323088370741
"Xylona",7.18740957342901
"Uncinocarpus",7.12738630476112
"Puccinia",7.03999006202038
"Rhizophagus",6.8656268754466
"Sporisorium",6.73336396798427
"Verticillium",6.46383950388239
"Cryptococcus",6.16985128944903
"Trichophyton",6.08435932437741
"Baudoinia",5.98862260498987
"Glarea",5.23072824756193
"Sordaria",5.12923268920598
"Cyberlindnera",4.66250403468727
"Phycomyces",4.50508358225179
"Sclerotinia",4.3138759617669
"Debaryomyces",3.78283787069901
"Rhodotorula",3.69358973073589
"Lachancea",3.67131111513447
"Saitoella",3.35648395148625
"Trametes",3.28398420020626
"Nakaseomyces",3.21311714392822
"Stereum",2.95348337841341
"Bonordeniella",2.89270047060111
"Meyerozyma",2.78464575885041
"Cordyceps",2.62832442970207
"Trichoderma",2.45959727738687
"Eremomyces",2.23209277837184
"Aspergillus",2.00801124576116
"Cyphellophora",1.72061711510785
"Rasamsonia",1.70086101601048
"Pseudozyma",1.62881403493731
"Metschnikowia",1.43260542920662
"Coniophora",1.39072443019452
"Tilletiopsis",1.28990732149556
"Rhizopus",1.24952403543093
"Arthrobotrys",1.02558799431773
"Arthroderma",0.974668699769797
"Lodderomyces",0.934578815042993
"Candida",0.785902006248086
"Botrytis",0.736602748914855
