"Taxa","varImp"
"Neurospora",43.4528129008959
"Malassezia",39.3613172262938
"Chaetomium",39.1329651358075
"Cutaneotrichosporon",33.9772735388951
"Histoplasma",31.1840485483743
"Fusarium",29.6285565228569
"Blastomyces",26.8417696113858
"Metarhizium",20.2912899253227
"Talaromyces",19.8393866085581
"Coccidioides",19.352267495338
"Rhizophagus",14.7049621097727
"Pyricularia",14.1564704633909
"Saccharomyces",13.544873093663
"Penicillium",13.3399600146927
"Leptosphaeria",13.3146609628472
"Trichophyton",12.7248113124624
"Aureobasidium",10.9085326729171
"Thermothelomyces",10.873021042403
"Diutina",10.8178755007311
"Aspergillus",10.7999623853444
"Clavispora",8.76106102584221
"Cyberlindnera",8.22552217604484
"Hyphopichia",7.88681303308213
"Trichoderma",7.76365866556205
"Paracoccidioides",7.69352376940697
"Candida",7.5761679428697
"Puccinia",4.86981503899237
"Anthracocystis",4.86797425451255
"Verruconis",3.21269412282991
"Exophiala",3.1817161152123
"Phycomyces",2.90695961216996
"Eremomyces",2.70657593446579
"Colletotrichum",2.56587785004934
"Punctularia",2.12649580914303
"Byssochlamys",2.02908026025332
"Nakaseomyces",1.93604938828774
"Coprinopsis",1.89760067611949
"Agaricus",1.67207526536136
"Schizosaccharomyces",1.30761416718595
"Baudoinia",1.1589206130156
"Parastagonospora",1.05250565509286
"Pneumocystis",0.873194432234369
"Ascoidea",0.843084315352142
"Babjeviella",0.572334270391099
"Sclerotinia",0.457276270774104
"Tilletiopsis",0.450882055990796
"Xylona",0.319774195315911
"Scedosporium",0.303135717432765
"Suhomyces",0.262913503068821
"Scheffersomyces",0.257982606068575
"Meyerozyma",0.252194885876878
"Cyphellophora",0.245023072024303
"Metschnikowia",0.23728660509914
"Tetrapisispora",0.232436752926657
"Yarrowia",0.134814907193612
