"Taxa","varImp"
"k__Viruses.o__Caudovirales.f__Myoviridae.g__T4likevirus",2383.00068712725
"k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Lymphocryptovirus",1679.92977471643
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Candidatus_Ishikawaella",662.950329974812
"k__Viruses.f__Poxviridae.g__Avipoxvirus",499.850072780783
"k__Viruses.f__Poxviridae.g__Betaentomopoxvirus",492.22241308472
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Sinorhizobium",266.459895049734
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales.f__Polyangiaceae.g__Sorangium",256.996955107588
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Robiginitomaculum",238.465604808926
"k__Viruses.f__Closteroviridae.g__Closterovirus",213.915090797001
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinotignum",194.5785092824
"k__Viruses.o__Caudovirales.f__Siphoviridae.g__L5likevirus",190.181053439008
"k__Bacteria.p__Nitrospirae.c__Nitrospira.o__Nitrospirales.f__Nitrospiraceae.g__Nitrospira",188.760062348114
"k__Viruses.f__Poxviridae.g__Cervidpoxvirus",177.303145312955
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Solobacterium",166.886073811389
"k__Viruses.f__Baculoviridae.g__Deltabaculovirus",159.95577030992
"k__Viruses.f__Poxviridae.g__Yatapoxvirus",136.110898610672
"k__Viruses.f__Circoviridae.g__Circovirus",133.732507799924
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria",133.682786826796
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Leuconostoc",119.834980579496
"k__Viruses.f__Polydnaviridae.g__Bracovirus",106.239166561486
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylocystaceae.g__Methylosinus",97.3227562578554
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfarculales.f__Desulfarculaceae.g__Desulfocarbo",96.7716434615252
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Aquimarina",89.7399024405813
"k__Viruses.f__Closteroviridae.g__Crinivirus",85.497353610408
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella",80.8151645500704
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Natrialbales.f__Natrialbaceae.g__Natronolimnobius",77.7501181940956
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Selenomonadaceae.g__Centipeda",76.9830219884474
"k__Viruses.f__Phycodnaviridae.g__Coccolithovirus",73.1924176544227
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Veillonella",73.0160066569181
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Syntrophomonadaceae.g__Syntrophomonas",71.5400123604924
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.f__Competibacteraceae.g__Candidatus_Competibacter",66.9136331326174
