"Taxa","varImp"
"k__Viruses.f__Papillomaviridae.g__Taupapillomavirus",1597.25163055369
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micromonosporales.f__Micromonosporaceae.g__Micromonospora",1308.17058732109
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Gallibacterium",660.350768083768
"k__Viruses.o__Caudovirales.f__Myoviridae.g__T4likevirus",642.307305319726
"k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Desulfurococcales.f__Desulfurococcaceae.g__Ignicoccus",558.022483605335
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Shewanellaceae.g__Shewanella",484.729809028687
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Natrialbales.f__Natrialbaceae.g__Natronolimnobius",477.569578514084
"k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Rhadinovirus",465.510779113933
"k__Bacteria.p__Cyanobacteria.o__Oscillatoriales.g__Trichodesmium",348.071778379991
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Ensifer",340.169197851846
"k__Viruses.f__Phycodnaviridae.g__Phaeovirus",323.188055038595
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Jonesiaceae.g__Jonesia",267.609962398054
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Pseudonocardiales.f__Pseudonocardiaceae.g__Actinomycetospora",254.211210740691
"k__Bacteria.p__Cyanobacteria.o__Pleurocapsales.g__Aliterella",204.98814011039
"k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus",185.67887469286
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia",182.719731200245
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Hydrogenophilales.f__Hydrogenophilaceae.g__Tepidiphilus",145.502903627042
"k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Roseolovirus",143.201274531731
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.g__Exiguobacterium",142.324332310321
"k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus",135.543366087889
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales.f__Vulgatibacteraceae.g__Vulgatibacter",133.033608733986
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Humibacter",122.608308458018
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoanaerobaculum",116.913606189645
"k__Viruses.o__Picornavirales.f__Picornaviridae.g__Senecavirus",115.22187129592
"k__Viruses.f__Microviridae.g__Microvirus",114.795409741808
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Succinivibrionaceae.g__Succinimonas",114.412042218323
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Shigella",114.020245900784
"k__Viruses.f__Circoviridae.g__Circovirus",95.9991678770581
"k__Viruses.o__Caudovirales.f__Siphoviridae.g__Tunalikevirus",87.941977952029
"k__Bacteria.p__Gemmatimonadetes.c__Gemmatimonadetes.o__Gemmatimonadales.f__Gemmatimonadaceae.g__Gemmatirosa",85.0584478522697
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcus",74.241557168446
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Pseudacidovorax",72.4125687353107
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Labrenzia",66.3131707702503
"k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Finegoldia",64.7356743625094
"k__Viruses.f__Retroviridae.g__Gammaretrovirus",62.9175146375054
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Halococcus",58.0588283889895
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella",56.2017875122124
