"Taxa","varImp"
"G900074925",169.231456330587
"G000181695",119.350016496661
"G004154835",59.1678976559693
"G003025115",54.344705744212
"G000230375",51.2876544019695
"G003184785",50.9995692773442
"G000303195",49.4071191450789
"G000182965",40.1822514907436
"G000711695",40.0224576864614
"G000835515",33.0504750841153
"G000293215",29.8628136911698
"G000439145",28.7349063140335
"G003184745",25.10402269651
"G002237265",24.133407447939
"G000300575",22.6151594001685
"G000003855",22.4812177320535
"G001500285",20.6866932314433
"G001907595",18.1541814214856
"G009176365",16.9390553072427
"G000271645",16.391613608098
"G001720205",15.1293627609432
"G000006275",14.6959355955762
"G900067095",12.5113530100656
"G003426965",11.1164084717868
"G003290485",10.9080407815741
"G000151125",8.63094379307873
"G001720155",8.20400156738927
"G000213175",7.94770617573163
"G001651985",7.85169207974333
"G009193445",7.04876999097412
"G000732125",5.74482429688486
"G000151335",5.56407526552583
"G000417875",5.12168465910099
"G000167675",5.09126961424619
"G000769745",4.65617697586526
"G000223485",4.59219620009114
"G000149645",4.18628934338774
"G000585535",4.04409791442243
"G000226095",3.52773745014801
"G000149585",3.35199857613224
"G000264905",3.2619590569474
"G001661345",2.48620352276332
"G000149955",2.43241718832549
"G003054445",2.39535839519894
"G004337985",2.31130021255373
"G900007375",2.14347921089297
"G009193645",2.02694555374495
"G000835495",2.02669065205785
"G002775015",1.90830197855245
"G000320565",1.76015879043656
"G000150705",1.60571706623128
"G000185945",1.42405077763717
"G004022145",1.41689949956913
"G000149925",1.3996495745073
"G003344945",1.31255501126506
"G000149615",1.06874672996816
"G000002525",0.96447716641972
"G000151505",0.773580362975364
"G003184695",0.742862484708825
"G000747765",0.7082493158899
"G003369625",0.646309624650041
"G001890805",0.634995797993667
"G000835475",0.576405026891881
"G000184455",0.567301627039051
"G001672515",0.478854137841744
"G002926085",0.473411272821604
"G000150675",0.319345432683515
"G000225545",0.310817384031376
"G003025105",0.263796944805358
"G000836275",0.234571198482204
"G003184625",0.19760929070624
"G000349305",0.1808223409087
"G001664035",0.150839838718763
"G001642055",0.126395400132431
