"Taxa","varImp"
"G000181695",63.1109297504164
"G003290485",22.4678655495564
"G000182965",15.342907504256
"G900074925",14.8975703731616
"G003184695",13.9965365102193
"G000293215",12.4732083855582
"G000149585",10.1137153214633
"G003054445",8.44909938518922
"G003426965",7.21368283116601
"G000223485",6.39149949317212
"G000150735",6.09841054788096
"G001720205",4.84408130429367
"G000142805",4.20516960334275
"G000146045",3.73734413621399
"G000835495",3.70043450244194
"G001664035",3.54985352860372
"G000213175",2.81001399000182
"G000836295",2.78477194597507
"G000230375",2.75665623970689
"G000300575",2.41631408605023
"G000151335",2.38631962993994
"G009176365",2.25162536624777
"G000151505",1.94936832495731
"G009193645",1.62497644878621
"G000143365",1.61940728326547
"G000151425",1.60097340414815
"G003184625",1.5788623141721
"G000149685",1.53809138759417
"G000320585",1.48076112338986
"G001890805",1.46139905273351
"G000150705",1.44787986391112
"G009193445",1.40463426148106
"G003184755",1.22905854533852
"G000143535",1.17172607764121
"G000002545",1.04180542652953
"G000002855",1.03927437107703
"G001661345",0.961034439109185
"G000320565",0.907374966826498
"G000523455",0.880048019669648
"G000226095",0.87910502180567
"G000218685",0.845277297059593
"G004337985",0.832487043097168
"G003025115",0.501468597139052
"G001642055",0.435216814686164
"G000003855",0.429695502624897
"G000439145",0.38714316038159
"G000835515",0.3681503646533
"G000271645",0.354528064544255
"G000149925",0.348220790410882
"G001661395",0.328048042714385
"G000225545",0.316186240629481
"G000836115",0.305272465865437
"G000264905",0.251563206108708
"G900067095",0.247075679146676
"G000328475",0.236663271932687
"G000006275",0.190907595761014
"G000002715",0.153363468220546
"G003344945",0.145815204869493
"G000026945",0.139899433481333
"G002708625",0.0930921306041242
"G003184745",0.0776152346949946
