"Taxa","varImp"
"G900074925",128.02936282352
"G000181695",39.3415516879425
"G000300575",18.6940454648479
"G000221225",13.7193972969762
"G000149585",13.6284648680168
"G001638985",13.5517177905926
"G009193645",13.0090173115199
"G000293215",10.1290812650203
"G000143535",9.61636278014999
"G000182805",7.22326495615456
"G001720205",6.90332001860891
"G004337985",4.44502221555848
"G000320585",4.29947278615828
"G002847045",3.67894407042168
"G000271645",3.55597534962221
"G000149645",3.53073602787339
"G000002715",3.34855314666205
"G000230375",3.14615661314004
"G000151335",2.96892039258451
"G000182965",2.9210201497238
"G001661405",2.83264349548738
"G000365165",2.64399725616167
"G000835495",2.61253972777345
"G000146945",2.373106396374
"G001664035",2.07579487560796
"G003054445",2.02282952129742
"G003426965",1.69632689417803
"G003290485",1.56061248332872
"G000149925",1.54663999745124
"G003184745",1.47954880206603
"G000523455",1.3031458812807
"G001329695",1.23435039587006
"G000150705",1.0289531988872
"G000143365",1.01072202869994
"G000149555",0.951706650275146
"G000315645",0.818504778766563
"G000182925",0.724067931110373
"G001661345",0.674983950336635
"G000002655",0.669703783641172
"G000213175",0.512937861680954
"G003184625",0.42764233590769
"G000223485",0.322819448722161
"G000149685",0.280899860125788
"G000392275",0.271954261793871
"G000226095",0.207105530389975
"G003184695",0.19869629940668
"G000026945",0.12448009523105
"G000150735",0.0990640678225337
"G003025115",0.0899332880815634
"G000003855",0.0652413917788735
