"Taxa","varImp"
"k__Viruses.o__Caudovirales.f__Siphoviridae.g__D3likevirus",102.213375359026
"k__Viruses.g__Polemovirus",60.6712075469888
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Enterorhabdus",29.5781229731866
"k__Bacteria.p__Planctomycetes.c__Planctomycetia.o__Planctomycetales.f__Planctomycetaceae.g__Gemmata",22.1080398498481
"k__Viruses.f__Totiviridae.g__Leishmaniavirus",20.8298354222498
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Thermoanaerobacterales.f__Thermodesulfobiaceae.g__Thermodesulfobium",20.5937572167749
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Gynuella",16.8508216750601
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfohalobiaceae.g__Desulfonatronospira",15.7963305583618
"k__Viroids.f__Pospiviroidae.g__Cocadviroid",15.699390690678
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Eudoraea",14.9159236301897
"k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sakobuvirus",12.5531713315383
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Salmonella",10.9292676856606
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae.g__Rheinheimera",8.61040201610113
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides",7.76494005340812
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Balneatrix",6.58913776997975
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiotrichales.f__Thiotrichaceae.g__Leucothrix",6.06600412853801
"k__Viruses.o__Nidovirales.f__Arteriviridae.g__Arterivirus",5.8221515136754
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Thermoanaerobacterales.f__Thermoanaerobacteraceae.g__Caldanaerobacter",5.5129335033191
"k__Viruses.f__Bromoviridae.g__Ilarvirus",5.15685895207831
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Leeuwenhoekiella",4.71422759563602
"contaminant5RandomSpikes1000",4.56760450657346
"k__Viruses.o__Caudovirales.f__Podoviridae.g__Bppunalikevirus",3.26235085056289
"k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Desulfurococcales.f__Desulfurococcaceae.g__Ignicoccus",3.13788005766622
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Bibersteinia",2.89459764492997
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Brucellaceae.g__Brucella",2.88099987478881
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Thermoanaerobacterales.f__Thermoanaerobacteraceae.g__Thermacetogenium",2.74536305293847
"k__Viruses.o__Caudovirales.f__Podoviridae.g__N4likevirus",2.69218129107373
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Paeniclostridium",2.43779215429721
"k__Viruses.o__Caudovirales.f__Podoviridae.g__Phieco32likevirus",2.33798622772973
"k__Viruses.f__Caulimoviridae.g__Tungrovirus",2.01238172992911
