"Taxa","varImp"
"G000439145",300.01693378875
"G004337985",196.03387593915
"G000293215",153.359264641539
"G009193645",87.2801139506529
"G000226095",85.0781268819726
"G000002715",84.6486744785998
"G003184625",79.8509560074982
"G000181695",76.5249726388623
"G000149585",64.3611114659353
"G000150735",58.1786611550243
"G000151425",53.7784660319845
"G000143535",53.7100837575682
"G004022145",44.6763684139178
"G003426965",42.1400442109424
"G000149925",40.705508507303
"G002775015",39.98716493312
"G003290485",39.8740618910387
"G000226545",37.0425030817668
"G009193445",35.8572582303477
"G000003855",33.8226318206437
"G000150705",30.8638775825345
"G000184455",30.1147739459605
"G000213175",26.7792348708046
"G009176365",25.3432105732023
"G003184765",25.3196093275043
"G000230375",24.9091017171846
"G008704595",22.822697078233
"G001661395",22.7317185315963
"G001890805",22.1438323330316
"G001417885",22.0575735920267
"G000315875",20.8269407459301
"G000182925",19.648723520596
"G000143365",19.1939926197765
"G003344945",18.5331595178479
"G000151125",18.371783119184
"G001619985",18.3223454516973
"G002849105",16.7652655466972
"G000149555",14.5913630109794
"G003025105",13.8823542828089
"G003184785",13.2128490416683
"G000150675",11.6946467763949
"G003184925",11.3262989647233
"G000392275",11.2957711908408
"G003184755",10.7909488769654
"G000002855",10.5448070521529
"G000769745",10.1793186274718
"G000002525",9.24642241843267
"G000836295",9.18547196067609
"G001481775",8.59805577651824
"G002926085",8.50836671071407
"G000003125",8.00439007118492
"G000002655",7.92419295280137
"G000167675",7.71437526854463
"G000151335",6.98595333388625
"G000835475",6.30650256728239
"G001907595",5.90829726983193
"G002847485",5.42064850603099
"G000835555",5.00026306574199
"G000149205",4.73414215467845
"G002926055",4.58551090757465
"G003184865",4.08314988735158
"G000320565",3.14548026093908
"G002708625",3.08951898868018
"G000149955",2.96744434263202
"G003184845",2.90556954757904
"G000225545",2.82275182077897
"G001661335",2.25442557872943
"G000835505",2.22536500870985
"G003369625",2.15124624207357
"G000187425",1.96219849158918
"G000315645",1.92447217360004
"G000182965",1.85459562034625
"G002847045",1.47931869222483
"G002237265",1.1819178361271
"G009193585",1.02720326169182
