"Taxa","varImp"
"G004337985",42.0719022601807
"G000181695",38.7535239318562
"G000151425",32.9821786099325
"G003344945",29.474476023409
"G000003855",28.0211073191111
"G009193645",24.1068124886354
"G002849105",22.5024924750781
"G008704595",20.9904867117411
"G000151335",20.6381449604291
"G000182925",20.3674791321549
"G000769745",19.5568148701019
"G009193445",17.5439824030639
"G001642475",16.1476907788224
"G000439145",14.6472592564508
"G000149205",14.1101794611355
"G000149585",13.1577192381464
"G000150735",13.0168913417352
"G001661395",12.4588571242124
"G000151125",11.8273762780921
"G003184755",11.7620942227143
"G001619985",11.306855863658
"G000187425",10.5675710644128
"G003184785",10.0442719369412
"G004022145",10.0195740033141
"G002926085",9.89145811370966
"G001664035",9.70301481807573
"G003025115",8.7431120172546
"G000938715",8.29383029114526
"G000002525",7.71344698151191
"G003426965",7.70112754601169
"G003184925",7.52852329882848
"G003184745",6.8556068030543
"G001890805",6.18007660344509
"G003184695",5.74604370672415
"G000002855",5.47986549166637
"G002775015",5.24354082695376
"G003184845",4.95098922973663
"G000150705",4.27186504527254
"G009176365",3.98755238851827
"G000315875",3.78321975396571
"G003184625",3.4995568627615
"G001638985",3.30207178023464
"G000836295",3.20161035103965
"G000226095",2.69638954802516
"G001661235",2.42273338021149
"G000149955",2.34965477425708
"G001907595",2.34438125788064
"G000732125",2.14925869806002
"G010724455",2.07310458023413
"G000149335",1.92864238160493
"G001417885",1.52989132469801
"G900074925",1.50975987758409
"G000006275",1.34916630713518
"G000213175",1.30523049694403
"G000814965",1.2762944756759
"G000002655",1.14736507471734
"G000182895",1.058268528064
"G000143535",0.969765822007088
"G002926055",0.921471752845505
"G000143365",0.695642143038075
"G000230375",0.68005171056207
"G000149645",0.672443701195599
"G001672515",0.608519219461241
"G003184865",0.603556244850708
"G000184455",0.560011612007364
"G010093625",0.500035886836438
"G000149615",0.482958630704526
"G000149925",0.404866897270571
"G000835555",0.402081701201053
"G000150675",0.290644660016675
"G000315645",0.287814614977856
"G002237265",0.234218567695015
"G000003515",0.213513900013283
"G000523435",0.212932763007905
