"Taxa","varImp"
"G003344945",52.5905241907878
"G004337985",33.9257200480648
"G000182925",32.5178104599732
"G000181695",27.3529874906318
"G000769745",21.0912973425427
"G001907595",20.7725609567638
"G000315875",19.883141189908
"G002775015",19.7874035246994
"G008704595",18.4059774705412
"G000151335",17.4014195892693
"G002102565",16.3474992242935
"G000439145",16.2086829919382
"G009193645",16.0820068741027
"G000150705",14.7672506954454
"G000149585",13.7640699608354
"G002926055",11.6467413705904
"G000003855",10.4697387995454
"G001890805",10.0805942270694
"G003184925",9.54021667671807
"G000151425",9.52746681413157
"G002926085",8.99735511562011
"G009176365",8.99636239248021
"G000002655",8.78930896095384
"G000184455",8.65943723288184
"G000026945",8.58578173176661
"G004022145",8.02429359039594
"G009193445",7.83779211348921
"G003184755",7.52784257779979
"G000230375",6.72346080504506
"G000392275",6.64178095603212
"G000146045",6.51101950350655
"G000006275",6.401684386111
"G001661395",6.29701320789506
"G003184695",6.02936022908806
"G000150735",5.35621329317278
"G004154835",5.11140005807033
"G000149925",4.85729906805482
"G000149205",4.52752686764868
"G002847485",3.823680298195
"G000002855",3.81393407675121
"G001481775",3.80657054153099
"G002847465",3.60784787378531
"G002237265",3.3713981516903
"G000226545",2.87702550746906
"G000320565",2.81345007187269
"G003184745",2.71009170072577
"G003184625",2.52954901373076
"G000151505",2.45991036035027
"G003025105",1.96246614599495
"G000149335",1.53218950649719
"G003426965",1.47806658876327
"G003184785",1.26969549655267
"G000814965",1.22099210616939
"G000149955",1.12484892340868
"G002847045",1.10415318213403
"G001642475",1.07172043132871
"G000001985",0.94559258144144
"G000315645",0.906211022806367
"G000002945",0.889466284420852
"G000732125",0.830804354791493
"G000187425",0.782695622957292
"G000213175",0.691299014689319
"G000167675",0.657838274002573
"G002849105",0.596047990967404
"G000143365",0.473345824616387
"G000151125",0.401856674159903
