"Taxa","varImp"
"G003184755",432.276692756584
"G000181695",384.039984610982
"G000230375",297.030984115984
"G004337985",248.62641310109
"G009193645",235.702268911251
"G003344945",184.851842266798
"G000002855",165.105993417685
"G002775015",157.791485266536
"G000149925",136.454234137666
"G000143535",136.205951184083
"G002237265",115.40881730437
"G008704595",113.201978251363
"G009193445",111.943582611045
"G003426965",110.013860783667
"G000315875",109.060686737438
"G003025115",109.026080808886
"G003025105",104.600331696872
"G000150705",86.906018709549
"G000149585",81.6250628069333
"G004022145",81.0381385977127
"G003184865",73.9689321312902
"G003184925",73.8806950499162
"G009176365",72.2842437392509
"G000003855",63.1274585208922
"G000835455",51.8801391245347
"G003369625",50.6030625216315
"G000182925",49.1185451972338
"G000151425",47.1501723729812
"G000151125",44.7899516132673
"G003184845",40.6059095943896
"G000184455",40.2404875701184
"G000150735",35.0181726827488
"G001672515",34.2694183488106
"G000149335",30.3076779326565
"G001890805",29.2923895075339
"G000226095",28.5284710292646
"G003184745",26.7829412376942
"G000732125",26.5066516832909
"G001417885",26.3549824699735
"G000149955",26.1412039297593
"G000439145",25.0725410089888
"G000182965",24.5535211338676
"G000769745",22.991754236537
"G001638985",21.6627319843662
"G003184765",21.6057451782864
"G900007375",17.1247494663125
"G001619985",16.89177701521
"G002849105",16.7974299590345
"G000151335",16.0723109072144
"G001661395",16.0527483081586
"G003184625",15.2486428305879
"G001481775",12.4650133955918
"G000002525",11.0061279253576
"G000167675",9.80382585630997
"G001204775",8.51510246941419
"G000187425",8.13172535993435
"G002847485",7.17092035476731
"G000213175",5.56602633725631
"G000143365",4.52089954225255
"G000150675",4.16697114876452
"G002926085",3.23308260544979
"G000146945",2.79964445841205
"G000002715",2.23595749000971
"G000315645",2.19978258552467
