"Taxa","varImp"
"G009193645",4601.91845846947
"G009193445",879.645952973798
"G004337985",403.966344111004
"G003344945",386.572401595078
"G000181695",355.51147541267
"G000003855",318.904417231521
"G000151425",63.0862344275359
"G002775015",43.1792856552114
"G008704595",40.9372408784626
"G000213175",28.239194578849
"G000143535",23.6103589934538
"G000184455",23.3454642324327
"G000006275",21.7044451253304
"G003184925",21.2903709645027
"G009176365",20.6628873781744
"G000226095",18.272444526247
"G000002525",11.8432015845119
"G000835505",10.9459326402876
"G000836295",10.1407528133335
"G000151335",10.0395952298961
"G000026945",8.43595088445241
"G001481775",7.21307424993049
"G000182925",7.13244422241667
"G001417885",6.79180639444855
"G003184745",6.06427201527342
"G003025105",5.81785484944732
"G000149035",5.29400343914434
"G000732125",5.10912358785093
"G000149585",4.49490122496356
"G004022145",4.40177916291184
"G003184625",3.93387637870804
"G002237265",3.62101212986526
"G000150675",3.46275596962821
"G000167675",2.57148484007927
"G000149955",2.53490937442669
"G000002855",2.41362513193937
"G000835515",2.35453379735259
"G001907595",2.28578679711508
"G000002655",2.27548108115046
"G000149335",2.05675441687231
"G002926085",1.86025940213141
"G000527765",1.79020636871048
"G000365165",1.66821690173012
"G000182805",1.54189108518315
"G000006335",1.450974387388
"G001720155",1.44835788028613
"G000150505",1.42936650871874
"G002847045",1.3810917340725
"G000585535",1.30185701243295
"G000230375",1.18852557134473
"G000835455",1.03941567762437
"G000149205",0.975631776557476
"G000835495",0.852350495548848
"G001792695",0.827664988563845
"G001638985",0.516663511836221
"G000523435",0.487843646665493
"G000439145",0.443702435103803
"G000392275",0.316437989647345
"G003184755",0.25699010258548
"G003184785",0.122045148932448
